Pot ID,Drought or control,Moisture,Moisture,Moisture,Moisture ,Moisture,Moisture,Moisture
211224,C,6,6,7,9,9,9,9
211322,C,6,8,7,10,11,9,11
211207,C,7,6,7,8,7,7,7
211320,C,6,8,7,8,7,7,7
211149,C,6,8,9,9,14,14,12
211246,C,8,10,7,11,14,9,12
211326,C,6,7,9,9,11,7,7
211151,C,7,7,8,10,9,13,13
211323,C,7,7,8,7,8,11,14
211325,C,6,7,9,7,7,8,9
211102,C,7,7,7,7,7,7,9
211304,C,7,7,7,7,7,7,8
211204,C,7,12,10,8,8,8,12
211124,C,7,9,11,10,11,12,17
211034,C,7,7,11,7,7,8,7
211166,C,7,8,8,8,8,9,8
211103,C,7,8,8,7,7,8,7
211153,C,7,9,9,9,7,11,9
211148,C,7,9,14,10,10,12,12
211115,C,11,12,13,14,14,13,15
211075,C,8,10,7,12,8,8,9
211229,C,6,7,10,8,8,12,11
211245,C,7,8,7,9,8,10,8
211196,C,7,7,7,8,7,9,10
211250,C,12,14,19,15,17,16,16
211256,C,7,10,10,11,10,8,11
211265,C,7,7,8,8,7,9,8
211036,C,7,10,10,9,11,12,13
211268,C,7,7,7,7,8,9,9
211255,C,7,7,10,10,7,9,8
211191,C,7,13,22,17,16,18,19
211188,C,9,9,12,13,14,13,15
211279,C,9,15,19,17,14,13,11
211294,C,10,10,11,12,13,12,13
211184,C,8,12,15,7,9,14,13
211306,C,7,8,7,7,9,8,9
211215,C,7,12,13,10,10,9,9
211136,C,7,9,9,9,15,15,9
211243,C,7,8,7,8,10,14,7
211139,C,7,9,7,7,8,10,9
211066,C,7,8,8,10,10,16,16
211307,C,8,9,8,7,15,8,10
211288,C,11,12,17,14,15,15,15
211163,C,7,8,7,7,7,7,8
211199,C,7,8,7,7,9,8,7
211319,C,8,9,14,12,11,11,13
211236,C,8,7,7,8,10,9,10
211172,C,8,8,8,9,11,7,10
211053,C,7,7,8,9,13,9,11
211660,C,12,13,12,15,15,13,16
211232,C,12,14,11,15,15,16,18
211105,C,13,16,17,19,21,20,21
211019,C,8,11,8,16,13,13,15
211038,C,7,12,12,11,14,14,13
211052,C,8,8,10,11,13,14,14
211134,C,7,12,15,16,16,11,11
211039,C,7,8,8,8,12,8,10
211095,C,7,7,7,7,7,8,9
211154,C,9,10,10,12,12,9,10
211234,C,7,7,8,8,9,10,9
211240,C,7,8,17,14,15,11,15
211311,C,7,8,9,7,9,8,10
211210,C,8,8,9,8,9,9,9
211281,C,7,8,9,8,15,12,17
211004,C,9,9,17,15,17,17,19
211175,C,8,8,11,11,12,11,11
211008,C,10,12,18,18,11,16,16
211064,C,10,7,7,7,8,8,10
211303,C,7,8,9,8,10,7,9
211173,C,7,7,7,7,8,7,9
211069,C,8,11,12,11,10,13,12
211336,C,9,9,11,12,12,12,13
211033,C,8,8,8,8,9,9,9
211205,C,7,8,8,9,9,10,10
211030,C,9,9,9,11,13,13,13
211194,C,20,20,26,22,20,24,24
211347,C,7,7,8,8,8,8,8
211068,C,7,7,7,8,9,9,8
211270,C,7,7,7,7,8,9,10
211091,C,7,8,11,8,8,11,10
211046,C,7,8,8,8,7,11,12
211015,C,7,7,11,9,7,8,14
211058,C,8,8,8,8,9,8,9
211335,C,7,8,9,9,8,7,10
211298,C,7,7,7,7,8,9,8
211097,C,7,7,10,10,7,10,11
211120,C,8,7,11,12,12,12,13
