seedling_id,height_cm,additional_height,diameter_mm,chlorosis,leaf_count,
3933,7.1,16.5,2.4,3,,
3245,5,3.5,2,3,,
4243,8.7,10.3,2.3,4,,
3836,9.4,28.5,3.4,4,,
4021,8.3,0,5.3,,4,
3590,5,5.5,4,,11,
4000,7.7,0,3.9,,9,
3559,8.5,1,3.3,,9,
3773,6.6,6.8,2.3,5,,
3473,5.2,3,2.8,5,,
4426,8,18.5,3.2,5,,
3665,11.4,2.3,4.2,,18,
3653,12,0,4.3,,14,
4098,7.2,0,3.3,,15,
3695,10.3,10,6.7,,13,
3714,11.7,1,5.5,,9,
3967,8,2,7.9,,14,
3693,9,0,4.6,,7,
3899,6.4,13,2.9,5,,
3736,8.9,20.7,3.8,5,,
3551,10.2,0,4.1,,5,
3052,7.5,0,3.2,,14,
3728,11,22,4.2,4,,
4279,7.5,5.9,2,5,,
4285,8.9,20.9,3.3,5,,
3284,6.2,4.2,2.6,4,,
3772,9.5,10.2,3.3,4,,
3982,12.2,11.6,6.4,,25,
3734,8,17.2,3.5,5,,
4335,8,13.5,2.7,1,,
4160,7,0,4.9,,10,
3973,6.6,0,5.9,,10,
3824,6.8,10.4,1.9,4,,
4134,21.3,5.6,6.3,,21,
3547,6.4,0,2.4,,6,
4038,10.6,1.8,4.5,,14,
4254,9.4,17,3.1,5,,
3725,8.7,17.5,3.4,4,,
4412,8,15.5,2.5,5,,
3426,4.1,0,1.6,1,,
4405,9.6,18,2.5,5,,
4318,12,16.2,3.4,5,,
3630,8,2.5,4.9,,4,
3810,7.4,2.5,2.8,4,,
4278,6.5,14,2.6,0,,
3798,10.3,8.5,3.4,4,,
3834,7.6,12.2,3,0,,
4397,10.2,24.1,3.4,5,,
4047,11,5.7,4.4,,15,
4419,8.9,7.6,2.1,5,,
4043,6.2,0,2.5,,16,
4394,8.1,21.4,3.1,5,,
4024,5.6,0,4.1,,6,
3544,7,0,4.3,,15,
3842,8.2,22.8,3.4,4,,
3568,17.2,0,5.8,,6,
4334,8.6,13.1,3,4,,
3680,9,0,4.8,,9,
4396,9.6,27.4,3.4,5,,
3377,5.8,8.7,2.5,4,,
3916,7.9,14,3.7,5,,
4238,7.5,19,3.1,5,,
3498,10.3,4.1,3.9,,16,
3835,8,13.4,3.1,4,,
3058,5.9,0,2.7,,4,
4148,8.7,0,5,,9,
4380,7.6,16.8,3.8,4,,
4105,9,2,3.6,,8,
3808,6,12,2.6,5,,
4222,6.6,16,2.5,5,,
3513,7,7.2,1.8,,12,
3812,8.7,5.4,2.2,3,,
3862,5.5,7.2,2.1,5,,
3415,4.3,0,1.4,0,,
3011,10.7,4,4.5,,9,
3027,9.5,0,4.3,,9,
3539,9,5.5,6,,10,
3918,8.7,7.8,2.7,4,,
3855,10.7,16,3.4,4,,
