seedling_id,seedling_sp,soil_type,neighb_sp,neighb_st,drought_treat,compartment,mass,plant_compartment,area,sapwood_diameter,sapwood_area
4097,Q,P,Q,Q,D,B,2.038,belowground,3.781280784783792,NA,NA
3529,Q,Q,Q,P,D,B,3.562,belowground,10.121330798217151,NA,NA
3398,P,C,P,C,D,B,0.43,belowground,0.689076267041423,NA,NA
3412,P,C,P,C,D,B,0.446,belowground,0.7464315484186524,NA,NA
3117,Q,C,Q,C,D,B,8.184,belowground,8.769481816741411,5.35,22.48005893184346
3102,Q,C,Q,C,D,B,4.016,belowground,4.222149888744222,3.73,10.927166107532358
4345,P,P,P,Q,D,B,1.372,belowground,1.3301919937173208,NA,NA
3957,P,Q,P,P,D,B,1.516,belowground,2.044517811257845,NA,NA
3845,P,Q,Q,Q,D,B,1.706,belowground,2.7671378676090685,NA,NA
3484,Q,Q,P,Q,D,B,3.107,belowground,3.4236106805546944,NA,NA
4403,P,P,Q,Q,D,B,0.993,belowground,1.5497034327401988,NA,NA
3591,Q,Q,P,P,D,B,2.818,belowground,6.90920426285297,NA,NA
4083,Q,P,Q,C,D,B,3.828,belowground,4.832883832434332,4.73,17.571634569874774
3110,Q,C,Q,P,D,B,3.28,belowground,4.6705141188060155,2.71,5.7680426518072
4075,Q,P,Q,P,D,B,3.002,belowground,5.363596282748121,3.85,11.641564276958679
4069,Q,P,Q,P,D,B,2.284,belowground,3.416117276678998,3.7,10.752100856911069
3379,P,C,P,C,D,B,0.392,belowground,0.7475303283939901,NA,NA
3358,P,C,P,C,D,B,0.319,belowground,0.5994826434097312,NA,NA
3482,Q,Q,Q,P,D,B,2.677,belowground,3.409004484675636,NA,NA
4158,Q,P,Q,Q,D,B,0.672,belowground,0.4481627296587926,NA,NA
4152,Q,P,Q,Q,D,B,3.525,belowground,4.308932840087903,NA,NA
3563,Q,Q,Q,P,D,B,1.122,belowground,1.7003516784811348,NA,NA
3936,P,Q,Q,P,D,B,1.046,belowground,1.6617548790653136,2.59,5.268529419886422
3964,Q,P,P,Q,D,B,2.293,belowground,2.231298351485592,3.6,10.17876019763093
3552,Q,Q,Q,P,D,B,4.49,belowground,4.583732889688002,5.27,21.812784652220987
4070,Q,P,Q,Q,D,B,2.253,belowground,3.966535433070866,4.11,13.267024315926038
3605,Q,Q,Q,P,D,B,2.014,belowground,3.082396442570663,NA,NA
4037,Q,P,Q,Q,D,B,2.416,belowground,4.556874780416227,NA,NA
3505,Q,Q,Q,Q,D,B,3.849,belowground,4.752311226844676,3.11,7.596449576196458
3496,Q,Q,Q,Q,D,B,3.63,belowground,5.392877563532905,3.42,9.186331078361913
3545,Q,Q,Q,C,D,B,4.222,belowground,8.436892484896081,NA,NA
3184,Q,C,Q,Q,D,B,2.494,belowground,6.922935568093358,NA,NA
3774,P,Q,Q,P,D,B,0.77,belowground,1.1167548446208004,1.47,1.6971668912855458
3965,Q,P,P,Q,D,B,5.365,belowground,7.881409262818526,3.39,9.025874233579815
4246,P,P,Q,Q,D,B,1.145,belowground,1.784429013302471,2.33,4.263848089268407
3711,Q,Q,P,P,D,B,7.901,belowground,10.895522902156916,4.98,19.47818861152208
4286,P,P,Q,P,D,B,0.511,belowground,0.8438251320947087,NA,NA
3997,Q,P,P,P,D,B,2.433,belowground,3.0197659839764124,NA,NA
3876,P,Q,Q,Q,D,B,0.358,belowground,0.4871246409159485,NA,NA
3586,Q,Q,P,Q,D,B,6.45,belowground,7.510304076163708,NA,NA
3696,Q,Q,Q,P,D,B,5.313,belowground,6.173252457616027,NA,NA
3963,Q,P,Q,Q,D,B,1.948,belowground,2.0702289182356144,NA,NA
4361,P,P,P,Q,D,B,0.734,belowground,1.1363313837738789,NA,NA
3847,P,Q,P,P,D,B,0.298,belowground,0.5063756794180255,NA,NA
4261,P,P,P,Q,D,B,1.249,belowground,2.6186544595311414,NA,NA
3954,P,Q,P,P,D,B,0.438,belowground,0.5887238996700216,NA,NA
3387,P,C,P,P,D,B,0.655,belowground,1.0232948243674265,2.09,3.4306977175363933
4307,P,P,P,C,D,B,1.6648,belowground,2.569901695358946,2.54,5.067074790974977
3796,P,Q,Q,Q,D,B,1.252,belowground,1.2621210242420484,NA,NA
3683,Q,Q,P,Q,D,B,4.201,belowground,3.029563725794118,NA,NA
4117,Q,P,P,Q,D,B,3.615,belowground,5.217944213666205,NA,NA
3843,P,Q,Q,P,D,B,1.398,belowground,2.376864309284174,NA,NA
3921,P,Q,Q,P,D,B,1.3,belowground,1.6989980091071293,NA,NA
3972,Q,P,P,Q,D,B,4.24,belowground,6.015141808061394,NA,NA
3760,P,Q,Q,P,D,B,1.634,belowground,2.341866961511701,2.01,3.17308711994203
4026,Q,P,P,Q,D,B,4.317,belowground,8.624000248000495,3.54,9.842295624431463
3240,Q,C,Q,C,D,B,2.575,belowground,7.243221319775973,NA,NA
3067,Q,C,Q,C,D,B,3.667,belowground,NA,NA,NA
4149,Q,P,Q,P,D,B,3.089,belowground,8.277459166029443,NA,NA
4030,Q,P,Q,P,D,B,2.481,belowground,2.6154769531761284,NA,NA
3275,P,C,P,Q,D,B,0.855,belowground,2.525444161999435,2.6,5.3092915845667505
3801,P,Q,P,C,D,B,1.317,belowground,2.327725766562644,2.91,6.650830187465933
3782,P,Q,Q,Q,D,B,1.45,belowground,1.836955173910348,2.89,6.559724000511828
3628,Q,Q,P,Q,D,B,2.798,belowground,6.823768091980629,3.27,8.398184021392575
4371,P,P,P,Q,D,B,0.956,belowground,1.821189920157618,2.13,3.5632729275178825
3744,P,Q,P,P,D,B,1.002,belowground,1.9335134781380672,2.52,4.987592496839156
4235,P,P,Q,P,D,B,1.056,belowground,1.797371539187523,2.6,5.3092915845667505
4054,Q,P,P,P,D,B,4.316,belowground,5.796901371580521,4.97,19.400041494264027
3567,Q,Q,P,Q,D,B,2.349,belowground,2.880195093723521,NA,NA
3917,P,Q,Q,Q,D,B,0.408,belowground,0.5843597798306708,NA,NA
3349,P,C,P,Q,D,B,0.471,belowground,0.6209656863758172,NA,NA
3891,P,Q,P,C,D,B,0.422,belowground,0.5987300307933949,NA,NA
3974,Q,P,Q,C,D,B,3.258,belowground,5.971698665619553,4.41,15.274502021569914
3001,Q,C,Q,P,D,B,4.145,belowground,6.375765529308836,4.13,13.396457933253934
3189,Q,C,Q,Q,D,B,1.984,belowground,5.912972492611652,NA,NA
3565,Q,Q,Q,C,D,B,2.496,belowground,4.800573156701869,NA,NA
4277,P,P,P,Q,D,B,0.975,belowground,1.2820471752054616,NA,NA
3901,P,Q,P,P,D,B,0.657,belowground,0.8124151803859163,NA,NA
3745,P,Q,P,Q,D,B,1.708,belowground,1.7354110263776084,NA,NA
3756,P,Q,P,Q,D,B,1.411,belowground,1.5652723527669277,NA,NA
4391,P,P,P,P,D,B,1.339,belowground,4.889822335200226,2.76,5.982849049496401
4341,P,P,P,P,D,B,1.964,belowground,2.3881965541708863,2.88,6.5144065264837945
3369,P,C,P,Q,D,B,0.279,belowground,0.5052751772170211,NA,NA
3740,P,Q,P,C,D,B,0.715,belowground,1.2486928307189948,NA,NA
3737,P,Q,Q,P,D,B,0.539,belowground,0.6417064500795668,NA,NA
4122,Q,P,P,Q,D,B,3.569,belowground,4.213454371353187,NA,NA
3043,Q,C,Q,Q,D,B,2.265,belowground,3.949836733006799,3.04,7.258335666853858
3688,Q,Q,Q,C,D,B,2.086,belowground,3.0033583400500135,2.73,5.853493971984842
