seedling_id,height_cm,diameter_mm,leaf_count,chlorosis,notes,date,branching,alive,seedling_sp,soil_type,neighbor,pot,neighb_sp,neighb_st,neighb_alive
3519,8.4,3.69,6,NA,NA,2021-12-01,NA,1,Q,Q,4095,211128,Q,P,1
4095,6.9,4.35,12,NA,NA,2021-12-01,NA,1,Q,P,3519,211128,Q,Q,1
3252,5.1,2.25,NA,4,NA,2021-12-01,NA,1,P,C,3738,211143,P,Q,0
3738,5,2.1,NA,4,NA,2021-12-01,NA,1,P,Q,3252,211143,P,C,1
3723,3.4,1.97,NA,4,NA,2021-12-01,NA,1,P,Q,4218,211307,P,P,1
4218,5.5,2.75,NA,4,NA,2021-12-01,NA,1,P,P,3723,211307,P,Q,1
3250,4,2.45,NA,3,NA,2021-12-01,NA,1,P,C,3438,211191,P,C,0
3438,3.4,1.65,NA,3,NA,2021-12-01,NA,1,P,C,3250,211191,P,C,0
3440,4.2,2.38,NA,4,NA,2021-12-01,NA,1,P,C,3854,211192,P,Q,1
3854,7,3.12,NA,4,NA,2021-12-01,NA,1,P,Q,3440,211192,P,C,1
3999,8.6,4.4,18,NA,NA,2021-12-01,NA,1,Q,P,3860,211199,P,Q,1
3860,5.5,2.8,NA,5,NA,2021-12-01,NA,1,P,Q,3999,211199,Q,P,1
3901,3.9,2.3,NA,4,NA,2021-12-01,NA,1,P,Q,4277,211187,P,P,1
4277,3.7,2.16,NA,4,NA,2021-12-01,NA,1,P,P,3901,211187,P,Q,1
3893,4.2,2.29,NA,4,NA,2021-12-01,NA,1,P,Q,3556,211233,Q,Q,1
3556,9.9,5.3,13,NA,NA,2021-12-01,NA,1,Q,Q,3893,211233,P,Q,1
3898,4.1,2.1,NA,4,NA,2021-12-01,NA,1,P,Q,3339,211305,P,C,1
3339,3.6,1.61,NA,4,NA,2021-12-01,NA,1,P,C,3898,211305,P,Q,1
3189,9.7,3.69,10,NA,NA,2021-12-01,NA,1,Q,C,3565,211329,Q,Q,0
3565,15.8,3.35,13,NA,NA,2021-12-01,NA,1,Q,Q,3189,211329,Q,C,0
3533,19,4.57,15,NA,NA,2021-12-01,NA,1,Q,Q,3994,211315,Q,P,1
3994,7.2,3.59,7,NA,NA,2021-12-01,NA,1,Q,P,3533,211315,Q,Q,1
3359,4.1,2.54,4,NA,NA,2021-12-01,NA,1,P,C,3348,211311,P,C,0
3348,2.3,2.1,4,NA,NA,2021-12-01,NA,1,P,C,3359,211311,P,C,0
4015,15.9,3.63,7,NA,NA,2021-12-01,NA,1,Q,P,3581,211344,Q,Q,1
4145,16.1,4.09,13,NA,NA,2021-12-01,NA,1,Q,P,4212,211198,P,P,0
4212,4.7,2.31,NA,4,NA,2021-12-01,NA,1,P,P,4145,211198,Q,P,0
4020,7.7,2.98,16,NA,NA,2021-12-01,NA,1,Q,P,3158,211345,Q,C,NA
3158,11.1,4.93,9,NA,NA,2021-12-01,NA,1,Q,C,4020,211345,Q,P,NA
4436,5.6,2.85,NA,4,NA,2021-12-01,NA,1,P,P,3361,211313,P,C,0
4257,6.6,2.42,NA,4,NA,2021-12-01,NA,1,P,P,4092,211131,Q,P,1
4092,13.8,5.4,3,NA,NA,2021-12-01,NA,1,Q,P,4257,211131,P,P,0
3530,10.9,3.12,20,NA,NA,2021-12-01,NA,1,Q,Q,4413,211141,P,P,1
4413,7.2,2.81,NA,4,NA,2021-12-01,NA,1,P,P,3530,211141,Q,Q,1
3852,4.4,2.42,NA,4,NA,2021-12-01,NA,1,P,Q,3425,211203,P,C,0
3425,4,1.8,NA,4,NA,2021-12-01,NA,1,P,C,3852,211203,P,Q,1
4041,9.8,4.17,22,NA,NA,2021-12-01,NA,1,Q,P,3107,211205,Q,C,1
3107,8.6,4.93,8,NA,NA,2021-12-01,NA,1,Q,C,4041,211205,Q,P,1
3843,6.5,2.5,NA,5,NA,2021-12-01,NA,1,P,Q,4117,211195,Q,P,1
4117,7.6,2.93,21,NA,NA,2021-12-01,NA,1,Q,P,3843,211195,P,Q,1
3567,6.6,3.23,11,NA,NA,2021-12-01,NA,1,Q,Q,3917,211146,P,Q,0
3917,2.9,1.81,NA,4,NA,2021-12-01,NA,1,P,Q,3567,211146,Q,Q,1
3254,4,2.36,NA,4,NA,2021-12-01,NA,1,P,C,4253,211188,P,P,1
4253,3.9,1.89,NA,4,NA,2021-12-01,NA,1,P,P,3254,211188,P,C,1
3735,5.4,2.42,NA,5,NA,2021-12-01,NA,1,P,Q,3748,211138,P,Q,1
3748,5.6,2.58,NA,5,NA,2021-12-01,NA,1,P,Q,3735,211138,P,Q,1
3498,6.6,3.55,11,NA,NA,2021-12-01,NA,1,Q,Q,3835,211190,P,Q,1
3835,5.1,2.87,NA,4,NA,2021-12-01,NA,1,P,Q,3498,211190,Q,Q,1
3124,10.6,5.55,9,NA,NA,2021-12-01,NA,1,Q,C,4060,211130,Q,P,1
4060,7.9,5.53,16,NA,NA,2021-12-01,NA,1,Q,P,3124,211130,Q,C,0
3497,7.6,3.19,9,NA,NA,2021-12-01,NA,1,Q,Q,4249,211137,P,P,0
4249,3.9,2.37,NA,3,NA,2021-12-01,NA,1,P,P,3497,211137,Q,Q,0
3333,3.2,1.75,NA,2,NA,2021-12-01,NA,1,P,C,3325,211232,P,C,0
3325,3.1,1.8,NA,2,NA,2021-12-01,NA,1,P,C,3333,211232,P,C,0
3751,4,1.8,NA,5,NA,2021-12-01,NA,1,P,Q,3258,211144,P,C,0
3258,4.6,1.97,NA,4,NA,2021-12-01,NA,1,P,C,3751,211144,P,Q,1
3873,5.9,2.42,NA,5,NA,2021-12-01,NA,1,P,Q,3475,211177,P,C,0
3475,4.3,1.72,NA,4,NA,2021-12-01,NA,1,P,C,3873,211177,P,Q,1
