sequence,group
1,bq_x_qb
2,bq_x_qb
3,bb_x_bq
4,bq_x_qb
5,bq_x_bq
6,qb_x_qq
7,qq_x_qc
8,qc_x_qc
9,qq_x_qc
10,qb_x_qc
11,bb_x_qq
12,bb_x_qb
13,bb_x_qb
14,bq_x_bc
15,bq_x_qq
16,bq_x_bq
17,bq_x_qb
18,bb_x_qq
19,bb_x_qb
20,bb_x_bb
21,bb_x_bc
22,bb_x_bq
23,bb_x_qb
24,qc_x_qc
25,bq_x_qb
26,qb_x_qb
27,qq_x_qq
28,bb_x_bq
29,bq_x_qq
30,qb_x_qb
31,qb_x_qc
32,qb_x_qc
33,bb_x_qb
34,bc_x_bc
35,bq_x_qq
36,qq_x_qq
37,bb_x_bq
38,qb_x_qq
39,bb_x_bb
40,bq_x_qq
41,bc_x_bc
42,bq_x_qq
43,bq_x_bc
44,bb_x_bc
45,qc_x_qc
46,bq_x_qq
47,qb_x_qq
48,bc_x_bc
49,bb_x_bq
50,qc_x_qc
51,bq_x_qq
52,bb_x_qq
53,qb_x_qc
54,qb_x_qq
55,bb_x_bq
56,bq_x_qq
57,qq_x_qc
58,bb_x_qq
59,qq_x_qc
60,bb_x_qb
61,bb_x_qq
62,bq_x_qq
63,bb_x_bb
64,bc_x_bc
65,qq_x_qc
66,bq_x_qb
67,qb_x_qq
68,bb_x_bq
69,bb_x_bb
70,bq_x_qb
71,bb_x_qq
72,bq_x_bc
73,qb_x_qc
74,bc_x_bc
75,bq_x_qb
76,qb_x_qc
77,bb_x_bq
78,bq_x_qb
79,qb_x_qc
80,bb_x_qb
81,qb_x_qb
82,bb_x_qb
83,bb_x_bb
84,qb_x_qb
85,bq_x_qb
86,bb_x_bb
87,bq_x_qb
88,qb_x_qc
89,qb_x_qb
90,bb_x_bc
91,bb_x_bc
92,qb_x_qc
93,qb_x_qb
94,qb_x_qq
95,qb_x_qc
96,bq_x_qq
97,bb_x_bq
98,bq_x_bc
99,bb_x_bq
100,qq_x_qq
101,bq_x_qq
102,bb_x_bc
103,bb_x_bq
104,qb_x_qq
105,qb_x_qq
106,bb_x_bq
107,bb_x_bb
108,qc_x_qc
109,bq_x_bc
110,qc_x_qc
111,bb_x_qq
112,qb_x_qb
113,bb_x_bc
114,qc_x_qc
115,qb_x_qq
116,bq_x_qq
117,bq_x_qb
118,bc_x_bc
119,qb_x_qq
120,bb_x_qq
121,bq_x_bq
122,qb_x_qq
123,bb_x_bq
124,qb_x_qq
125,bb_x_qb
126,bq_x_bq
127,bb_x_bc
128,qb_x_qc
129,bb_x_bq
130,qq_x_qq
131,bb_x_bc
132,bb_x_qq
133,bb_x_qq
134,qb_x_qq
135,bb_x_bc
136,bb_x_bc
137,bb_x_bq
138,qq_x_qc
139,qb_x_qq
140,bb_x_bc
141,qb_x_qc
142,bq_x_qb
143,bq_x_qq
144,bq_x_bq
145,bq_x_bc
146,bq_x_bc
147,bb_x_qb
148,bb_x_qq
149,qb_x_qq
150,bq_x_bq
151,qb_x_qq
152,qq_x_qc
153,bb_x_bq
154,bb_x_qq
155,bq_x_bq
156,bb_x_qb
157,qq_x_qq
158,qb_x_qc
159,bq_x_bc
160,bb_x_bc
161,bc_x_bc
162,bb_x_bq
163,bq_x_qq
164,bq_x_qb
165,bq_x_bq
166,bb_x_qq
167,bb_x_qb
168,qb_x_qc
169,bq_x_bc
170,qb_x_qq
171,qb_x_qq
172,bb_x_qb
173,bb_x_bc
174,qc_x_qc
175,bq_x_qb
176,bq_x_bc
177,bb_x_qq
178,bb_x_bc
179,bq_x_qb
180,qb_x_qb
181,bq_x_qq
182,bq_x_bq
183,bc_x_bc
184,qq_x_qq
185,bq_x_bc
186,bb_x_qq
187,qq_x_qc
188,bb_x_bb
189,bb_x_qq
190,bq_x_qq
191,bq_x_qq
192,qb_x_qc
193,bb_x_qb
194,bq_x_qq
195,bb_x_bq
196,qq_x_qq
197,bq_x_qb
198,bb_x_qq
199,bq_x_bq
200,bb_x_qb
201,qq_x_qc
202,bb_x_qb
203,bb_x_qq
204,bb_x_qb
205,bq_x_bc
206,qb_x_qc
207,bq_x_qb
208,bb_x_qb
209,qc_x_qc
210,bq_x_bc
211,qq_x_qq
212,qq_x_qc
213,bq_x_qb
214,bq_x_qq
215,bq_x_qq
216,qq_x_qc
217,bq_x_bc
218,bq_x_qq
219,bc_x_bc
220,bb_x_qq
221,qb_x_qc
222,bb_x_bq
223,qq_x_qc
224,bb_x_qb
225,bb_x_qb
226,qq_x_qc
227,bq_x_qb
228,bb_x_bc
229,bb_x_bc
230,bq_x_qq
231,bc_x_bc
232,bq_x_qq
233,bb_x_qq
234,bq_x_bc
235,qb_x_qq
236,bb_x_qq
237,bq_x_qq
238,qb_x_qq
239,qb_x_qb
240,qq_x_qc
241,bb_x_qb
242,bb_x_qb
243,qq_x_qc
244,bq_x_qb
245,qb_x_qq
246,bb_x_qq
247,bq_x_qq
248,bb_x_qb
249,qb_x_qc
250,bb_x_qq
251,qb_x_qb
252,bq_x_qb
253,bb_x_bb
254,qc_x_qc
255,bb_x_bq
256,bb_x_qq
257,bb_x_bc
258,qq_x_qq
259,qb_x_qq
260,bb_x_bq
261,qb_x_qq
262,qb_x_qc
263,bb_x_bc
264,qc_x_qc
265,bq_x_qq
266,qb_x_qq
267,bb_x_bc
268,qb_x_qq
269,bb_x_bq
270,qb_x_qb
271,qb_x_qc
272,bc_x_bc
273,qb_x_qb
274,bb_x_qq
275,bb_x_bb
276,bq_x_qb
277,qq_x_qc
278,qb_x_qb
279,bb_x_bq
280,bb_x_bb
281,bb_x_bc
282,bq_x_bc
283,bb_x_bb
284,bb_x_bq
285,bb_x_bc
286,bq_x_bc
287,qq_x_qc
288,bb_x_bq
289,qq_x_qc
290,bb_x_qb
291,qq_x_qc
292,qb_x_qb
293,qb_x_qc
294,qb_x_qc
295,qc_x_qc
296,bq_x_qb
297,bb_x_bc
298,bb_x_qq
299,bb_x_bc
300,bq_x_bc
301,bb_x_qb
302,qq_x_qq
303,bb_x_bb
304,qb_x_qq
305,bq_x_bq
306,bb_x_bq
307,bb_x_bq
308,bq_x_qb
309,bq_x_qq
310,bq_x_qb
311,bq_x_bc
312,qq_x_qq
313,bq_x_bq
314,bc_x_bc
315,bb_x_qb
316,bb_x_qq
317,bq_x_bq
318,bb_x_bc
319,bb_x_bb
320,qq_x_qc
321,bq_x_bc
322,bb_x_bq
323,bq_x_bq
324,bq_x_bq
325,bq_x_qq
326,bq_x_bc
327,qb_x_qq
328,qq_x_qq
329,qb_x_qc
330,bq_x_qq
331,bq_x_bc
332,qc_x_qc
333,qq_x_qc
334,qb_x_qc
335,bb_x_qq
336,bq_x_qq
337,bq_x_bc
338,qb_x_qq
339,bb_x_qb
340,bb_x_bc
341,qq_x_qc
342,bc_x_bc
343,bq_x_qb
344,bc_x_bc
345,qq_x_qc
346,bq_x_qb
347,bb_x_bq
348,bb_x_bq
349,qb_x_qb
350,qq_x_qq
351,bb_x_qb
352,qb_x_qc
353,bb_x_qb
354,bq_x_qb
355,bq_x_qb
356,qb_x_qq
357,bq_x_bc
358,bb_x_bb
359,bb_x_qb
360,qc_x_qc
361,bb_x_qq
362,bc_x_bc
363,qc_x_qc
364,bb_x_qq
365,bq_x_bc
366,qq_x_qq
367,qb_x_qq
368,qq_x_qc
369,qq_x_qc
370,qq_x_qq
