seedling_id,seedling_sp,soil_type,neighbor,neighb_sp,neighb_st,pot,treatment
3519,Q,Q,4095,Q,P,211128,C
4095,Q,P,3519,Q,Q,211128,C
3252,P,C,3738,P,Q,211143,C
3738,P,Q,3252,P,C,211143,C
3723,P,Q,4218,P,P,211307,C
4218,P,P,3723,P,Q,211307,C
3250,P,C,3438,P,C,211191,C
3438,P,C,3250,P,C,211191,C
3440,P,C,3854,P,Q,211192,D
3854,P,Q,3440,P,C,211192,D
3999,Q,P,3860,P,Q,211199,C
3860,P,Q,3999,Q,P,211199,C
3901,P,Q,4277,P,P,211187,D
4277,P,P,3901,P,Q,211187,D
3893,P,Q,3556,Q,Q,211233,D
3556,Q,Q,3893,P,Q,211233,D
3898,P,Q,3339,P,C,211305,D
3339,P,C,3898,P,Q,211305,D
3189,Q,C,3565,Q,Q,211329,D
3565,Q,Q,3189,Q,C,211329,D
3533,Q,Q,3994,Q,P,211315,C
3994,Q,P,3533,Q,Q,211315,C
3359,P,C,3348,P,C,211311,C
3348,P,C,3359,P,C,211311,C
4015,Q,P,3581,Q,Q,211344,D
4145,Q,P,4212,P,P,211198,D
4212,P,P,4145,Q,P,211198,D
4020,Q,P,3158,Q,C,211345,D
3158,Q,C,4020,Q,P,211345,D
4436,P,P,3361,P,C,211313,D
4257,P,P,4092,Q,P,211131,C
4092,Q,P,4257,P,P,211131,C
3530,Q,Q,4413,P,P,211141,C
4413,P,P,3530,Q,Q,211141,C
3852,P,Q,3425,P,C,211203,D
3425,P,C,3852,P,Q,211203,D
4041,Q,P,3107,Q,C,211205,C
3107,Q,C,4041,Q,P,211205,C
3843,P,Q,4117,Q,P,211195,D
4117,Q,P,3843,P,Q,211195,D
3567,Q,Q,3917,P,Q,211146,D
3917,P,Q,3567,Q,Q,211146,D
3254,P,C,4253,P,P,211188,C
4253,P,P,3254,P,C,211188,C
3735,P,Q,3748,P,Q,211138,D
3748,P,Q,3735,P,Q,211138,D
3498,Q,Q,3835,P,Q,211190,C
3835,P,Q,3498,Q,Q,211190,C
3124,Q,C,4060,Q,P,211130,D
4060,Q,P,3124,Q,C,211130,D
3497,Q,Q,4249,P,P,211137,D
4249,P,P,3497,Q,Q,211137,D
3333,P,C,3325,P,C,211232,C
3325,P,C,3333,P,C,211232,C
3751,P,Q,3258,P,C,211144,D
3258,P,C,3751,P,Q,211144,D
3873,P,Q,3475,P,C,211177,D
3475,P,C,3873,P,Q,211177,D
4321,P,P,4035,Q,P,211189,D
4035,Q,P,4321,P,P,211189,D
4055,Q,P,3853,P,Q,211154,C
3853,P,Q,4055,Q,P,211154,C
3757,P,Q,4271,P,P,211133,D
4271,P,P,3757,P,Q,211133,D
3518,Q,Q,3113,Q,C,211127,D
3113,Q,C,3518,Q,Q,211127,D
4273,P,P,3423,P,C,211157,D
3423,P,C,4273,P,P,211157,D
3580,Q,Q,4027,Q,P,211162,D
4027,Q,P,3580,Q,Q,211162,D
4227,P,P,4399,P,P,211279,C
4399,P,P,4227,P,P,211279,C
3119,Q,C,3108,Q,C,211159,D
3108,Q,C,3119,Q,C,211159,D
3489,Q,Q,3511,Q,Q,211163,C
3511,Q,Q,3489,Q,Q,211163,C
3938,P,Q,3896,P,Q,211145,D
3896,P,Q,3938,P,Q,211145,D
4132,Q,P,4282,P,P,211161,C
4282,P,P,4132,Q,P,211161,C
4258,P,P,3521,Q,Q,211126,D
3521,Q,Q,4258,P,P,211126,D
4251,P,P,3241,P,C,211135,D
3241,P,C,4251,P,P,211135,D
3724,P,Q,3742,P,Q,211201,D
3742,P,Q,3724,P,Q,211201,D
3414,P,C,4336,P,P,211160,C
4336,P,P,3414,P,C,211160,C
3505,Q,Q,3496,Q,Q,211132,D
3496,Q,Q,3505,Q,Q,211132,D
4221,P,P,3549,Q,Q,211215,C
3549,Q,Q,4221,P,P,211215,C
3327,P,C,4311,P,P,211207,C
4311,P,P,3327,P,C,211207,C
3568,Q,Q,3842,P,Q,211152,C
3842,P,Q,3568,Q,Q,211152,C
3741,P,Q,3493,Q,Q,211106,D
3493,Q,Q,3741,P,Q,211106,D
4410,P,P,3261,P,C,211149,C
3261,P,C,4410,P,P,211149,C
4297,P,P,3128,Q,C,211211,D
3128,Q,C,4297,P,P,211211,D
3845,P,Q,3484,Q,Q,211241,D
3484,Q,Q,3845,P,Q,211241,D
3265,P,C,4344,P,P,211208,D
4344,P,P,3265,P,C,211208,D
4029,Q,P,4056,Q,P,211153,C
4056,Q,P,4029,Q,P,211153,C
3563,Q,Q,4152,Q,P,211182,D
4152,Q,P,3563,Q,Q,211182,D
3517,Q,Q,4323,P,P,211193,D
4323,P,P,3517,Q,Q,211193,D
4419,P,P,4047,Q,P,211197,C
4047,Q,P,4419,P,P,211197,C
3531,Q,Q,4146,Q,P,211210,C
4146,Q,P,3531,Q,Q,211210,C
3120,Q,C,3664,Q,Q,211213,D
3664,Q,Q,3120,Q,C,211213,D
3862,P,Q,3415,P,C,211158,C
3415,P,C,3862,P,Q,211158,C
4105,Q,P,4380,P,P,211301,C
4380,P,P,4105,Q,P,211301,C
4329,P,P,3576,Q,Q,211234,C
3576,Q,Q,4329,P,P,211234,C
3804,P,Q,4401,P,P,211278,D
4401,P,P,3804,P,Q,211278,D
3599,Q,Q,3640,Q,Q,211246,C
3640,Q,Q,3599,Q,Q,211246,C
3880,P,Q,4127,Q,P,211209,D
4127,Q,P,3880,P,Q,211209,D
3328,P,C,3727,P,Q,211235,NA
3727,P,Q,3328,P,C,211235,NA
3629,Q,Q,3626,Q,Q,211184,C
3626,Q,Q,3629,Q,Q,211184,C
3433,P,C,3474,P,C,211185,D
3474,P,C,3433,P,C,211185,D
4396,P,P,3377,P,C,211280,C
3377,P,C,4396,P,P,211280,C
4330,P,P,4019,Q,P,211212,D
4019,Q,P,4330,P,P,211212,D
3834,P,Q,4397,P,P,211217,C
4397,P,P,3834,P,Q,211217,C
4063,Q,P,4379,P,P,211224,C
4379,P,P,4063,Q,P,211224,C
3817,P,Q,3849,P,Q,211151,C
3849,P,Q,3817,P,Q,211151,C
3859,P,Q,4046,Q,P,211155,D
4046,Q,P,3859,P,Q,211155,D
3583,Q,Q,4343,P,P,211156,D
4343,P,P,3583,Q,Q,211156,D
3334,P,C,3331,P,C,211214,D
3331,P,C,3334,P,C,211214,D
3731,P,Q,3766,P,Q,211321,D
3766,P,Q,3731,P,Q,211321,D
4120,Q,P,4042,Q,P,211227,D
4042,Q,P,4120,Q,P,211227,D
3358,P,C,3379,P,C,211324,D
3379,P,C,3358,P,C,211324,D
4310,P,P,4305,P,P,211276,D
4305,P,P,4310,P,P,211276,D
3613,Q,Q,3558,Q,Q,211300,D
3558,Q,Q,3613,Q,Q,211300,D
4289,P,P,3337,P,C,211272,D
3337,P,C,4289,P,P,211272,D
4403,P,P,3591,Q,Q,211248,D
3591,Q,Q,4403,P,P,211248,D
3736,P,Q,3899,P,Q,211318,C
3899,P,Q,3736,P,Q,211318,C
4309,P,P,3783,P,Q,211249,C
3783,P,Q,4309,P,P,211249,C
4308,P,P,4011,Q,P,211178,C
4011,Q,P,4308,P,P,211178,C
4043,Q,P,4394,P,P,211200,C
4394,P,P,4043,Q,P,211200,C
4387,P,P,4353,P,P,211297,D
4353,P,P,4387,P,P,211297,D
3545,Q,Q,3184,Q,C,211226,D
3184,Q,C,3545,Q,Q,211226,D
4307,P,P,3387,P,C,211247,D
3387,P,C,4307,P,P,211247,D
3361,P,C,4436,P,P,211313,D
3133,Q,C,4143,Q,P,211176,NA
4143,Q,P,3133,Q,C,211176,NA
3897,P,Q,3378,P,C,211308,C
3378,P,C,3897,P,Q,211308,C
3746,P,Q,3623,Q,Q,211306,C
3623,Q,Q,3746,P,Q,211306,C
3998,Q,P,4424,P,P,211314,D
4424,P,P,3998,Q,P,211314,D
3434,P,C,3900,P,Q,211346,D
3900,P,Q,3434,P,C,211346,D
4062,Q,P,3148,Q,C,211302,D
3148,Q,C,4062,Q,P,211302,D
3535,Q,Q,3167,Q,C,211312,C
3167,Q,C,3535,Q,Q,211312,C
3606,Q,Q,3609,Q,Q,211347,C
3609,Q,Q,3606,Q,Q,211347,C
3130,Q,C,3016,Q,C,211194,C
3016,Q,C,3130,Q,C,211194,C
3369,P,C,3740,P,Q,211316,D
3740,P,Q,3369,P,C,211316,D
4122,Q,P,3737,P,Q,211328,D
3737,P,Q,4122,Q,P,211328,D
3894,P,Q,4123,Q,P,211330,C
4123,Q,P,3894,P,Q,211330,C
3616,Q,Q,3840,P,Q,211218,C
3840,P,Q,3616,Q,Q,211218,C
3833,P,Q,3278,P,C,211219,C
3278,P,C,3833,P,Q,211219,C
3550,Q,Q,3181,Q,C,211336,C
3181,Q,C,3550,Q,Q,211336,C
3562,Q,Q,3570,Q,Q,211331,D
3570,Q,Q,3562,Q,Q,211331,D
4209,P,P,4086,Q,P,211332,D
4086,Q,P,4209,P,P,211332,D
3771,P,Q,3697,Q,Q,211085,D
3697,Q,Q,3771,P,Q,211085,D
3268,P,C,3386,P,C,211033,C
3386,P,C,3268,P,C,211033,C
3709,Q,Q,3708,Q,Q,211082,D
3708,Q,Q,3709,Q,Q,211082,D
4242,P,P,3803,P,Q,211067,D
3803,P,Q,4242,P,P,211067,D
4325,P,P,3781,P,Q,211020,D
3781,P,Q,4325,P,P,211020,D
3992,Q,P,4008,Q,P,211008,C
4008,Q,P,3992,Q,P,211008,C
3704,Q,Q,4170,Q,P,211029,D
4170,Q,P,3704,Q,Q,211029,D
3044,Q,C,3045,Q,C,211037,D
3045,Q,C,3044,Q,C,211037,D
3554,Q,Q,3018,Q,C,211220,C
3018,Q,C,3554,Q,Q,211220,C
3991,Q,P,4256,P,P,211001,D
4256,P,P,3991,Q,P,211001,D
4230,P,P,3701,Q,Q,211081,D
3701,Q,Q,4230,P,P,211081,D
3776,P,Q,3273,P,C,211030,C
3273,P,C,3776,P,Q,211030,C
3197,Q,C,4044,Q,P,211333,C
4044,Q,P,3197,Q,C,211333,C
3932,P,Q,3569,Q,Q,211068,C
3569,Q,Q,3932,P,Q,211068,C
3011,Q,C,3027,Q,C,211047,C
3027,Q,C,3011,Q,C,211047,C
4237,P,P,4175,Q,P,211024,D
4175,Q,P,4237,P,P,211024,D
3764,P,Q,3382,P,C,211334,D
3382,P,C,3764,P,Q,211334,D
4408,P,P,4322,P,P,211173,C
4322,P,P,4408,P,P,211173,C
4265,P,P,3650,Q,Q,211062,D
3650,Q,Q,4265,P,P,211062,D
4332,P,P,4066,Q,P,211005,C
4066,Q,P,4332,P,P,211005,C
3974,Q,P,3001,Q,C,211049,D
3001,Q,C,3974,Q,P,211049,D
3077,Q,C,3611,Q,Q,211236,C
3611,Q,Q,3077,Q,C,211236,C
4096,Q,P,3109,Q,C,211069,C
3109,Q,C,4096,Q,P,211069,C
3488,Q,Q,4091,Q,P,211107,D
4091,Q,P,3488,Q,Q,211107,D
4031,Q,P,4071,Q,P,211253,C
4071,Q,P,4031,Q,P,211253,C
3385,P,C,3793,P,Q,211017,D
3793,P,Q,3385,P,C,211017,D
3780,P,Q,3502,Q,Q,211044,D
3502,Q,Q,3780,P,Q,211044,D
3646,Q,Q,3643,Q,Q,211169,D
3643,Q,Q,3646,Q,Q,211169,D
3048,Q,C,3525,Q,Q,211174,D
3525,Q,Q,3048,Q,C,211174,D
3183,Q,C,3574,Q,Q,211303,C
3574,Q,Q,3183,Q,C,211303,C
3191,Q,C,3151,Q,C,211304,C
3151,Q,C,3191,Q,C,211304,C
3795,P,Q,4274,P,P,211010,D
4274,P,P,3795,P,Q,211010,D
3827,P,Q,3612,Q,Q,211206,D
3612,Q,Q,3827,P,Q,211206,D
3918,P,Q,3539,Q,Q,211122,C
3539,Q,Q,3918,P,Q,211122,C
4036,Q,P,3536,Q,Q,211180,C
3536,Q,Q,4036,Q,P,211180,C
4429,P,P,3615,Q,Q,211317,D
3615,Q,Q,4429,P,P,211317,D
3593,Q,Q,3006,Q,C,211175,C
3006,Q,C,3593,Q,Q,211175,C
4268,P,P,3271,P,C,211028,D
3271,P,C,4268,P,P,211028,D
3645,Q,Q,3186,Q,C,211337,D
3186,Q,C,3645,Q,Q,211337,D
3592,Q,Q,3617,Q,Q,211222,D
3617,Q,Q,3592,Q,Q,211222,D
3821,P,Q,4109,Q,P,211252,D
4109,Q,P,3821,P,Q,211252,D
4205,P,P,3828,P,Q,211179,C
3828,P,Q,4205,P,P,211179,C
3541,Q,Q,3879,P,Q,211221,D
3879,P,Q,3541,Q,Q,211221,D
3042,Q,C,4017,Q,P,211240,C
4017,Q,P,3042,Q,C,211240,C
4085,Q,P,3139,Q,C,211083,D
3139,Q,C,4085,Q,P,211083,D
3543,Q,Q,4081,Q,P,211140,D
4081,Q,P,3543,Q,Q,211140,D
4404,P,P,3566,Q,Q,211181,D
3566,Q,Q,4404,P,P,211181,D
3838,P,Q,3839,P,Q,211139,C
3839,P,Q,3838,P,Q,211139,C
3787,P,Q,3700,Q,Q,211009,C
3700,Q,Q,3787,P,Q,211009,C
4402,P,P,3522,Q,Q,211167,D
3522,Q,Q,4402,P,P,211167,D
3796,P,Q,3683,Q,Q,211032,D
3683,Q,Q,3796,P,Q,211032,D
4144,Q,P,3861,P,Q,211168,C
3861,P,Q,4144,Q,P,211168,C
4233,P,P,3244,P,C,211129,C
3244,P,C,4233,P,P,211129,C
4235,P,P,4054,Q,P,211142,D
4054,Q,P,4235,P,P,211142,D
3589,Q,Q,4140,Q,P,211228,D
4140,Q,P,3589,Q,Q,211228,D
4004,Q,P,4157,Q,P,211110,D
4157,Q,P,4004,Q,P,211110,D
3826,P,Q,3557,Q,Q,211171,D
3557,Q,Q,3826,P,Q,211171,D
4312,P,P,3553,Q,Q,211172,C
3553,Q,Q,4312,P,P,211172,C
3483,Q,Q,4061,Q,P,211103,C
4061,Q,P,3483,Q,Q,211103,C
3752,P,Q,3739,P,Q,211102,C
3739,P,Q,3752,P,Q,211102,C
4362,P,P,4241,P,P,211116,D
4241,P,P,4362,P,P,211116,D
3129,Q,C,3127,Q,C,211112,C
3127,Q,C,3129,Q,C,211112,C
4283,P,P,3266,P,C,211111,C
3266,P,C,4283,P,P,211111,C
3243,P,C,3242,P,C,211105,C
3242,P,C,3243,P,C,211105,C
4260,P,P,3494,Q,Q,211134,C
3494,Q,Q,4260,P,P,211134,C
4158,Q,P,3482,Q,Q,211101,D
3482,Q,Q,4158,Q,P,211101,D
3102,Q,C,3117,Q,C,211113,D
3117,Q,C,3102,Q,C,211113,D
3957,P,Q,4345,P,P,211117,D
4345,P,P,3957,P,Q,211117,D
4097,Q,P,3529,Q,Q,211119,D
3529,Q,Q,4097,Q,P,211119,D
4001,Q,P,3855,P,Q,211223,C
3855,P,Q,4001,Q,P,211223,C
3812,P,Q,3513,Q,Q,211238,C
3513,Q,Q,3812,P,Q,211238,C
4240,P,P,3722,P,Q,211239,D
3722,P,Q,4240,P,P,211239,D
3744,P,Q,4371,P,P,211100,D
4371,P,P,3744,P,Q,211100,D
3506,Q,Q,4099,Q,P,211099,C
4099,Q,P,3506,Q,Q,211099,C
3756,P,Q,3745,P,Q,211098,D
3745,P,Q,3756,P,Q,211098,D
3883,P,Q,3381,P,C,211335,C
3381,P,C,3883,P,Q,211335,C
3524,Q,Q,4018,Q,P,211237,D
4018,Q,P,3524,Q,Q,211237,D
3885,P,Q,4316,P,P,211136,C
4316,P,P,3885,P,Q,211136,C
4100,Q,P,3732,P,Q,211104,C
3732,P,Q,4100,Q,P,211104,C
4369,P,P,3953,P,Q,211170,D
3953,P,Q,4369,P,P,211170,D
4276,P,P,3508,Q,Q,211109,C
3508,Q,Q,4276,P,P,211109,C
3255,P,C,4327,P,P,211121,D
4327,P,P,3255,P,C,211121,D
3844,P,Q,3542,Q,Q,211243,C
3542,Q,Q,3844,P,Q,211243,C
3603,Q,Q,4284,P,P,211165,C
4284,P,P,3603,Q,Q,211165,C
4324,P,P,3276,P,C,211125,D
3276,P,C,4324,P,P,211125,D
4014,Q,P,3000,Q,C,211148,C
3000,Q,C,4014,Q,P,211148,C
3118,Q,C,3136,Q,C,211115,C
3136,Q,C,3118,Q,C,211115,C
3662,Q,Q,3655,Q,Q,211123,C
3655,Q,Q,3662,Q,Q,211123,C
4333,P,P,3775,P,Q,211066,C
3775,P,Q,4333,P,P,211066,C
3955,P,Q,4028,Q,P,211147,D
4028,Q,P,3955,P,Q,211147,D
3260,P,C,4400,P,P,211124,C
4400,P,P,3260,P,C,211124,C
4426,P,P,3665,Q,Q,211183,C
3665,Q,Q,4426,P,P,211183,C
3967,Q,P,3693,Q,Q,211078,C
3693,Q,Q,3967,Q,P,211078,C
3799,P,Q,3679,Q,Q,211034,C
3679,Q,Q,3799,P,Q,211034,C
3270,P,C,3269,P,C,211079,D
3269,P,C,3270,P,C,211079,D
3785,P,Q,3777,P,Q,211204,C
3777,P,Q,3785,P,Q,211204,C
4000,Q,P,3559,Q,Q,211150,C
3559,Q,Q,4000,Q,P,211150,C
3872,P,Q,3251,P,C,211114,D
3251,P,C,3872,P,Q,211114,D
3734,P,Q,4335,P,P,211108,C
4335,P,P,3734,P,Q,211108,C
3936,P,Q,3964,Q,P,211094,D
3964,Q,P,3936,P,Q,211094,D
4021,Q,P,3590,Q,Q,211231,C
3590,Q,Q,4021,Q,P,211231,C
3473,P,C,3773,P,Q,211186,C
3773,P,Q,3473,P,C,211186,C
4139,Q,P,3007,Q,C,211202,D
3007,Q,C,4139,Q,P,211202,D
4243,P,P,3836,P,Q,211120,C
3836,P,Q,4243,P,P,211120,C
3653,Q,Q,4098,Q,P,211118,C
4098,Q,P,3653,Q,Q,211118,C
3412,P,C,3398,P,C,211007,D
3398,P,C,3412,P,C,211007,D
3600,Q,Q,3046,Q,C,211166,C
3046,Q,C,3600,Q,Q,211166,C
3335,P,C,3905,P,Q,211196,C
3905,P,Q,3335,P,C,211196,C
3245,P,C,3933,P,Q,211097,C
3933,P,Q,3245,P,C,211097,C
4279,P,P,3728,P,Q,211090,C
3728,P,Q,4279,P,P,211090,C
4285,P,P,3284,P,C,211073,C
3284,P,C,4285,P,P,211073,C
4160,Q,P,3973,Q,P,211076,C
3973,Q,P,4160,Q,P,211076,C
4386,P,P,3597,Q,Q,211258,D
3597,Q,Q,4386,P,P,211258,D
3837,P,Q,3587,Q,Q,211229,C
3587,Q,Q,3837,P,Q,211229,C
3824,P,Q,4134,Q,P,211260,C
4134,Q,P,3824,P,Q,211260,C
3695,Q,Q,3714,Q,Q,211048,C
3714,Q,Q,3695,Q,Q,211048,C
4278,P,P,3798,P,Q,211013,C
3798,P,Q,4278,P,P,211013,C
4405,P,P,4318,P,P,211035,C
4318,P,P,4405,P,P,211035,C
3605,Q,Q,4037,Q,P,211259,D
4037,Q,P,3605,Q,Q,211259,D
3141,Q,C,3601,Q,Q,211261,D
3601,Q,Q,3141,Q,C,211261,D
4075,Q,P,4069,Q,P,211071,D
4069,Q,P,4075,Q,P,211071,D
4083,Q,P,3110,Q,C,211072,D
3110,Q,C,4083,Q,P,211072,D
4407,P,P,3383,P,C,211245,C
3383,P,C,4407,P,P,211245,C
4415,P,P,4328,P,P,211251,D
4328,P,P,4415,P,P,211251,D
4038,Q,P,3547,Q,Q,211242,C
3547,Q,Q,4038,Q,P,211242,C
3965,Q,P,3774,P,Q,211092,D
3774,P,Q,3965,Q,P,211092,D
3008,Q,C,4195,Q,P,211036,C
4195,Q,P,3008,Q,C,211036,C
4162,Q,P,4320,P,P,211012,D
4320,P,P,4162,Q,P,211012,D
4079,Q,P,4280,P,P,211256,C
4280,P,P,4079,Q,P,211256,C
4255,P,P,3584,Q,Q,211255,C
3584,Q,Q,4255,P,P,211255,C
3114,Q,C,4159,Q,P,211075,C
4159,Q,P,3114,Q,C,211075,C
3552,Q,Q,4070,Q,P,211070,D
4070,Q,P,3552,Q,Q,211070,D
3982,Q,P,3772,P,Q,211050,C
3772,P,Q,3982,Q,P,211050,C
3188,Q,C,4034,Q,P,211257,D
4034,Q,P,3188,Q,C,211257,D
3135,Q,C,3132,Q,C,211250,C
3132,Q,C,3135,Q,C,211250,C
3876,P,Q,3586,Q,Q,211254,D
3586,Q,Q,3876,P,Q,211254,D
3963,Q,P,3696,Q,Q,211086,D
3696,Q,Q,3963,Q,P,211086,D
3789,P,Q,3779,P,Q,211016,D
3779,P,Q,3789,P,Q,211016,D
4236,P,P,4302,P,P,211014,NA
4302,P,P,4236,P,P,211014,NA
4315,P,P,3890,P,Q,211263,D
3890,P,Q,4315,P,P,211263,D
3532,Q,Q,4228,P,P,211268,C
4228,P,P,3532,Q,Q,211268,C
3810,P,Q,3630,Q,Q,211087,C
3630,Q,Q,3810,P,Q,211087,C
4262,P,P,3264,P,C,211074,D
3264,P,C,4262,P,P,211074,D
3867,P,Q,3715,Q,Q,211023,NA
3715,Q,Q,3867,P,Q,211023,NA
4293,P,P,3272,P,C,211265,C
3272,P,C,4293,P,P,211265,C
3544,Q,Q,4024,Q,P,211264,C
4024,Q,P,3544,Q,Q,211264,C
4025,Q,P,4033,Q,P,211262,D
4033,Q,P,4025,Q,P,211262,D
3012,Q,C,4165,Q,P,211027,D
4165,Q,P,3012,Q,C,211027,D
4334,P,P,3680,Q,Q,211065,C
3680,Q,Q,4334,P,P,211065,C
3916,P,Q,4238,P,P,211088,C
4238,P,P,3916,P,Q,211088,C
3058,Q,C,4148,Q,P,211266,C
4148,Q,P,3058,Q,C,211266,C
4147,Q,P,4151,Q,P,211269,C
4151,Q,P,4147,Q,P,211269,C
3043,Q,C,3688,Q,Q,211031,D
3688,Q,Q,3043,Q,C,211031,D
3035,Q,C,3718,Q,Q,211051,C
3718,Q,Q,3035,Q,C,211051,C
4082,Q,P,3769,P,Q,211040,D
