"","newfile","analyze","morphotype","seedling_id","seedling_sp","soil_type","percent_hq","percent_lq"
"1","3678b_QQ.scf",0,"A",3678,"Q","Q",0,87.8
"2","3678e_QQ.scf",0,"C",3678,"Q","Q",2.4,46.8
"3","3678g_QQ.scf",1,"C",3678,"Q","Q",50,18.1
"4","3678h_QQ.scf",1,"D",3678,"Q","Q",18.6,21.9
"5","4040b_QP.scf",0,"L",4040,"Q","P",1.8,76.9
"6","4040e_QP.scf",0,"D",4040,"Q","P",0,83.1
"7","4126a_QP.scf",0,"B",4126,"Q","P",0.8,82.1
"8","4126b_QP.scf",0,"B",4126,"Q","P",0.8,60.6
"9","4126c_QP.scf",0,"L",4126,"Q","P",0.5,68.8
"10","4126d_QP.scf",0,"C",4126,"Q","P",1.5,70.9
"11","4126e_QP.scf",0,"L",4126,"Q","P",0.1,80.2
"12","4125e_QP.scf",0,"B",4125,"Q","P",0.6,47
"13","4125h_QP.scf",0,"B",4125,"Q","P",1.8,66
"14","3579a_QQ.scf",1,"L",3579,"Q","Q",13,34.5
"15","3579b_QQ.scf",0,"B",3579,"Q","Q",1,76.6
"16","3579c_QQ.scf",0,"B",3579,"Q","Q",1.7,70.2
"17","3579d_QQ.scf",0,"L",3579,"Q","Q",2.9,64.1
"18","3579g_QQ.scf",1,"D",3579,"Q","Q",12.7,15.3
"19","4128c_QP.scf",0,"C",4128,"Q","P",1.2,71.8
"20","4128f_QP.scf",0,"L",4128,"Q","P",4.1,70.3
"21","4128g_QP.scf",0,"E",4128,"Q","P",1.7,72.5
"22","3137d_QC.scf",0,"Q",3137,"Q","C",0,81.1
"23","3137d_QC.scf",0,"Q",3137,"Q","C",0,81.1
"24","3137e_QC.scf",0,"Q",3137,"Q","C",0.4,74.9
"25","3137e_QC.scf",0,"Q",3137,"Q","C",0.4,74.9
"26","3137f_QC.scf",0,"Q",3137,"Q","C",0.7,55
"27","3137f_QC.scf",0,"Q",3137,"Q","C",0.7,55
"28","3206a_QC.scf",0,"Q",3206,"Q","C",0.2,81.2
"29","3206f_QC.scf",1,"Q",3206,"Q","C",7.4,41.8
"30","4179a_QP.scf",0,"D",4179,"Q","P",0.3,82.8
"31","4179b_QP.scf",0,"N",4179,"Q","P",0,82.3
"32","4179c_QP.scf",0,"D",4179,"Q","P",0,68.2
"33","4179d_QP.scf",0,"D",4179,"Q","P",0.7,85.9
"34","4179e_QP.scf",0,"C",4179,"Q","P",0.4,79.8
"35","4179f_QP.scf",0,"C",4179,"Q","P",0.8,71.7
"36","4179g_QP.scf",0,"D",4179,"Q","P",0,85.8
"37","4181a_QP.scf",0,"A",4181,"Q","P",1.3,59.8
"38","4181b_QP.scf",0,"E",4181,"Q","P",0,86.2
"39","4181c_QP.scf",0,"C",4181,"Q","P",0.1,72.4
"40","4181d_QP.scf",0,"D",4181,"Q","P",0.6,83.9
"41","4181e_QP.scf",0,"E",4181,"Q","P",0.2,84.2
"42","4181f_QP.scf",0,"D",4181,"Q","P",1.2,59.3
"43","4171a_QP.scf",0,"C",4171,"Q","P",0.5,74.8
"44","4171b_QP.scf",0,"A",4171,"Q","P",0.8,75.5
"45","4171c_QP.scf",0,"B",4171,"Q","P",0.9,70.8
"46","4171d_QP.scf",0,"D",4171,"Q","P",0.5,71.7
"47","4171e_QP.scf",0,"E",4171,"Q","P",1.9,43.5
"48","4171f_QP.scf",0,"D",4171,"Q","P",0.2,77
"49","4171g_QP.scf",0,"E",4171,"Q","P",0,89.3
"50","4171h_QP.scf",0,"D",4171,"Q","P",0,84.6
"51","3053a_QC.scf",0,"Q",3053,"Q","C",0.2,83.1
"52","3053b_QC.scf",0,"Q",3053,"Q","C",0.5,81.3
"53","3053c_QC.scf",0,"Q",3053,"Q","C",0.8,83.2
"54","3053d_QC.scf",1,"Q",3053,"Q","C",48,17.3
"55","3053e_QC.scf",0,"Q",3053,"Q","C",0.2,87.5
"56","3053f_QC.scf",0,"Q",3053,"Q","C",0.7,58
"57","3053g_QC.scf",0,"Q",3053,"Q","C",1,82.1
"58","3053h_QC.scf",0,"Q",3053,"Q","C",0.5,79.6
"59","3218a_QC.scf",0,"Q",3218,"Q","C",0.5,84.2
"60","3218b_QC.scf",0,"Q",3218,"Q","C",1.6,66.3
"61","3218c_QC.scf",0,"Q",3218,"Q","C",0.7,82
"62","3218d_QC.scf",0,"Q",3218,"Q","C",0.2,88.9
"63","3218e_QC.scf",0,"Q",3218,"Q","C",0.3,84.3
"64","3218f_QC.scf",0,"Q",3218,"Q","C",1.2,57
"65","3218g_QC.scf",0,"Q",3218,"Q","C",0.5,84.1
"66","3218h_QC.scf",0,"Q",3218,"Q","C",0.6,63.7
"67","3091a_QC.scf",0,"Q",3091,"Q","C",1.6,60.4
"68","3091b_QC.scf",0,"Q",3091,"Q","C",0.6,80.9
"69","3091c_QC.scf",0,"Q",3091,"Q","C",0.2,67.4
"70","3091d_QC.scf",0,"Q",3091,"Q","C",0.9,61.9
"71","3091f_QC.scf",0,"Q",3091,"Q","C",0.6,63
"72","3098a_QC.scf",0,"B",3098,"Q","C",1,72.2
"73","3098b_QC.scf",0,"B",3098,"Q","C",4.1,42.5
"74","3098d_QC.scf",1,"Q",3098,"Q","C",11.5,48
"75","3098e_QC.scf",0,"B",3098,"Q","C",2,51.2
"76","3098f_QC.scf",0,"Q",3098,"Q","C",1.4,64.9
"77","3098g_QC.scf",0,"Q",3098,"Q","C",5,29.6
"78","3098h_QC.scf",1,"Q",3098,"Q","C",20.7,35.1
"79","3070a_QC.scf",1,"Q",3070,"Q","C",64.4,6.1
"80","3070b_QC.scf",1,"Q",3070,"Q","C",22.6,30.8
"81","3070c_QC.scf",0,"Q",3070,"Q","C",0.2,82
"82","3070g_QC.scf",0,"Q",3070,"Q","C",0.8,62
"83","3217a_QC.scf",0,"Q",3217,"Q","C",0,62.6
"84","3217c_QC.scf",0,"Q",3217,"Q","C",0.2,88.6
"85","3217d_QC.scf",0,"Q",3217,"Q","C",0.2,90.8
"86","3217e_QC.scf",0,"Q",3217,"Q","C",0.3,82.6
"87","3217f_QC.scf",0,"Q",3217,"Q","C",0,98.6
"88","3221a_QC.scf",1,"Q",3221,"Q","C",56.9,18.2
"89","3221c_QC.scf",1,"Q",3221,"Q","C",14.1,58.5
"90","3221d_QC.scf",0,"Q",3221,"Q","C",0,82
"91","3221f_QC.scf",1,"Q",3221,"Q","C",47.1,22
"92","3221g_QC.scf",1,"Q",3221,"Q","C",39.8,42.2
"93","4216a_PP.scf",0,"G",4216,"P","P",0.7,91.9
"94","4216c_PP.scf",0,"G",4216,"P","P",0,88
"95","4216d_PP.scf",0,"G",4216,"P","P",0.4,69.1
"96","4216e_PP.scf",1,"G",4216,"P","P",30.3,56.5
"97","4208a_PP.scf",1,"G",4208,"P","P",57.8,8.2
"98","4208b_PP.scf",0,"G",4208,"P","P",0.2,93.4
"99","4208g_PP.scf",0,"G",4208,"P","P",3.4,40.6
"100","4418b_PP.scf",1,"G",4418,"P","P",31.9,16.1
