"","newfile","analyze","morphotype","seedling_id","seedling_sp","soil_type","percent_hq","percent_lq"
"1","3678b_QQ.scf",0,"A",3678,"Q","Q",1.2,77.5
"2","3678c_QQ.scf",0,"A",3678,"Q","Q",1.7,73.6
"3","4040b_QP.scf",0,"L",4040,"Q","P",3.7,60.9
"4","4040c_QP.scf",NA,"E",4040,"Q","P",NA,NA
"5","4040d_QP.scf",1,"E",4040,"Q","P",68.8,11.9
"6","4040f_QP.scf",0,"D",4040,"Q","P",1.2,63.3
"7","4040g_QP.scf",1,"L",4040,"Q","P",12,23.2
"8","4040h_QP.scf",1,"L",4040,"Q","P",39.3,24.6
"9","4126d_QP.scf",0,"C",4126,"Q","P",0.6,72.3
"10","4126e_QP.scf",0,"L",4126,"Q","P",0.9,69.4
"11","4126f_QP.scf",0,"L",4126,"Q","P",4.9,55.1
"12","4126g_QP.scf",0,"B",4126,"Q","P",0,100
"13","4126h_QP.scf",0,"L",4126,"Q","P",3.6,38
"14","4125a_QP.scf",0,"D",4125,"Q","P",0.1,79.8
"15","4125b_QP.scf",0,"C",4125,"Q","P",2.5,61
"16","4125c_QP.scf",0,"D",4125,"Q","P",0.4,75.7
"17","4125f_QP.scf",0,"B",4125,"Q","P",0.8,80.7
"18","4125h_QP.scf",1,"B",4125,"Q","P",7.1,50.8
"19","3579b_QQ.scf",1,"B",3579,"Q","Q",43.9,12.4
"20","3579c_QQ.scf",1,"B",3579,"Q","Q",6.4,46.1
"21","3579d_QQ.scf",0,"L",3579,"Q","Q",5,60.8
"22","3579h_QQ.scf",0,"L",3579,"Q","Q",2,74
"23","4128c_QP.scf",0,"C",4128,"Q","P",2.4,58.6
"24","4128d_QP.scf",0,"D",4128,"Q","P",1.2,71.3
"25","4128f_QP.scf",1,"L",4128,"Q","P",65.3,4.9
"26","3137c_QC.scf",0,"Q",3137,"Q","C",0.4,78.2
"27","3137d_QC.scf",1,"Q",3137,"Q","C",69.2,15.5
"28","3137h_QC.scf",0,"Q",3137,"Q","C",1.1,74.1
"29","3206a_QC.scf",0,"Q",3206,"Q","C",0.4,76.5
"30","3206c_QC.scf",1,"Q",3206,"Q","C",11.3,26.3
"31","3206h_QC.scf",1,"Q",3206,"Q","C",68.1,14.1
"32","4179a_QP.scf",0,"D",4179,"Q","P",0.5,70.9
"33","4179b_QP.scf",0,"N",4179,"Q","P",1,70.3
"34","4179c_QP.scf",1,"D",4179,"Q","P",11.2,20.9
"35","4179d_QP.scf",0,"D",4179,"Q","P",0.2,78.5
"36","4179e_QP.scf",0,"C",4179,"Q","P",3.3,29.9
"37","4179f_QP.scf",0,"C",4179,"Q","P",3.9,51.7
"38","4179g_QP.scf",1,"D",4179,"Q","P",35.4,18.6
"39","4179h_QP.scf",0,"L",4179,"Q","P",2.1,67.8
"40","4181a_QP.scf",0,"A",4181,"Q","P",0.8,63.4
"41","4181b_QP.scf",1,"E",4181,"Q","P",45.6,6.1
"42","4181d_QP.scf",0,"D",4181,"Q","P",1.5,65.5
"43","4171a_QP.scf",1,"C",4171,"Q","P",7.1,30.2
"44","4171b_QP.scf",0,"A",4171,"Q","P",3.2,45.1
"45","4171c_QP.scf",0,"B",4171,"Q","P",0.6,75.8
"46","4171d_QP.scf",0,"D",4171,"Q","P",1.1,61.4
"47","4171e_QP.scf",1,"E",4171,"Q","P",79.4,4.5
"48","4171f_QP.scf",1,"D",4171,"Q","P",32.4,21.6
"49","4171h_QP.scf",0,"D",4171,"Q","P",0.5,72.8
"50","4084a_QP.scf",0,"D",4084,"Q","P",1.5,74.5
"51","4084f_QP.scf",0,"L",4084,"Q","P",1.1,71.5
"52","4084h_QP.scf",0,"D",4084,"Q","P",2.1,65.3
"53","3053c_QC.scf",0,"Q",3053,"Q","C",2,57.5
"54","3218c_QC.scf",1,"Q",3218,"Q","C",65.8,5.4
"55","3218d_QC.scf",1,"Q",3218,"Q","C",28.4,36.7
"56","3218e_QC.scf",0,"Q",3218,"Q","C",2.1,70.4
"57","3091h_QC.scf",0,"Q",3091,"Q","C",0.2,78.8
"58","3098f_QC.scf",1,"Q",3098,"Q","C",15.3,41.6
"59","3070d_QC.scf",1,"Q",3070,"Q","C",66.2,5.1
"60","3070e_QC.scf",1,"Q",3070,"Q","C",68.1,5.4
"61","3070f_QC.scf",1,"Q",3070,"Q","C",34.2,7.4
"62","3070g_QC.scf",0,"Q",3070,"Q","C",1.3,49
"63","3217c_QC.scf",0,"Q",3217,"Q","C",0.4,65.6
"64","3217d_QC.scf",0,"Q",3217,"Q","C",0,81.1
"65","3217e_QC.scf",0,"Q",3217,"Q","C",0.3,69.4
"66","3217g_QC.scf",1,"Q",3217,"Q","C",30.9,13.9
"67","3217h_QC.scf",0,"Q",3217,"Q","C",1,60.5
"68","3221b_QC.scf",0,"Q",3221,"Q","C",0.6,70.4
"69","3221e_QC.scf",1,"Q",3221,"Q","C",65.2,16.3
"70","3875a_PQ.scf",0,"M",3875,"P","Q",0,91.3
"71","3875b_PQ.scf",1,"G",3875,"P","Q",69.4,5.2
"72","3875h_PQ.scf",1,"G",3875,"P","Q",41,9.4
"73","3909b_PQ.scf",0,"M",3909,"P","Q",0,80.9
"74","3909d_PQ.scf",1,"F",3909,"P","Q",56.8,6.6
"75","3909f_PQ.scf",0,"G",3909,"P","Q",2.3,53.6
"76","3909h_PQ.scf",0,"G",3909,"P","Q",0,92.9
"77","3866a_PQ.scf",0,"G",3866,"P","Q",0,81.3
"78","3866b_PQ.scf",0,"F",3866,"P","Q",0,94.7
"79","3866c_PQ.scf",1,"G",3866,"P","Q",51.7,21.8
