[Header],,,
FileVersion,1,,
LibraryPrepKit,Nextera XT,,
ContainerType,Plate96,,
ContainerID,,,
Notes,,,
,,,
,,,
[Data],,,
SampleID,NucleicAcid,Index1Name,Index2Name
3678A,DNA amplicon,N701,S501
3678B,DNA amplicon,N701,S502
3678C,DNA amplicon,N701,S503
3678D,DNA amplicon,N701,S504
3678E,DNA amplicon,N701,S505
3678F,DNA amplicon,N701,S506
3678G,DNA amplicon,N701,S507
3678H,DNA amplicon,N701,S508
4040A,DNA amplicon,N702,S501
4040B,DNA amplicon,N702,S502
4040C,DNA amplicon,N702,S503
4040D,DNA amplicon,N702,S504
4040E,DNA amplicon,N702,S505
4040F,DNA amplicon,N702,S506
4040G,DNA amplicon,N702,S507
4040H,DNA amplicon,N702,S508
4126A,DNA amplicon,N703,S501
4126B,DNA amplicon,N703,S502
4126C,DNA amplicon,N703,S503
4126D,DNA amplicon,N703,S504
4126E,DNA amplicon,N703,S505
4126F,DNA amplicon,N703,S506
4126G,DNA amplicon,N703,S507
4126H,DNA amplicon,N703,S508
4125A,DNA amplicon,N704,S501
4125B,DNA amplicon,N704,S502
4125C,DNA amplicon,N704,S503
4125D,DNA amplicon,N704,S504
4125E,DNA amplicon,N704,S505
4125F,DNA amplicon,N704,S506
4125G,DNA amplicon,N704,S507
4125H,DNA amplicon,N704,S508
3579A,DNA amplicon,N705,S501
3579B,DNA amplicon,N705,S502
3579C,DNA amplicon,N705,S503
3579D,DNA amplicon,N705,S504
3579E,DNA amplicon,N705,S505
3579F,DNA amplicon,N705,S506
3579G,DNA amplicon,N705,S507
3579H,DNA amplicon,N705,S508
4128A,DNA amplicon,N706,S501
4128B,DNA amplicon,N706,S502
4128C,DNA amplicon,N706,S503
4128D,DNA amplicon,N706,S504
4128E,DNA amplicon,N706,S505
4128F,DNA amplicon,N706,S506
4128G,DNA amplicon,N706,S507
4128H,DNA amplicon,N706,S508
3137A,DNA amplicon,N707,S501
3137B,DNA amplicon,N707,S502
3137C,DNA amplicon,N707,S503
3137D,DNA amplicon,N707,S504
3137E,DNA amplicon,N707,S505
3137F,DNA amplicon,N707,S506
3137G,DNA amplicon,N707,S507
3137H,DNA amplicon,N707,S508
3206A,DNA amplicon,N708,S501
3206B,DNA amplicon,N708,S502
3206C,DNA amplicon,N708,S503
3206D,DNA amplicon,N708,S504
3206E,DNA amplicon,N708,S505
3206F,DNA amplicon,N708,S506
3206G,DNA amplicon,N708,S507
3206H,DNA amplicon,N708,S508
4179A,DNA amplicon,N709,S501
4179B,DNA amplicon,N709,S502
4179C,DNA amplicon,N709,S503
4179D,DNA amplicon,N709,S504
4179E,DNA amplicon,N709,S505
4179F,DNA amplicon,N709,S506
