newfile	taxonomy
3053a_QC.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3053b_QC.scf	k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
3053e_QC.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3053h_QC.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3053h_QC.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3070c_QC.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3070h_QC.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3091a_QC.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Neopyrenochaetaceae;g__Neopyrenochaeta;NA
3091b_QC.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;NA;NA
3091c_QC.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;NA;NA;NA;NA
3091d_QC.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Coniothyriaceae;g__Hazslinszkyomyces;NA
3091e_QC.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3091f_QC.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3091g_QC.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3098a_QC.scf	k__Fungi;NA;NA;NA;NA;NA;NA
3098c_QC.scf	k__Fungi;NA;NA;NA;NA;NA;NA
3098e_QC.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3206g_QC.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3217b_QC.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3217f_QC.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3218a_QC.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Coniothyriaceae;g__Hazslinszkyomyces;NA
3218b_QC.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Coniothyriaceae;g__Hazslinszkyomyces;NA
3218g_QC.scf	k__Fungi;NA;NA;NA;NA;NA;NA
3218h_QC.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3221d_QC.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3221h_QC.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3487f_QQ.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3548g_QQ.scf	k__Fungi;p__Ascomycota;c__Sordariomycetes;NA;NA;NA;NA
3604b_QQ.scf	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Verticillium;NA
3604c_QQ.scf	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Cora;NA
3604d_QQ.scf	k__Fungi;NA;NA;NA;NA;NA;NA
3604e_QQ.scf	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;NA;NA
3604g_QQ.scf	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;NA;NA
3604h_QQ.scf	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Gibellulopsis;NA
3608c_QQ.scf	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Peziza;NA
3641g_QQ.scf	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Gibellulopsis;NA
3652b_QQ.scf	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;NA;NA
3652c_QQ.scf	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Gibellulopsis;NA
3652e_QQ.scf	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pustularia;NA
3652g_QQ.scf	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;NA;NA
3659h_QQ.scf	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;NA;NA
3678f_QQ.scf	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pustularia;NA
3875d_PQ.scf	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Rhizopogonaceae;g__Rhizopogon;s__hawkerae
3875g_PQ.scf	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Rhizopogonaceae;g__Rhizopogon;NA
4022b_QP.scf	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;NA;NA
4022c_QP.scf	NA;NA;NA;NA;NA;NA;NA
4022d_QP.scf	k__Fungi;NA;NA;NA;NA;NA;NA
4022h_QP.scf	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;NA;NA
4040a_QP.scf	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;NA;NA;NA
4084d_QP.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
4084e_QP.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;NA;NA;NA;NA
4084g_QP.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
4173b_QP.scf	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;NA;NA
4173d_QP.scf	k__Fungi;NA;NA;NA;NA;NA;NA
4181e_QP.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Sclerostagonospora;NA
4181f_QP.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaeta;NA
4181g_QP.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
4181g_QP.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
4208c_PP.scf	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Rhizopogonaceae;g__Rhizopogon;s__hawkerae
4208d_PP.scf	k__Fungi;NA;NA;NA;NA;NA;NA
4208f_PP.scf	k__Fungi;p__Basidiomycota;c__Agaricomycetes;NA;NA;NA;NA
4216c_PP.scf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Coniothyriaceae;g__Hazslinszkyomyces;NA
4216g_PP.scf	k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
4244c_PP.scf	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Tuberaceae;g__Choiromyces;NA
4348b_PP.scf	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Rhizopogonaceae;g__Rhizopogon;NA
4348e_PP.scf	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Paragibellulopsis;NA
4383b_PP.scf	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;NA;NA
4383d_PP.scf	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Gibellulopsis;NA
4383e_PP.scf	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Gibellulopsis;NA
4383f_PP.scf	k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
4418h_PP.scf	k__Fungi;NA;NA;NA;NA;NA;NA
3053c_QC.scf	k__Fungi;NA;NA;NA;NA;NA;NA
3070d_QC.scf	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hymenogastraceae;g__Hebeloma;NA
3070e_QC.scf	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hymenogastraceae;g__Hebeloma;s__crustuliniforme
