pcr	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
23_10_e	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaeta;s__inflorescentiae;	Cucurbitariaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	Microfungus	NULL	Probable	Necrotrophic or saprobic on woody plants (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
23_10_f	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaeta;s__inflorescentiae;	Cucurbitariaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	Microfungus	NULL	Probable	Necrotrophic or saprobic on woody plants (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
23_11_f	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pustularia;NA;	Pyronemataceae	9	Saprotroph-Symbiotroph	Dung Saprotroph-Ectomycorrhizal-Soil Saprotroph-Wood Saprotroph	Gasteroid-Pezizoid	NULL	Possible	Saprobic on soil, dung or rotten wood or mycorrhizal, some species hypogeous, others associated with fire sites (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
24_10_a	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pustularia;NA;	Pyronemataceae	9	Saprotroph-Symbiotroph	Dung Saprotroph-Ectomycorrhizal-Soil Saprotroph-Wood Saprotroph	Gasteroid-Pezizoid	NULL	Possible	Saprobic on soil, dung or rotten wood or mycorrhizal, some species hypogeous, others associated with fire sites (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
24_10_e	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaeta;s__inflorescentiae;	Cucurbitariaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	Microfungus	NULL	Probable	Necrotrophic or saprobic on woody plants (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
24_10_f	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Zopfiella;s__tardifaciens;	Zopfiella	13	Saprotroph	Dung Saprotroph	NULL	NULL	Highly Probable	NULL	Bills GF, et al. 2013. Current Opinion in Microbiology 16:549-565 ((https://doi.org/10.1016/j.mib.2013.08.001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
24_10_g	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pustularia;NA;	Pyronemataceae	9	Saprotroph-Symbiotroph	Dung Saprotroph-Ectomycorrhizal-Soil Saprotroph-Wood Saprotroph	Gasteroid-Pezizoid	NULL	Possible	Saprobic on soil, dung or rotten wood or mycorrhizal, some species hypogeous, others associated with fire sites (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
24_11_e	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pustularia;NA;	Pyronemataceae	9	Saprotroph-Symbiotroph	Dung Saprotroph-Ectomycorrhizal-Soil Saprotroph-Wood Saprotroph	Gasteroid-Pezizoid	NULL	Possible	Saprobic on soil, dung or rotten wood or mycorrhizal, some species hypogeous, others associated with fire sites (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
24_12_b	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pustularia;NA;	Pyronemataceae	9	Saprotroph-Symbiotroph	Dung Saprotroph-Ectomycorrhizal-Soil Saprotroph-Wood Saprotroph	Gasteroid-Pezizoid	NULL	Possible	Saprobic on soil, dung or rotten wood or mycorrhizal, some species hypogeous, others associated with fire sites (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
24_12_d	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaeta;s__inflorescentiae;	Cucurbitariaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	Microfungus	NULL	Probable	Necrotrophic or saprobic on woody plants (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
24_12_e	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaeta;s__inflorescentiae;	Cucurbitariaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	Microfungus	NULL	Probable	Necrotrophic or saprobic on woody plants (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
24_12_g	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaeta;s__inflorescentiae;	Cucurbitariaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	Microfungus	NULL	Probable	Necrotrophic or saprobic on woody plants (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
