Pot ID,Drought or control,Moisture,Date
211224,C,6,07192022
211322,C,6,07192022
211207,C,7,07192022
211320,C,6,07192022
211149,C,6,07192022
211246,C,8,07192022
211326,C,6,07192022
211151,C,7,07192022
211323,C,7,07192022
211325,C,6,07192022
211102,C,7,07192022
211304,C,7,07192022
211204,C,7,07192022
211124,C,7,07192022
211034,C,7,07192022
211166,C,7,07192022
211103,C,7,07192022
211153,C,7,07192022
211148,C,7,07192022
211115,C,11,07192022
211075,C,8,07192022
211229,C,6,07192022
211245,C,7,07192022
211196,C,7,07192022
211250,C,12,07192022
211256,C,7,07192022
211265,C,7,07192022
211036,C,7,07192022
211268,C,7,07192022
211255,C,7,07192022
211191,C,7,07192022
211188,C,9,07192022
211279,C,9,07192022
211294,C,10,07192022
211184,C,8,07192022
211306,C,7,07192022
211215,C,7,07192022
211136,C,7,07192022
211243,C,7,07192022
211139,C,7,07192022
211066,C,7,07192022
211307,C,8,07192022
211288,C,11,07192022
211163,C,7,07192022
211199,C,7,07192022
211319,C,8,07192022
211236,C,8,07192022
211172,C,8,07192022
211053,C,7,07192022
211060,C,12,07192022
211232,C,12,07192022
211105,C,13,07192022
211019,C,8,07192022
211038,C,7,07192022
211052,C,8,07192022
211134,C,7,07192022
211039,C,7,07192022
211095,C,7,07192022
211154,C,9,07192022
211234,C,7,07192022
211240,C,7,07192022
211311,C,7,07192022
211210,C,8,07192022
211281,C,7,07192022
211004,C,9,07192022
211175,C,8,07192022
211008,C,10,07192022
211064,C,10,07192022
211303,C,7,07192022
211173,C,7,07192022
211069,C,8,07192022
211336,C,9,07192022
211033,C,8,07192022
211205,C,7,07192022
211030,C,9,07192022
211194,C,20,07192022
211347,C,7,07192022
211068,C,7,07192022
211270,C,7,07192022
211091,C,7,07192022
211046,C,7,07192022
211015,C,7,07192022
211058,C,8,07192022
211335,C,7,07192022
211298,C,7,07192022
211097,C,7,07192022
211120,C,8,07192022
211231,C,8,07192022
211150,C,8,07192022
211186,C,7,07192022
211183,C,8,07192022
211118,C,8,07192022
211048,C,8,07192022
211078,C,7,07192022
211318,C,7,07192022
211284,C,7,07192022
211090,C,7,07192022
211073,C,7,07192022
211050,C,8,07192022
211108,C,7,07192022
211076,C,9,07192022
211260,C,9,07192022
211242,C,9,07192022
211283,C,7,07192022
211299,C,8,07192022
211035,C,7,07192022
211087,C,11,07192022
211013,C,7,07192022
211217,C,7,07192022
211197,C,7,07192022
211200,C,7,07192022
211264,C,8,07192022
211152,C,9,07192022
211065,C,8,07192022
211280,C,7,07192022
211088,C,7,07192022
211190,C,7,07192022
211266,C,7,07192022
211301,C,9,07192022
211277,C,9,07192022
211238,C,8,07192022
211158,C,8,07192022
211047,C,17,07192022
211122,C,8,07192022
211223,C,9,07192022
211180,C,9,07192022
211131,C,8,07192022
211093,C,8,07192022
211054,C,7,07192022
211269,C,9,07192022
211128,C,12,07192022
211179,C,7,07192022
211129,C,7,07192022
211006,C,13,07192022
211022,C,13,07192022
211104,C,7,07192022
211330,C,10,07192022
211178,C,10,07192022
211096,C,7,07192022
211021,C,7,07192022
211063,C,7,07192022
211109,C,7,07192022
211275,C,11,07192022
211009,C,11,07192022
211308,C,7,07192022
211112,C,19,07192022
211338,C,7,07192022
211161,C,7,07192022
