pot,treatment
211224,C
211322,C
211207,C
211320,C
211149,C
211246,C
211326,C
211151,C
211323,C
211325,C
211102,C
211304,C
211204,C
211124,C
211034,C
211166,C
211103,C
211153,C
211148,C
211115,C
211075,C
211229,C
211245,C
211196,C
211250,C
211256,C
211265,C
211036,C
211268,C
211255,C
211191,C
211188,C
211279,C
211294,C
211184,C
211306,C
211215,C
211136,C
211243,C
211139,C
211066,C
211307,C
211288,C
211163,C
211199,C
211319,C
211236,C
211172,C
211053,C
211060,C
211232,C
211105,C
211019,C
211038,C
211052,C
211134,C
211039,C
211095,C
211154,C
211234,C
211240,C
211311,C
211210,C
211281,C
211004,C
211175,C
211008,C
211064,C
211303,C
211173,C
211069,C
211336,C
211033,C
211205,C
211030,C
211194,C
211347,C
211068,C
211270,C
211091,C
211046,C
211015,C
211058,C
211335,C
211298,C
211097,C
211120,C
211231,C
211150,C
211186,C
211183,C
211118,C
211048,C
211078,C
211318,C
211284,C
211090,C
211073,C
211050,C
211108,C
211076,C
211260,C
211242,C
211283,C
211299,C
211035,C
211087,C
211013,C
211217,C
211197,C
211200,C
211264,C
211152,C
211065,C
211280,C
211088,C
211190,C
211266,C
211301,C
211277,C
211238,C
211158,C
211047,C
211122,C
211223,C
211180,C
211131,C
211093,C
211054,C
211269,C
211128,C
211179,C
211129,C
211006,C
211022,C
211104,C
211330,C
211178,C
211096,C
211021,C
211063,C
211109,C
211275,C
211009,C
211308,C
211112,C
211338,C
211161,C
211099,C
211111,C
211141,C
211165,C
211003,C
211333,C
211143,C
211312,C
211315,C
211051,C
211002,C
211253,C
211041,C
211218,C
211249,C
211220,C
211168,C
211123,C
211219,C
211005,C
211160,C
211037,D
211344,D
211135,D
211062,D
211314,D
211177,D
211337,D
211082,D
211085,D
211346,D
211334,D
211169,D
211010,D
211024,D
211206,D
211282,D
211305,D
211216,D
211233,D
211155,D
211028,D
211310,D
211162,D
211208,D
211225,D
211083,D
211127,D
211181,D
211126,D
211252,D
211193,D
211237,D
211156,D
211140,D
211272,D
211040,D
211192,D
211130,D
211189,D
211201,D
211227,D
211157,D
211213,D
211106,D
211167,D
211159,D
211287,D
211084,D
211045,D
211061,D
211042,D
211056,D
211080,D
211211,D
211261,D
211327,D
211278,D
211029,D
211147,D
211125,D
211331,D
211317,D
211081,D
211012,D
211257,D
211016,D
211262,D
211214,D
211263,D
211244,D
211286,D
211074,D
211258,D
211251,D
211209,D
211212,D
211300,D
211228,D
211110,D
211202,D
211114,D
211079,D
211119,D
211007,D
211113,D
211171,D
211117,D
211241,D
211248,D
211324,D
211071,D
211072,D
211101,D
211182,D
211259,D
211070,D
211094,D
211132,D
211276,D
211092,D
211027,D
211226,D
211026,D
211043,D
211086,D
211254,D
211164,D
211292,D
211089,D
211247,D
211032,D
211195,D
211057,D
211273,D
211289,D
211274,D
211059,D
211145,D
211011,D
211100,D
211142,D
211146,D
211271,D
211049,D
211198,D
211329,D
211098,D
211187,D
211285,D
211077,D
211316,D
211291,D
211031,D
211328,D
211116,D
211222,D
211121,D
211170,D
211267,D
211230,D
211239,D
211018,D
211321,D
211138,D
211133,D
211107,D
211203,D
211293,D
211174,D
211221,D
211020,D
211313,D
211296,D
211137,D
211185,D
211001,D
211044,D
211332,D
211017,D
211297,D
211144,D
211302,D
211067,D
211345,D
211309,D
