pot,seedling_1,seedling_2
211001,3991,4256
211002,4390,3805
211003,3504,4005
211004,3495,4319
211005,4066,4332
211006,3038,3481
211007,3412,3398
211008,3992,4008
211009,3700,3787
211010,3795,4274
211011,3628,3782
211012,4162,4320
211013,3798,4278
211014,4302,4236
211015,4281,3390
211016,3779,3789
211017,3793,3385
211018,4196,4167
211019,4187,4213
211020,3781,4325
211021,3705,3806
211022,3111,3126
211023,3867,3715
211024,4175,4237
211025,4166,4229
211026,4246,3711
211027,3012,4165
211028,3271,4268
211029,3704,4170
211030,3273,3776
211031,3043,3688
211032,3683,3796
211033,3386,3268
211034,3799,3679
211035,4318,4405
211036,3008,4195
211037,3044,3045
211038,4183,3959
211039,3915,3958
211040,4082,3969
211041,3125,3509
211042,3259,3274
211043,4398,4266
211044,3502,3780
211045,3026,3654
211046,3638,4317
211047,3011,3027
211048,3695,3714
211049,3974,3001
211050,3772,3982
211051,3035,3718
211052,4368,4384
211053,3995,4007
211054,4269,3985
211055,3977,4176
211056,3986,4417
211057,3972,3921
211058,3993,3112
211059,3275,3801
211060,3400,3392
211061,3033,4155
211062,4265,3650
211063,4002,3778
211064,4088,3684
211065,4334,3680
211066,4333,3775
211067,4242,3803
211068,3932,3569
211069,4096,3109
211070,4070,3552
211071,4075,4069
211072,3110,4083
211073,3284,4285
211074,4262,3264
211075,3114,4159
211076,4160,3973
211077,4391,4341
211078,3967,3693
211079,3270,3269
211080,3005,3002
211081,4230,3701
211082,3709,3708
211083,4085,3139
211084,3937,4163
211085,3771,3697
211086,3963,3696
211087,3630,3810
211088,3916,4238
211089,4261,3954
211090,3728,4279
211091,3913,3970
211093,3943,4192
211094,3936,3964
211095,4392,4388
211096,3013,3980
211097,3245,3933
211097,4185,3946
211098,3756,3745
211099,3506,4099
211100,3744,4371
211101,3482,4158
211102,3752,3739
211103,3483,4061
211104,4100,3732
211105,3243,3242
211106,3493,3741
211107,3488,4091
211108,3734,4335
211109,3508,4276
211110,4157,4004
211111,3266,4283
211112,3127,3129
211113,3117,3102
211114,3872,3251
211115,3136,3118
211116,4362,4241
211117,4345,3957
211118,4098,3653
211119,4097,3529
211120,4243,3836
211121,4327,3255
211122,3539,3918
211123,3662,3655
211124,4400,3260
211125,4324,3276
211126,3521,4258
211127,3518,3113
211128,3519,4095
211129,4233,3244
211130,3124,4060
211131,4257,4092
211132,3496,3505
211133,4271,3757
211134,3494,4260
211135,4251,3241
211136,3885,4316
211137,3497,4249
211138,3748,3735
211139,3838,3839
211140,3543,4081
211141,3530,4413
211142,4054,4235
211143,3252,3738
211144,3258,3751
211145,3938,3896
211146,3567,3917
211147,4028,3955
211148,3000,4014
211149,3261,4410
211150,3559,4000
211151,3844,3817
211152,3568,3842
211153,4029,4056
211154,4055,3853
211155,3859,4046
211156,4343,3583
211157,4273,3423
211158,3862,3415
211159,3119,3108
211160,4336,3414
211161,4132,4202
211162,3580,4027
211163,3489,3511
211164,4286,3997
211165,3603,4284
211166,3046,3600
211167,3522,4402
211168,4144,3861
211169,3643,3646
211170,3953,4369
211171,3557,3826
211172,3553,4312
211173,4322,4408
211174,3525,3048
211175,3593,3006
211176,3133,4143
211177,3475,3873
