id,diameter_mm,height_cm,plate position,colonization_per_50
3690,2.99,6.9,3-7,na
3699,3.67,5.9,3-4,na
4186,3.09,9.2,3-1,na
3685,4.33,14.6,2-7,na
3691,5.08,11.1,3-3,na
4172,3.4,5.4,3-6,na
3707,3.17,7.7,na,na
3719,2.85,4.8,3-10,na
4182,4.1,6.2,na,na
4180,2.66,4.7,2-6,na
4178,4.07,9.9,3-8,na
4168,3.03,4,3-9,na
3692,3.11,10.3,2-5,na
4164,5.38,6,na,na
3682,2.58,9.4,3-2,na
4174,5.08,12,3-5,na
4438,1.78,3.4,1-1,15
4247,1.68,2.7,1-3,7
4420,1.68,2.3,1-7,9
4437,1.79,2.6,1-8,8
3944,1.9,3.2,2-1,10
3945,1.42,2.2,2-4,3
4232,1.69,3,1-4,4
4239,1.91,3.2,1-6,4
4439,1.97,2.5,1-10,6
4223,1.48,2.2,1-12,20
3942,1.48,2.5,2-3,21
3948,1.42,1.8,1-2,3
3878,1.83,3.4,1-5,18
3882,2.02,4.1,1-9,26
3926,1.46,2.2,1-11,9
3919,1.77,3.4,2-2,6
