seedling_id,above_below,bag_with_seedling_g,just_bag_g
3579,A,5.99,4.44
4126,B,7.55,4.42
4179,B,7.82,3.94
4125,A,6.4,4.19
3221,A,5.36,4.12
4126,A,5.31,4.11
4181,B,8.32,4.18
4171,A,6.19,4.14
3678,B,6.64,4.17
3206,B,8.89,4.45
3579,B,6.83,4.42
3652,B,7.38,4.16
3217,B,9.16,4.11
4171,B,8.23,4.13
3031,A,5.94,4.39
3098,B,8.03,4.12
4125,B,10.28,4.1
3678,A,4.91,4.15
3206,A,5.94,4.4
3394,A,4.48,4.35
3394,B,4.6,4.37
3405,B,4.49,4.1
3030,A,5.34,4.09
3492,B,7.39,4.19
3405,A,4.65,4.41
3031,B,6.62,4.12
3396,B,4.48,4.09
3396,A,4.4,4.11
3030,B,6.85,4.37
3909,B,4.44,4.36
3909,A,4.45,4.34
3811,A,4.49,4.37
3314,A,4.48,4.31
3910,A,4.43,4.36
3300,B,4.88,4.32
3303,A,4.49,4.3
3314,B,4.71,4.29
3303,B,4.67,4.29
3319,A,4.47,4.35
3293,B,4.63,4.3
3311,B,4.67,4.36
3319,B,4.58,4.33
3293,A,4.5,4.31
3318,A,4.52,4.34
3311,A,4.45,4.29
3309,A,4.52,4.35
3318,B,4.74,4.28
3309,B,4.78,4.37
3290,A,4.52,4.34
3290,B,4.73,4.36
3322,A,4.56,4.39
3322,B,4.65,4.32
3811,B,4.47,4.31
3875,B,4.52,4.33
3910,B,4.44,4.3
3875,A,4.53,4.3
3892,A,4.47,4.28
3886,B,4.5,4.36
3892,B,4.47,4.34
3886,A,4.47,4.35
3300,A,4.57,4.35
3641,A,5.6,4.34
3091,B,6.43,4.41
3091,A,5.06,4.39
3548,B,8.26,4.36
4173,A,4.96,4.07
3053,A,4.82,4.36
4173,B,13.07,4.1
3604,B,6.3,4.07
3604,A,4.99,4.1
3053,B,6.41,4.06
3548,A,6.03,4.35
3641,B,7.3,4.44
3864,B,4.55,4.4
3765,B,4.48,4.39
4234,A,4.48,4.33
4244,B,4.39,4.33
3870,A,4.45,4.33
4377,A,4.52,4.36
4377,B,4.72,4.35
3866,B,4.62,4.36
3870,B,4.55,4.39
3765,A,4.48,4.4
3866,A,4.62,4.36
4201,A,4.4,4.3
4348,B,4.54,4.39
4202,A,4.49,4.32
4201,B,4.59,4.34
4202,B,4.74,4.32
4383,B,4.51,4.36
4383,A,4.48,4.32
4244,A,4.42,4.36
4348,A,4.51,4.39
3864,A,4.5,4.37
4234,B,4.66,4.33
4208,A,4.49,4.34
4216,B,4.66,4.35
4216,A,4.51,4.37
4208,B,4.77,4.36
4418,A,4.46,4.37
4418,B,4.67,4.38
3137,B,6.47,4.38
4040,A,5.2,4.41
3098,A,5.99,4.14
3094,B,7.04,4.4
4022,B,6.06,4.12
4084,A,6.65,4.12
3094,A,4.91,4.37
4084,B,8.53,4.12
4022,A,5.12,4.12
3070,A,4.93,4.15
3221,B,8.94,4.13
3487,B,6.13,4.43
3659,A,5.17,4.14
4128,A,5.74,4.39
4040,B,6.16,4.09
3487,A,5.38,4.36
3652,A,5.67,4.15
3492,A,5.43,4.43
3608,B,6.15,4.15
3659,B,5.92,4.17
4181,A,5.51,4.17
3137,A,5.53,4.42
3218,B,7.12,4.13
4128,B,7.84,4.11
3070,B,7.65,4.11
4179,A,5.69,4.43
3218,A,4.83,4.13
3608,A,5.04,4.14
3217,A,5.44,4.14
