seedling_id,colonization_numerator,colonization_denominator,plate,column,A,B,C,D,E,F,G,H,tip_notes,puller
3005,60,456,219003,1,A,B,A,A,A,B,A,A,,hvm
3708,35,452,219003,2,AQ,A,A,CQ,A,NA,NA,NA,,hvm
4196,52,614,219003,3,D,D,D,D,D,D,NA,NA,,hvm
4167,33,373,219003,4,E,E,B,E,E,E,E,E,photos 734 thru 056,hvm
3002,0,306,219003,NA,NA,NA,NA,NA,NA,NA,NA,NA,,hvm
3005,0,308,219003,NA,NA,NA,NA,NA,NA,NA,NA,NA,,hvm
3001,0,469,219003,NA,NA,NA,NA,NA,NA,NA,NA,NA,,hvm
3982,14,455,219003,5,B,DQ,EQ,Q,NA,NA,NA,NA,,hvm
3974,51,419,219003,6,B,E,D,D,D,D,E,E,,hvm
4230,42,135,219003,7,F,F,F,F,F,F,F,F,photo 887-,hvm
3774,149,267,219003,8,G,G,G,G,G,G,G,G,photo 695-,hvm
3793,157,261,219004,1,G,G,G,G,G,G,G,G,,hvm
3390,0,240,219004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,hvm
4302,83,205,219004,2,G,G,G,G,G,G,G,G,,hvm
3789,76,181,219004,3,G,G,G,G,G,G,G,G,,hvm
3385,0,212,219004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,hvm
4281,64,104,219004,4,F,F,F,F,F,F,F,F,,hvm
4320,112,196,219004,5,H,H,G,G,G,G,G,H,,hvm
3700,84,311,219004,6,B,B,B,B,B,B,B,B,,hvm
4162,78,383,219004,7,B,B,B,B,B,B,A,B,,hvm
4278,59,131,219004,8,G,G,G,G,G,G,G,G,,hvm
3795,63,172,219004,9,G,G,G,G,G,G,G,G,,hvm
4274,15,115,219004,10,H,H,H,H,NA,NA,NA,NA,,hvm
3798,128,230,219004,10,NA,NA,NA,NA,G,G,G,G,,hvm
3787,205,323,219004,11,G,G,G,G,G,G,G,G,,hvm
3008,0,265,219004,12,Q,Q,Q,Q,Q,Q,Q,Q,CONTROL TIPS,hvm
4008,134,322,219005,1,B,B,B,A,B,A,B,B,,hvm
4195,35,264,219005,2,BQ,BQ,BQ,BQ,BQ,BQ,BQ,BQ,,hvm
3992,22,285,219005,3,BQ,BQ,BQ,BQ,BQ,BQ,BQ,BQ,,hvm
3714,20,334,219005,4,BQ,BQ,BQ,A,B,B,AQ,BQ,,hvm
3963,114,332,219005,5,A,B,B,A,B,B,A,B,,hvm
3696,108,210,219005,6,B,B,B,B,B,B,B,A,,hvm
4242,46,113,219005,7,G,G,G,G,NA,NA,NA,NA,,hvm
3771,148,235,219005,7,NA,NA,NA,NA,G,G,G,G,,hvm
4261,109,138,219009,7,J,J,F,J,J,G,F,F,,hvm
4163,114,151,219009,8,E,B,C,CQ,B,D,E,C,,hvm
