seedling_id,height_cm,diameter_mm,leaf_count,chlorosis,notes
3723,3.9,2.05,,5,
3724,2.5,2.31,,5,
3725,3.9,2.38,,5,
3728,3.5,2.05,,5,
3731,4.6,2.35,,5,
3732,3.8,2.4,,5,
3735,3.9,2.15,,5,
3736,3.2,1.88,,5,
3740,2.7,2.29,,5,
3741,2.6,2.19,,5,
3742,2.9,1.77,,5,
3745,2.9,2.23,,5,
3746,4.6,2.19,,5,
3748,3.2,2.01,,5,
3750,2.6,1.93,,5,
3751,3.1,1.78,,5,
3755,3.1,2.2,,5,
3756,4.1,1.75,,5,
3769,3.6,2.06,,5,
3773,3.1,1.63,,5,
3776,2.7,1.72,,5,
3777,4.1,2.06,,5,
3779,3.4,2.29,,5,
3781,2.7,2.31,,5,
3782,3,2.17,,5,
3783,3.8,2.02,,5,
3785,3,2.23,,5,
3787,3.5,1.81,,5,
3795,3.5,1.81,,5,
3796,3.1,2.04,,5,
3798,2.9,1.73,,5,
3799,3.7,2.04,,5,
3803,2.7,1.8,,5,
3806,4.1,2.06,,5,
3825,3.5,1.77,,5,
3827,5.5,2.22,,5,
3828,4,2.36,,5,
3832,4.5,2.19,,5,
3833,2.6,1.8,,5,
3834,2.8,1.75,,5,
3835,2.1,2.06,,5,
3836,3,2.01,,5,
3837,2.9,1.92,,5,
3839,3.2,2.22,,5,
3840,5.9,2.43,,5,
3842,2.8,1.84,,5,
3843,3.2,2.05,,5,
3844,2.6,1.88,,5,
3845,3,2.11,,5,
3847,2,1.69,,5,
3849,3.3,2.51,,5,
3850,4.2,2.15,,5,
3852,3.2,1.65,,5,
3853,5,2.1,,5,
3854,3.2,2.14,,5,
3855,3.8,2.18,,5,
3856,4.8,2.23,,5,
3858,3.9,2.21,,5,
3860,3.5,2.18,,5,
3866,3.3,1.87,,5,
3873,4.5,2.08,,5,
3877,4,2.01,,5,
3880,2.9,1.79,,5,
3885,3.2,1.76,,5,
3890,4,2.21,,5,
3891,2.8,1.64,,5,
3893,3.1,2.33,,5,
3896,2.8,1.78,,5,
3897,4.4,2.66,,5,
3898,3,2.21,,5,
3899,3.8,2.13,,5,
3901,3.4,2,,5,
3905,4.5,2.36,,5,
3913,3.2,2.41,,5,
3915,2.5,2.04,,5,
3916,3.2,1.62,,5,
3921,2.8,1.86,,5,
3933,3.3,2.24,,5,
3936,2.5,2.14,,5,
3938,3.5,1.07,,5,
3946,4.3,1.88,,5,
3954,3.6,2.01,,5,
3955,3.4,2.01,,5,
3957,2.8,1.89,,5,
4201,3.2,1.64,,5,
4202,3.7,2.14,,5,
4205,4,1.97,,5,
4209,3,1.95,,5,
4213,3.5,1.93,,5,
4216,4,2.24,,5,
4218,4,2.17,,5,
