plant_ID,compartment,mass
3890,A,0.29
3986,A,0.7
4417,A,0.255
4025,A,0.555
4033,A,0.533
4419,A,0.188
3117,A,0.58
3102,A,0.514
4047,A,0.737
3264,A,0.151
3711,A,1.278
4246,A,0.174
3387,A,0.089
4026,A,0.42
4004,A,0.76
3760,A,0.163
3767,A,0.205
3577,A,0.451
4157,A,0.48
4307,A,0.254
3628,A,0.251
3505,A,0.48
4315,A,0.29
3496,A,0.379
4322,A,0.179
3077,A,0.298
3110,A,0.417
3965,A,0.587
3774,A,0.129
4083,A,0.498
3782,A,0.32
4262,A,0.351
3767,F,0.395
4026,F,0.26
3799,F,0.444
3760,F,0.236
3505,F,0.306
4056,F,0.195
4318,F,0.279
3377,F,0.049
3782,F,0.441
3587,F,0.057
4157,F,0.032
4246,F,0.156
4004,F,0.451
3899,F,0.371
3679,F,0.347
3825,F,0.151
4089,F,0.571
3110,F,0.143
4254,F,0.106
3245,F,0.076
3785,F,0.575
4378,F,0.208
4061,F,0.244
3837,F,0.223
3933,F,0.283
3890,F,0.4
3693,F,0.591
4083,F,0.027
4396,F,0.675
4405,F,0.472
4158,B,0.607
3197,B,3.941
3077,B,2.551
3746,B,0.689
4092,B,3.655
4289,B,1.512
4322,B,1.008
3511,B,3.324
3946,B,1.962
4257,B,0.42
4034,B,3.561
3611,B,3.015
3997,B,2.266
4002,B,4.653
3130,B,4.887
3771,B,0.433
3697,B,5.204
3016,B,2.699
4185,B,2.672
4149,B,2.951
4408,B,1.442
3489,B,2.891
4044,B,3.676
3124,B,4.118
3038,B,2.752
3787,B,0.554
3700,B,4.589
4286,B,0.484
