seedling_id,shoot,root,foliar
3000,0.977,3.973,0.28800000000000003
3001,0.556,4.145,0.6759999999999999
3002,0.511,4.138,0.32799999999999996
3005,0.373,3.295,0.251
3006,0.437,3.682,0.339
3007,0.47200000000000003,2.406,0.46399999999999997
3008,0.81,5.241,0.594
3011,0.561,3.323,0.322
3012,0.335,1.746,0.015
3013,0.54,2.449,0.478
3016,0.475,2.908,0.186
3018,0.315,1.678,0
3026,0.297,3.331,0.409
3027,0.586,1.236,0.542
3033,0.489,3.97,0.229
3035,0.303,3.303,0.795
3038,0.529,2.938,0
3042,0.331,3.617,0.599
3043,0.252,2.265,0.395
3044,0.224,1.28,0.202
3045,0.461,5.131,0.52
3046,0.963,5.689,0.202
3048,0.452,1.839,0.008
3051,0.668,3.516,0.114
3052,0.283,2.483,0.444
3055,0.305,4.242,0.239
3056,0.352,3.27,0.191
3057,0.032,NA,0
3058,0.16,0.407,0.284
3067,0.899,3.667,0.463
3076,0.378,2.662,0.224
3077,0.299,2.764,0.288
3087,0.326,2.919,0.589
3095,1.09,4.44,0.803
3096,0.216,2.429,0.211
3102,0.554,4.016,0.13
3107,0.555,3.263,0.101
3108,0.34,2.081,0.067
3109,0.246,3.106,0.101
3110,0.46199999999999997,3.28,0.249
3111,0.661,3.912,0.46399999999999997
3112,0.461,3.054,0.118
3113,0.276,1.927,0.061
3114,0.449,3.489,0.115
3117,0.629,8.184,0.186
3118,0.363,1.608,0
3119,0.363,4.235,0.185
3120,0.546,3.011,0.029
3124,0.681,4.494,0.246
3125,0.266,1.676,0.116
3126,0.213,0.987,0.048
3127,0.428,1.252,0
3129,0.676,4.034,0.575
3130,0.917,5.276,0.682
3132,0.599,2.182,0.10700000000000001
3135,0.369,3.079,0.039
3136,0.511,2.238,0.188
3139,0.155,2.402,0.16
3140,0.28600000000000003,2.66,0.101
3141,0.862,3.912,0.055
3148,0.808,2.804,0.12
3151,0.679,3.78,0.511
3158,0.939,4.347,0.591
3167,0.68,5.094,0.489
3172,0.358,3.012,0.657
3181,0.805,6.36,0.039999999999999994
3183,0.556,3.717,0.308
3184,0.35,2.494,0.267
3186,0.503,3.233,0.251
3188,0.476,2.668,0.078
3189,0.369,1.984,0.284
3191,0.397,4.683,0.415
3197,1.255,4.323,0.108
3237,0.477,3.641,0.307
3240,0.365,2.575,0.32
3241,0.139,NA,0.077
3242,0.097,0.441,0.011
3243,0.041,0.218,0
3244,0.201,1.325,0.312
3245,0.11699999999999999,0.508,0.08399999999999999
3250,0.071,0.326,0.011
3251,0.052,0.389,0.005
3252,0.178,1.113,0.233
3254,0.08499999999999999,0.884,0.062
3255,0.135,0.638,0.139
3258,0.088,0.27,0
3259,0.15,0.506,0.014
3260,0.155,NA,0.07
3261,0.24300000000000002,0.8,0.176
3264,0.18900000000000003,1.135,0.108
3265,0.081,0.206,0.006
3266,0.164,0.762,0.176
3268,0.025,0.392,0.01
3269,0.085,0.394,0.005
3270,0.161,0.476,0.001
3271,0.065,0.463,0.012
3272,0.14600000000000002,1.106,0.167
3273,0.075,NA,0.024
3274,0.045,0.386,0.009
3275,0.21200000000000002,0.855,0.264
3276,0.378,1.737,0.534
3278,0.126,0.671,0.163
3279,0.147,0.37,0.017
3281,0.068,0.496,0
3284,0.11,NA,0.027
3323,0.11499999999999999,0.671,0.027000000000000003
3325,0.06,0.306,0.002
3327,0.015,0.125,0.002
3331,0.067,0.317,0.006
3333,0.056,0.337,0.004
3334,0.085,0.32,0.026
3335,0.16,1.125,0.236
3337,0.26,1.65,0.318
3338,0.28800000000000003,1.637,0.152
3339,0.122,0.956,0.21400000000000002
3348,0.048,0.337,0.064
3349,0.064,0.471,0.025
3356,0.106,0.979,0.078
3358,0.086,0.319,0.01
3359,0.099,0.426,0.045
3361,0.138,0.339,0.032
3364,0.457,1.775,0.395
3369,0.148,0.279,0.013
3377,0.159,0.649,0.033
3378,0.168,NA,0.15
3379,0.102,0.392,0.003
3381,0.14400000000000002,0.916,0.143
3382,0.115,NA,0.179
3383,0.136,0.933,0.192
3385,0.27899999999999997,1.766,0.41900000000000004
3386,0.044,0.23,0
3387,0.15100000000000002,0.655,0.151
3390,0.316,1.401,0.59
3392,0.052,0.224,0.003
3398,0.063,0.43,0.001
3400,0.086,0.444,0.021
3412,0.101,0.446,0.001
3414,0.114,0.223,0.018
3415,0.06,NA,0
3423,0.102,0.365,0.086
3425,0.089,NA,0.012
3426,0.067,NA,0.027
3433,0.079,0.389,0.003
3434,0.102,NA,0.113
3438,0.039,0.104,0.018
3440,0.138,0.857,0.159
3457,0.125,NA,0.247
3473,0.157,0.906,0.308
3474,0.072,0.14,0.003
3475,0.075,NA,0.027
