seedling_id,pustularia_sp,tuber_sp,rhizopogon_hawkerae,melanogaster_sp,pulled_tips,ecto_tips,prop_assign,prop_colonized
3006,4,0,0,0,4,4,1,0.3838383838383838
3013,4,0,0,0,4,4,1,0.24812030075187969
3026,4,0,0,0,4,4,1,0.37341772151898733
3048,0,8,0,0,8,8,1,0.4537037037037037
3051,1,7,0,0,8,8,1,0.3880597014925373
3055,0,0,2,0,2,2,1,0.08547008547008547
3056,3,0,0,0,4,3,0.75,0.3879310344827586
3076,0,0,2,0,2,2,1,0.22857142857142856
3087,4,0,0,0,4,4,1,0.4727272727272727
3095,8,0,0,0,8,8,1,0.2727272727272727
3109,4,0,0,0,4,4,1,0.21897810218978103
3113,0,4,0,0,4,4,1,0.20202020202020202
3139,4,0,0,0,4,4,1,0.7586206896551724
3172,4,0,0,0,4,4,1,0.18181818181818182
3241,0,0,4,0,4,4,1,0.12318840579710146
3245,0,0,2,0,4,2,0.5,0.44554455445544555
3252,0,0,4,0,4,4,1,0.5163934426229508
3272,0,0,4,0,4,4,1,0.6639344262295082
3275,0,0,4,0,4,4,1,0.6319018404907976
3278,0,0,4,0,4,4,1,0.581081081081081
3335,0,0,8,0,8,8,1,0.5629139072847682
3339,0,0,4,0,4,4,1,0.6145833333333334
3349,0,0,4,0,4,4,1,0.20567375886524822
3356,0,0,4,0,4,4,1,0.43846153846153846
3378,0,0,4,0,4,4,1,0.2108843537414966
3381,0,0,4,0,4,4,1,0.26229508196721313
3382,0,0,4,0,4,4,1,0.3597560975609756
3385,0,0,4,0,4,4,1,0.4297520661157025
3423,0,0,4,0,4,4,1,0.7666666666666667
3434,0,0,4,0,4,4,1,0.3559322033898305
3494,4,0,0,0,4,4,1,0.3333333333333333
3495,4,0,0,0,4,4,1,0.3900709219858156
3496,0,8,0,0,8,8,1,0.2517985611510791
3498,4,0,0,0,4,4,1,0.23529411764705882
3504,4,0,0,0,4,4,1,0.4032258064516129
3509,2,0,0,0,2,2,1,0.056338028169014086
3529,4,0,0,0,4,4,1,0.14102564102564102
3536,4,0,0,0,4,4,1,0.3652173913043478
3539,0,4,0,0,4,4,1,0.4
