column,row,seq_plate,seq_name,seq_column,seq_row
1,A,dilute,ghe_m2x_1_A,1,A
1,D,full,ghe_m2x_1_D,1,B
1,E,dilute,ghe_m2x_1_E,1,C
1,F,full,ghe_m2x_1_F,1,D
1,H,full,ghe_m2x_1_H,1,E
2,B,full,ghe_m2x_2_B,1,F
2,C,full,ghe_m2x_2_C,1,G
2,D,full,ghe_m2x_2_D,1,H
2,E,dilute,ghe_m2x_2_E,2,A
2,G,full,ghe_m2x_2_G,2,B
3,A,full,ghe_m2x_3_A,2,C
3,E,full,ghe_m2x_3_E,2,D
3,F,full,ghe_m2x_3_F,2,E
3,G,full,ghe_m2x_3_G,2,F
3,H,full,ghe_m2x_3_H,2,G
4,A,full,ghe_m2x_4_A,2,H
4,B,full,ghe_m2x_4_B,3,A
4,C,full,ghe_m2x_4_C,3,B
4,D,full,ghe_m2x_4_D,3,C
4,H,full,ghe_m2x_4_H,3,D
5,A,full,ghe_m2x_5_A,3,E
5,B,full,ghe_m2x_5_B,3,F
5,D,full,ghe_m2x_5_D,3,G
5,E,full,ghe_m2x_5_E,3,H
6,A,dilute,ghe_m2x_6_A,4,A
6,F,full,ghe_m2x_6_F,4,B
6,G,full,ghe_m2x_6_G,4,C
6,H,full,ghe_m2x_6_H,4,D
7,B,full,ghe_m2x_7_B,4,E
7,C,full,ghe_m2x_7_C,4,F
7,E,dilute,ghe_m2x_7_E,4,G
7,F,full,ghe_m2x_7_F,4,H
7,G,full,ghe_m2x_7_G,5,A
7,H,full,ghe_m2x_7_H,5,B
8,A,full,ghe_m2x_8_A,5,C
8,B,full,ghe_m2x_8_B,5,D
8,C,dilute,ghe_m2x_8_C,5,E
8,D,full,ghe_m2x_8_D,5,F
8,G,full,ghe_m2x_8_G,5,G
8,H,full,ghe_m2x_8_H,5,H
9,A,full,ghe_m2x_9_A,6,A
9,D,full,ghe_m2x_9_D,6,B
9,F,full,ghe_m2x_9_F,6,C
9,G,full,ghe_m2x_9_G,6,D
9,H,dilute,ghe_m2x_9_H,6,E
10,A,full,ghe_m2x_10_A,6,F
