seedling_id,sapwood_diameter
4063,2.72
4379,2.52
4426,3.23
3665,4.2
3136,4.15
3118,2.62
3245,1.88
4089,1.88
3933,2.41
4378,2.67
3967,4.62
3736,2.45
3693,4.12
3899,3.04
3600,5.24
3096,4.64
3614,3.5
4367,2.3
4318,2.83
4405,3.2
3590,4.44
4021,5.09
3587,4.34
3837,3.12
3799,3.16
3679,3.94
4061,3.18
4396,2.9
3377,2.01
3483,2.91
3261,2.45
3973,5.8
3777,3.06
4410,3.3
3000,6.28
3785,3.34
3338,2.61
3825,2.4
4254,2.7
3725,3.33
3836,3.75
4243,2.85
4160,4.18
4014,3.8
3544,4.03
3982,5.41
4024,3.4
3772,2.91
4029,3.53
4056,5.61
3005,3.71
3002,4.42
3801,2.91
3275,2.6
4139,4.31
3007,4.26
4069,3.7
4075,3.85
4401,3.6
3804,2.81
3936,2.59
3964,3.6
4070,4.11
3552,5.27
3779,3.15
3789,2.75
3051,5.62
3486,3.59
3117,5.35
3102,3.73
4047,3.07
4419,1.65
3387,2.09
4307,2.54
3264,2.12
3711,4.98
4246,2.33
4157,4.66
4004,4.14
4026,3.54
3760,2.01
3767,1.67
3577,3.66
3628,3.27
3782,2.89
3496,3.42
3505,3.11
3110,2.71
4083,4.73
3890,2.54
4315,2.44
4033,3.95
4025,3.25
3965,3.39
3774,1.47
4262,2.57
3986,3.45
4417,1.83
4293,2.31
3272,1.42
4041,4.11
3107,3.8
3111,3.98
3126,3.04
3609,4.61
3606,4.75
3550,4.32
3181,4.49
4015,3.41
4036,4.11
3581,3.31
3536,3.72
3493,2.79
3741,2.4
3840,3.33
3616,4.25
3043,3.04
3688,2.73
3617,4.52
3592,6.41
3006,4.45
3593,4.9
3033,3.14
4155,4.01
3112,3.87
3993,4.9
3042,3.34
4017,4.68
3655,3.94
3662,5.11
3001,4.13
3974,4.41
3620,3.46
3140,2.75
4237,2.45
4175,4.14
3135,5.13
3132,3.48
3832,2.36
3858,2.33
3650,2.99
4011,4.26
4308,2.6
4265,2.61
3732,2.72
4100,3.71
4035,3.82
4321,2.13
4255,2.37
3898,2.47
3339,1.76
3584,4.48
3742,1.54
3724,2.65
4222,2
3808,2.11
3335,1.53
3905,2.39
3489,3.35
3511,3.09
3383,2.32
4002,4.58
4407,2.93
4289,2.97
3337,2.38
3611,3.93
3778,2.2
3623,3.49
4132,4.07
4282,2.58
3708,4.74
3709,4.86
4054,4.97
4235,2.6
3119,4.02
3108,3.8
3556,4.3
3946,2.44
4185,3.88
3893,3.13
4187,3.41
4213,3.35
3580,3.47
4027,4.32
2067,4.45
4370,3.7
4240,1.95
3722,2.15
3114,4.42
4159,4.15
3323,2.4
4373,3.05
3502,6.24
3780,2.77
3381,2.1
3883,2.32
4371,2.13
3744,2.52
4323,3.05
3517,3.25
4046,3.79
3859,2.75
4170,5.49
3704,4.47
3254,2.45
4253,2.24
3638,4.44
4317,2.75
4404,2.28
3566,4.2
3356,2.45
3813,2.01
4391,2.76
4341,2.88
3795,2.95
4274,2.27
4260,2.17
3494,2.01
4316,2.17
3885,2.26
3385,2.04
3793,1.93
4399,2.45
4227,3.35
3440,2.22
3854,2.58
3255,2.15
4327,2.65
4343,1.43
3583,4.04
3622,4.95
4010,4.03
3139,2.48
4085,5.42
3026,3.15
3654,4.15
3167,3.86
3535,3.17
3723,2.22
4218,2.97
3525,3.8
3048,3.98
3839,3.3
3838,3.45
4008,3.36
3992,4.03
