seedling_id,plate,column,row,newplate,newcolumn,newrow
3551,102,8,A,m4x,1,A
3551,102,8,D,m4x,1,B
3551,102,8,E,m4x,1,C
3551,102,8,F,m4x,1,D
3551,102,8,G,m4x,1,E
3551,102,8,H,m4x,1,F
3052,102,10,A,m4x,1,G
3052,102,10,B,m4x,1,G
3052,102,10,C,m4x,2,A
3052,102,10,D,m4x,2,B
3773,102,10,F,m4x,2,C
3773,102,10,H,m4x,2,D
3473,102,11,A,m4x,2,E
3473,102,11,B,m4x,2,F
3473,102,11,F,m4x,2,G
3473,102,11,G,m4x,2,G
4163,103,1,C,m4x,3,A
4163,103,1,D,m4x,3,B
4163,103,1,E,m4x,3,C
4163,103,1,G,m4x,3,D
4163,103,1,H,m4x,3,E
3591,103,3,A,m4x,3,F
3591,103,3,C,m4x,3,G
3591,103,3,D,m4x,3,G
3591,103,3,E,m4x,4,A
3591,103,3,F,m4x,4,B
3591,103,3,H,m4x,4,C
3559,103,5,D,m4x,4,D
3559,103,5,F,m4x,4,E
3664,103,7,D,m4x,4,F
3258,103,12,C,m4x,4,G
3258,103,12,D,m4x,4,G
3245,104,2,C,m4x,5,A
3245,104,2,D,m4x,5,B
3933,104,3,F,m4x,5,C
3933,104,3,H,m4x,5,D
3736,104,5,B,m4x,5,E
3736,104,5,C,m4x,5,F
3736,104,5,D,m4x,5,G
4309,105,4,A,m4x,5,G
4309,105,4,B,m4x,6,A
4309,105,4,C,m4x,6,B
4309,105,4,D,m4x,6,C
3876,105,10,A,m4x,6,D
4047,105,11,C,m4x,6,E
4047,105,11,D,m4x,6,F
4026,106,3,A,m4x,6,G
4026,106,3,B,m4x,6,G
4026,106,3,D,m4x,7,A
4026,106,3,G,m4x,7,B
4258,106,5,E,m4x,7,C
4258,106,5,F,m4x,7,D
4258,106,5,H,m4x,7,E
3812,109,3,G,m4x,7,F
3812,109,3,H,m4x,7,G
3828,111,4,A,m4x,7,G
3828,111,4,B,m4x,8,A
3828,111,4,C,m4x,8,B
