plate,column,row,morpho_plate,morpho_column,morpho_row
101,1,F,m5x,1,A
101,1,G,m5x,1,B
101,2,C,m5x,1,C
101,2,D,m5x,1,D
101,2,E,m5x,1,E
101,3,B,m5x,1,F
101,3,C,m5x,1,G
101,4,E,m5x,1,H
101,8,B,m5x,2,A
101,8,C,m5x,2,B
101,11,E,m5x,2,C
102,1,H,m5x,2,D
102,3,A,m5x,2,E
102,5,A,m5x,2,F
102,6,F,m5x,2,G
102,6,G,m5x,2,H
102,7,A,m5x,3,A
102,9,H,m5x,3,B
102,10,E,m5x,3,C
103,1,A,m5x,3,D
103,6,E,m5x,3,E
103,7,C,m5x,3,F
103,8,E,m5x,3,G
103,11,A,m5x,3,H
103,11,H,m5x,4,A
104,1,A,m5x,4,B
104,2,H,m5x,4,C
104,3,E,m5x,4,D
104,5,A,m5x,4,E
104,7,A,m5x,4,F
105,4,E,m5x,4,G
105,6,H,m5x,4,H
105,9,A,m5x,5,A
105,11,A,m5x,5,B
105,12,B,m5x,5,C
105,12,C,m5x,5,D
106,1,A,m5x,5,E
106,1,B,m5x,5,F
106,1,C,m5x,5,G
106,4,A,m5x,5,H
106,8,E,m5x,6,A
106,9,E,m5x,6,B
106,9,H,m5x,6,C
106,10,E,m5x,6,D
106,11,E,m5x,6,E
106,12,A,m5x,6,F
107,3,A,m5x,6,G
107,4,A,m5x,6,H
107,6,E,m5x,7,A
107,7,A,m5x,7,B
107,9,A,m5x,7,C
108,3,A,m5x,7,D
109,3,F,m5x,7,E
109,7,D,m5x,7,F
109,7,E,m5x,7,G
109,7,F,m5x,7,H
109,11,E,m5x,8,A
109,12,H,m5x,8,B
110,1,E,m5x,8,C
110,6,A,m5x,8,D
110,6,E,m5x,8,E
110,9,B,m5x,8,F
110,9,C,m5x,8,G
111,1,F,m5x,8,H
111,2,A,m5x,9,A
111,5,A,m5x,9,B
111,5,E,m5x,9,C
101,1,D,m2x,1,A
101,2,F,m2x,1,B
101,2,G,m2x,1,C
101,2,H,m2x,1,D
101,3,A,m2x,1,E
101,3,D,m2x,1,F
101,3,E,m2x,1,G
101,3,F,m2x,1,H
101,3,G,m2x,2,A
101,3,H,m2x,2,B
101,4,C,m2x,2,C
101,9,E,m2x,2,D
102,1,B,m2x,2,E
102,6,E,m2x,2,F
102,6,H,m2x,2,G
102,8,B,m2x,2,H
102,10,G,m2x,3,A
102,11,C,m2x,3,B
102,11,E,m2x,3,C
102,11,H,m2x,3,D
103,1,F,m2x,3,E
103,2,A,m2x,3,F
103,3,G,m2x,3,G
103,5,E,m2x,3,H
103,6,F,m2x,4,A
103,7,A,m2x,4,B
103,7,B,m2x,4,C
103,7,E,m2x,4,D
103,7,F,m2x,4,E
103,7,G,m2x,4,F
103,7,H,m2x,4,G
103,9,A,m2x,4,H
103,9,B,m2x,5,A
103,11,C,m2x,5,B
103,11,E,m2x,5,C
104,1,E,m2x,5,D
104,12,F,m2x,5,E
105,3,B,m2x,5,F
105,9,H,m2x,5,G
105,11,B,m2x,5,H
105,12,A,m2x,6,A
105,12,E,m2x,6,B
105,12,F,m2x,6,C
105,12,G,m2x,6,D
105,12,H,m2x,6,E
106,1,D,m2x,6,F
106,1,E,m2x,6,G
106,1,F,m2x,6,H
106,1,G,m2x,7,A
106,1,H,m2x,7,B
106,3,C,m2x,7,C
106,3,H,m2x,7,D
106,4,C,m2x,7,E
106,4,F,m2x,7,F
106,4,H,m2x,7,G
106,6,F,m2x,7,H
107,3,D,m2x,8,A
107,5,C,m2x,8,B
107,6,B,m2x,8,C
107,10,F,m2x,8,D
109,3,E,m2x,8,E
109,4,E,m2x,8,F
109,7,C,m2x,8,G
109,11,A,m2x,8,H
110,9,A,m2x,9,A
110,9,D,m2x,9,B
111,1,A,m2x,9,C
111,1,B,m2x,9,D
111,1,E,m2x,9,E
111,2,D,m2x,9,F
111,2,G,m2x,9,G
111,5,C,m2x,9,H
111,7,A,m2x,10,A
102,8,C,m3x,1,A
102,11,D,m3x,1,B
103,1,B,m3x,1,C
103,2,A,m3x,1,D
103,2,B,m3x,1,E
103,2,D,m3x,1,F
103,3,B,m3x,1,G
105,10,B,m3x,1,H
106,1,G,m3x,2,A
106,3,E,m3x,2,B
106,3,F,m3x,2,C
106,4,B,m3x,2,D
106,4,C,m3x,2,E
106,4,H,m3x,2,F
106,5,G,m3x,2,G
106,9,G,m3x,2,H
106,10,G,m3x,3,A
106,10,H,m3x,3,B
110,1,G,m3x,3,C
110,1,H,m3x,3,D
111,4,D,m3x,3,E
102,8,A,m4x,1,A
102,8,D,m4x,1,B
102,8,E,m4x,1,C
102,8,F,m4x,1,D
102,8,G,m4x,1,E
102,8,H,m4x,1,F
102,10,A,m4x,1,G
102,10,B,m4x,1,G
102,10,C,m4x,2,A
102,10,D,m4x,2,B
102,10,F,m4x,2,C
102,10,H,m4x,2,D
102,11,A,m4x,2,E
102,11,B,m4x,2,F
102,11,F,m4x,2,G
102,11,G,m4x,2,G
103,1,C,m4x,3,A
103,1,D,m4x,3,B
103,1,E,m4x,3,C
103,1,G,m4x,3,D
103,1,H,m4x,3,E
103,3,A,m4x,3,F
103,3,C,m4x,3,G
103,3,D,m4x,3,G
103,3,E,m4x,4,A
103,3,F,m4x,4,B
103,3,H,m4x,4,C
103,5,D,m4x,4,D
103,5,F,m4x,4,E
103,7,D,m4x,4,F
103,12,C,m4x,4,G
103,12,D,m4x,4,G
104,2,C,m4x,5,A
104,2,D,m4x,5,B
104,3,F,m4x,5,C
104,3,H,m4x,5,D
104,5,B,m4x,5,E
104,5,C,m4x,5,F
104,5,D,m4x,5,G
105,4,A,m4x,5,G
105,4,B,m4x,6,A
105,4,C,m4x,6,B
105,4,D,m4x,6,C
105,10,A,m4x,6,D
105,11,C,m4x,6,E
105,11,D,m4x,6,F
106,3,A,m4x,6,G
106,3,B,m4x,6,G
106,3,D,m4x,7,A
106,3,G,m4x,7,B
106,5,E,m4x,7,C
106,5,F,m4x,7,D
106,5,H,m4x,7,E
109,3,G,m4x,7,F
109,3,H,m4x,7,G
111,4,A,m4x,7,G
111,4,B,m4x,8,A
111,4,C,m4x,8,B
