pot,seedling_id,time,pressure_mpa,Leaf Area,Stem Area,Notes
211231,3590,Pre-dawn ,0.45,,,
211283,3725,Pre-dawn,1.225,,,
211283,4254,Pre-dawn,0.6,,,
211050,3772,Pre-dawn,0.9,,,
211166,3046,Pre-dawn,0.5,,,
211035,4405,Pre-dawn,1.118,,,
211280,3377,Pre-dawn,0.67,,,
211231,4021,pre-dawn,0.35,,,
211280,4896,pre-dawn,1.1,,,
211264,3544,pre-dawn,0.4,,,
211035,4318,PrE-dAwN,1.17,,,
211264,4024,PRE-dawn,0.3,,,
211050,3982,pre-DAWN,0.15,,,
211318,3899,pre-dawn,0.9,,,
211103,4061,Pre-dawn,0.15,,,
211078,3693,pre-dawn,0.3,,,
211318,3736,pre-dawn,0.8,,,
211076,3973,pre-dawn,0.6,,,
211325,3825,pre-dawn,0.75,,,
211115,3136,Pre-dawn,0.95,,,
211076,4160,pre-dawn,0.45,,,
211097,3933,Pre-dawn,0.52,,,
211078,3967,pre-dawn,0.4,,,
211120,4243,pre-dawn,0.8,,,
211183,3665,pre-dawn,0.35,,,
211097,3245,pre-dawn,0.56,,,
211148,3000,pre-dawn,0.3,,,
211183,4426,Pre-dawn,0.89,,,
211166,3600,pre-dawn,0.58,,,
211153,4056,pre-dawn,0.55,,,
211120,3836,Pre-dawn,0.55,,,
211224,4063,pre-dawn,0.55,,,
211148,4014,pre-dawn,1.05,,,
211224,4379,pre-dawn,0.65,,,
211229,3837,pre-dawn,1,,,
211034,3679,pre-dawn,0.25,,,
211034,3799,Pre-dawn,1.11,,,
211153,4029,pre-dawn,0.4,,,
211229,3587,pre-dawn,0.46,,,
211103,3483,pre-dawn,0.5,,,
211323,4089,pre-dawn,0.6,,,
211204,3777,pre-dawn,1.31,,,
211204,3785,pre-dawn,0.88,,,
211325,3338,pre-dawn,0.95,,,
211320,4367,pre-dawn,0.9,,,
211320,3614,pre-dawn,0.5,,,
211323,4378,pre-dawn,1.16,,,
211149,3261,pre-dawn,1.15,,,
211149,4410,Pre-dawn,1.45,,,
211034,3799,mid-day,0.8,,,
211325,3338,mid-day,1.05,,,
211097,3933,mid-day,0.6,,,
211034,3679,mid-day,0.7,,,
211325,3825,mid-day,0.6,,,
211323,4089,mid-day,0.81,,,
211183,3665,mid-day,0.4,,,
211323,4378,mid-day,0.8,,,
211224,4063,mid-day,0.75,,,
211224,4379,mid-day,1.45,,,
211149,4410,mid-day,0.9,,,
211183,4426,mid-day,0.72,,,
211318,3736,mid-day,0.55,,,
211318,3899,mid-day,0.85,,,
211103,3483,mid-day,0.6,,,
211229,3587,mid-day,0.4,,,
211149,3261,mid-day,1.18,,,
211103,4061,mid-day,0.7,,,
211204,3785,mid-day,1.26,,,
211204,3777,mid-day,0.8,,,
211229,3837,mid-day,0.6,,,
211097,3245,mid-day,0.5,,,
211283,4254,mid-day,0.76,,,
211166,3046,mid-day,0.7,,,
211076,4160,mid-day,0.8,,,
211320,3614,mid-day,1.05,,,
211076,3973,mid-day,0.6,,,
211166,3600,mid-day,0.75,,,
211231,3590,mid-day,0.65,,,
211120,4243,mid-day,1.02,,,
211320,4367,mid-day,1.1,,,
211120,3836,mid-day,1.05,,,
211231,4021,mid-day,0.51,,,
211283,3725,mid-day,1.5,,,
211078,3967,mid-day,-,,,
