al_str,pot,trt_str
PCPPC,211111,PCPPC
PCPPC,211015,PCPPC
PCPPC,211245,PCPPC
PCPPC,211188,PCPPC
PCPPC,211319,PPPCC
PCPPD,211157,PPPCD
PCPPD,211074,PPPCD
PCPPD,211121,PCPPD
PCPPD,211247,PCPPD
PCPPD,211272,PCPPD
PCPQC,211219,PQPCC
PCPQC,211281,PQPCC
PCPQC,211325,PQPCC
PCPQC,211186,PQPCC
PCPQC,211097,PCPQC
PPPQC,211002,PQPPC
PPPQC,211120,PQPPC
PPPQC,211088,PPPQC
PPPQC,211283,PPPQC
PPPQC,211307,PQPPC
PPPQD,211020,PQPPD
PPPQD,211187,PPPQD
PPPQD,211117,PPPQD
PPPQD,211100,PPPQD
PPPQD,211010,PPPQD
PPQPC,211323,PPQPC
PPQPC,211054,QPPPC
PPQPC,211161,QPPPC
PPQPC,211019,PPQPC
PPQPC,211301,PPQPC
PPQPD,211142,PPQPD
PPQPD,211189,QPPPD
PPQPD,211225,QPPPD
PPQPD,211024,QPPPD
PPQPD,211056,QPPPD
PPQQC,211109,QQPPC
PPQQC,211134,QQPPC
PPQQC,211215,PPQQC
PPQQC,211004,QQPPC
PPQQC,211165,PPQQC
PPQQD,211230,QQPPD
PPQQD,211181,PPQQD
PPQQD,211248,PPQQD
PPQQD,211062,QQPPD
PPQQD,211156,QQPPD
PQQPC,211093,QPPQC
PQQPC,211154,PQQPC
PQQPC,211038,QPPQC
PQQPC,211260,QPPQC
PQQPC,211199,QPPQC
PQQPD,211195,QPPQD
PQQPD,211057,PQQPD
PQQPD,211155,QPPQD
PQQPD,211040,QPPQD
PQQPD,211273,PQQPD
PQQQC,211306,PQQQC
PQQQC,211068,QQPQC
PQQQC,211190,PQQQC
PQQQC,211218,QQPQC
PQQQC,211034,PQQQC
PQQQD,211032,PQQQD
PQQQD,211221,QQPQD
PQQQD,211011,PQQQD
PQQQD,211233,QQPQD
PQQQD,211106,PQQQD
QCQPC,211058,QPQCC
QCQPC,211069,QPQCC
QCQPC,211288,QPQCC
QCQPC,211036,QPQCC
QCQPC,211205,QCQPC
QCQPD,211072,QPQCD
QCQPD,211061,QCQPD
QCQPD,211202,QCQPD
QCQPD,211049,QPQCD
QCQPD,211083,QPQCD
QCQQC,211336,QQQCC
QCQQC,211312,QQQCC
QCQQC,211041,QQQCC
QCQQC,211284,QCQQC
QCQQC,211236,QQQCC
QCQQD,211337,QQQCD
QCQQD,211213,QCQQD
QCQQD,211031,QCQQD
QCQQD,211309,QCQQD
QCQQD,211282,QQQCD
QPQQC,211210,QPQQC
QPQQC,211118,QPQQC
QPQQC,211150,QPQQC
QPQQC,211064,QPQQC
QPQQC,211231,QQQPC
QPQQD,211107,QPQQD
QPQQD,211344,QPQQD
QPQQD,211162,QQQPD
QPQQD,211237,QQQPD
QPQQD,211086,QQQPD
PCPQD,211192,PCPQD
PCPQD,211017,PQPCD
PCPQD,211059,PCPQD
PCPQD,211305,PCPQD
PPPPC,211035,PPPPC
PPPPC,211279,PPPPC
PPPPC,211270,PPPPC
PQPQC,211039,PQPQC
PQPQC,211204,PQPQC
PQPQC,211139,PQPQC
PQPQD,211016,PQPQD
PQPQD,211098,PQPQD
PQPQD,211138,PQPQD
QCQCC,211250,QCQCC
QCQCC,211022,QCQCC
QCQCC,211047,QCQCC
QCQCD,211244,QCQCD
QCQCD,211113,QCQCD
QCQCD,211037,QCQCD
QPQPC,211269,QPQPC
QPQPC,211008,QPQPC
QPQPC,211153,QPQPC
QPQPD,211227,QPQPD
QPQPD,211071,QPQPD
QPQPD,211110,QPQPD
QQQQC,211184,QQQQC
QQQQC,211123,QQQQC
QQQQC,211347,QQQQC
PPPPD,211077,PPPPD
PPPPD,211116,PPPPD
QQQQD,211222,QQQQD
QQQQD,211082,QQQQD
NA,211132,QQQQD
NA,211276,PPPPD
