files,seedling_id,plant_compartment,seedling_sp,soil_type,blk_pixels,area
3026_H.jpg,3026,H,Q,C,68218,0.11748679052913662
3048_H.jpg,3048,H,Q,C,16391,0.02822900090244625
3077_H.jpg,3077,H,Q,C,40593,0.06991030648727964
3114_H.jpg,3114,H,Q,C,50563,0.08708089638401499
3119_H.jpg,3119,H,Q,C,49524,0.08529150391634116
3139_H.jpg,3139,H,Q,C,52763,0.09086979285069681
3254_H.jpg,3254,H,P,C,81921,0.14108644883956434
3255_H.jpg,3255,H,P,C,8015,0.013803638718388548
3323_H.jpg,3323,H,P,C,72872,0.12550202878183533
3381_H.jpg,3381,H,P,C,12965,0.022328655768422648
3383_H.jpg,3383,H,P,C,52739,0.09082845943469665
3489_H.jpg,3489,H,Q,Q,47883,0.08246533159732986
3494_H.jpg,3494,H,Q,Q,56307,0.09697336061338789
3535_H.jpg,3535,H,Q,Q,8200,0.014122250466723156
3556_H.jpg,3556,H,Q,Q,29764,0.051260324742871705
3566_H.jpg,3566,H,Q,Q,48728,0.08392061228566902
3571_H.jpg,3571,H,NA,NA,100660,0.1733592356073601
3583_H.jpg,3583,H,Q,Q,62819,0.10818849415476608
3611_H.jpg,3611,H,Q,Q,38387,0.06611107666659778
3622_H.jpg,3622,H,Q,Q,149617,0.25767423757069735
3623_H.jpg,3623,H,Q,Q,66680,0.11483800745379269
3638_H.jpg,3638,H,Q,Q,74538,0.12837125674251348
3654_H.jpg,3654,H,Q,Q,39964,0.06882702654294197
3704_H.jpg,3704,H,Q,Q,65920,0.11352911594712078
3708_H.jpg,3708,H,Q,Q,56616,0.09750552834439002
3722_H.jpg,3722,H,P,Q,27733,0.04776248441385772
3746_H.jpg,3746,H,P,Q,121961,0.21004436453317352
3778_H.jpg,3778,H,P,Q,69580,0.119832461887146
3793_H.jpg,3793,H,P,Q,16560,0.02852005704011408
3795_H.jpg,3795,H,P,Q,111207,0.1915235497137661
3813_H.jpg,3813,H,P,Q,79355,0.13666721777888
3838_H.jpg,3838,H,P,Q,54936,0.09461218922437845
3839_H.jpg,3839,H,P,Q,151032,0.26011118688904045
3859_H.jpg,3859,H,P,Q,80900,0.13932805643389065
3883_H.jpg,3883,H,P,Q,62506,0.10764943752109726
3893_H.jpg,3893,H,P,Q,16616,0.0286165016774478
3946_H.jpg,3946,H,P,Q,20702,0.03565351575147595
3992_H.jpg,3992,H,Q,P,16574,0.02854416819944751
4002_H.jpg,4002,H,Q,P,55562,0.09569030249171609
4008_H.jpg,4008,H,Q,P,49823,0.08580644939067655
4054_H.jpg,4054,H,Q,P,79714,0.1372854967932158
4085_H.jpg,4085,H,Q,P,71877,0.12378841424349515
4159_H.jpg,4159,H,Q,P,23070,0.039731746130158924
4170_H.jpg,4170,H,Q,P,85770,0.14771529543059086
4187_H.jpg,4187,H,Q,P,46893,0.08076032818732304
4213_H.jpg,4213,H,P,P,78799,0.1357096603082095
4218_H.jpg,4218,H,P,P,97398,0.16774133548267098
4235_H.jpg,4235,H,P,P,38505,0.06631429929526526
4240_H.jpg,4240,H,P,P,28602,0.049259098518197035
4253_H.jpg,4253,H,P,P,101641,0.17504873898636686
4260_H.jpg,4260,H,P,P,61052,0.10514532140175391
4274_H.jpg,4274,H,P,P,29274,0.05041643416620167
4316_H.jpg,4316,H,P,P,101946,0.1755740178147023
4317_H.jpg,4317,H,P,P,122846,0.21156853424817962
4322_H.jpg,4322,H,P,P,79195,0.13639166167221223
4323_H.jpg,4323,H,P,P,35775,0.06161262322524645
4327_H.jpg,4327,H,P,P,28681,0.04939515434586425
4370_H.jpg,4370,H,P,P,7832,0.013488471421387288
4399_H.jpg,4399,H,P,P,20269,0.0349077920378063
4404_H.jpg,4404,H,P,P,16959,0.02920722508111683
4407_H.jpg,4407,H,P,P,86059,0.14821301864825953
4408_H.jpg,4408,H,P,P,28673,0.04938137654053086
