files,seedling_id,plant_compartment,seedling_sp,soil_type,blk_pixels,area
3245_G.jpg,3245,G,P,C,15820,0.02724561004677565
3245_H.jpg,3245,H,P,C,22769,0.039213356204490186
3245_M.jpg,3245,M,P,C,2665,0.004589731401685025
3245_P.jpg,3245,P,P,C,2508,0.004319341972017277
3254_G434.jpg,3254,G,P,C,44534,0.07669759783964013
3254_P435.jpg,3254,P,P,C,7823,0.013472971390387225
3255_G497.jpg,3255,G,P,C,13830,0.023818380970095275
3255_P498.jpg,3255,P,P,C,4283,0.007376292530362838
3261_G.jpg,3261,G,P,C,56142,0.09668919337838676
3261_H.jpg,3261,H,P,C,75720,0.13040692748052163
3261_M.jpg,3261,M,P,C,1473,0.0025368384070101474
3261_P.jpg,3261,P,P,C,6452,0.011111800001377781
3264_G269.jpg,3264,G,P,C,26803,0.04616081454385131
3264_H068.jpg,3264,H,P,C,14819,0.02552166215443542
3264_M069.jpg,3264,M,P,C,1737,0.002991505983011966
3264_P270.jpg,3264,P,P,C,2105,0.0036252850283478343
3272_G319.jpg,3272,G,P,C,61210,0.10541743305708834
3272_H234.jpg,3272,H,P,C,74067,0.12756008845351025
3272_M235.jpg,3272,M,P,C,6457,0.011120411129711148
3272_P320.jpg,3272,P,P,C,5065,0.008723073001701559
3275_G297.jpg,3275,G,P,C,23137,0.039847135249826054
3275_H128.jpg,3275,H,P,C,28292,0.04872520856152823
3275_M129.jpg,3275,M,P,C,3878,0.006678791135360049
3275_P298.jpg,3275,P,P,C,2714,0.00467412045935203
3323_G465.jpg,3323,G,P,C,30685,0.052846494581878053
3323_P466.jpg,3323,P,P,C,3262,0.005617900124689139
3335_G350.jpg,3335,G,P,C,54160,0.09327574210703977
3335_H214.jpg,3335,H,P,C,72114,0.12419658172649678
3335_M215.jpg,3335,M,P,C,5069,0.008729961904368254
3335_P351.jpg,3335,P,P,C,4684,0.008066905022698934
3337_G559.jpg,3337,G,P,C,48499,0.08352622260800077
3337_H584.jpg,3337,H,P,C,41957,0.07225942229662237
3337_M585.jpg,3337,M,P,C,8244,0.014198028396056793
3337_P560.jpg,3337,P,P,C,4550,0.007836126783364677
3338_G.jpg,3338,G,P,C,26243,0.04519636817051412
3338_H017.jpg,3338,H,P,C,75638,0.1302657049758544
3338_M018.jpg,3338,M,P,C,3419,0.0058882895543568865
3338_P.jpg,3338,P,P,C,2577,0.004438175543017753
3339_G418.jpg,3339,G,P,C,9421,0.016225088005731567
3339_H205.jpg,3339,H,P,C,96633,0.1664238328476657
3339_M206.jpg,3339,M,P,C,10163,0.017502979450403345
3339_P419.jpg,3339,P,P,C,2204,0.0037957853693485165
3356_G501.jpg,3356,G,P,C,93193,0.16049937655430865
3356_P502.jpg,3356,P,P,C,6039,0.010400520801041603
3377_G.jpg,3377,G,P,C,13891,0.02392343673576236
3377_H019.jpg,3377,H,P,C,9670,0.016653922196733284
3377_M020.jpg,3377,M,P,C,2336,0.0040231191573494255
3377_P.jpg,3377,P,P,C,1542,0.0026556719780106226
3381_G520.jpg,3381,G,P,C,35197,0.06061717678990913
3381_P521.jpg,3381,P,P,C,2676,0.004608675884018434
3383_G486.jpg,3383,G,P,C,20962,0.036101294424811074
3383_P487.jpg,3383,P,P,C,619,0.0010660576876709309
3385_G569.jpg,3385,G,P,C,96684,0.16651166635666606
3385_H015.jpg,3385,H,P,C,119175,0.205246243825821
3385_M016.jpg,3385,M,P,C,12415,0.021381431651752193
3385_P570.jpg,3385,P,P,C,8712,0.015004030008060016
3387_G280.jpg,3387,G,P,C,3124,0.005380232982688187
3387_H117.jpg,3387,H,P,C,60469,0.10414126383808323
3387_M118.jpg,3387,M,P,C,9235,0.015904754031730285
3387_P281.jpg,3387,P,P,C,1348,0.0023215601986759527
3440_G563.jpg,3440,G,P,C,13926,0.023983714634095935
3440_H578.jpg,3440,H,P,C,21485,0.03700201844848134
3440_M579.jpg,3440,M,P,C,2451,0.004221175109016885
3440_P564.jpg,3440,P,P,C,1793,0.0030879506203456853
3722_G517.jpg,3722,G,P,Q,22630,0.03897396683682256
3722_P518.jpg,3722,P,P,Q,3217,0.005540399969688828
3723_G448.jpg,3723,G,P,Q,36663,0.06314195961725257
3723_H001.jpg,3723,H,P,Q,13265,0.022845323468424713
3723_M002.jpg,3723,M,P,Q,3548,0.006110456665357775
3723_P449.jpg,3723,P,P,Q,4204,0.007240236702695628
3724_G342.jpg,3724,G,P,Q,100889,0.17375362528502836
3724_H231.jpg,3724,H,P,Q,139500,0.240250480500961
3724_M232.jpg,3724,M,P,Q,7338,0.01263769194205055
3724_P343.jpg,3724,P,P,Q,7066,0.012169246560715344
3725_G.jpg,3725,G,P,Q,75579,0.13016409366152065
3725_H014.jpg,3725,H,P,Q,98815,0.1701817292523474
3725_M015.jpg,3725,M,P,Q,5660,0.009747797273372324
3725_P.jpg,3725,P,P,Q,1952,0.0033617845013467805
3732_G382.jpg,3732,G,P,Q,28331,0.048792375362528506
3732_H184.jpg,3732,H,P,Q,52725,0.09080434827536321
3732_M185.jpg,3732,M,P,Q,38465,0.06624541026859831
3732_P383.jpg,3732,P,P,Q,4631,0.007975627062365235
3736_G089.jpg,3736,G,P,Q,18874,0.032505287232796685
3736_H012.jpg,3736,H,P,Q,14941,0.025731773685769593
3736_M013.jpg,3736,M,P,Q,3478,0.005989900868690627
3736_P090.jpg,3736,P,P,Q,3854,0.0066374577193598835
3741_G325.jpg,3741,G,P,Q,38703,0.06665529997726662
3741_H181.jpg,3741,H,P,Q,139834,0.24082570387362998
3741_M182.jpg,3741,M,P,Q,9477,0.016321532643065285
3741_P326.jpg,3741,P,P,Q,2569,0.004424397737684364
3742_G337.jpg,3742,G,P,Q,121665,0.20953458573583814
