files,seedling_id,plant_compartment,seedling_sp,soil_type,blk_pixels,area
3000_B.jpg,3000,B,Q,C,2817277,4.851986759529074
3001_B.jpg,3001,B,Q,C,3702050,6.375765529308836
3002_B.jpg,3002,B,Q,C,5074613,8.739628757035291
3005_B.jpg,3005,B,Q,C,3466364,5.969861050833213
3006_B.jpg,3006,B,Q,C,4967871,8.555794944923223
3007_B.jpg,3007,B,Q,C,3220569,5.546546593093186
3008_B.jpg,3008,B,Q,C,2633446,4.5353882929988085
3011_B.jpg,3011,B,Q,C,3308663,5.698264340973126
3013_B.jpg,3013,B,Q,C,1253855,2.159421263286971
3016_B.jpg,3016,B,Q,C,3130101,5.390740281480563
3018_B.jpg,3018,B,Q,C,1390840,2.395340346236248
3026_B.jpg,3026,B,Q,C,2525713,4.349847755251066
3027_B.jpg,3027,B,Q,C,2266969,3.9042321973532834
3033_B.jpg,3033,B,Q,C,3248533,5.594706911636045
3035_B.jpg,3035,B,Q,C,2275046,3.918142614063006
3038_B.jpg,3038,B,Q,C,3299811,5.683019199371732
3042_B.jpg,3042,B,Q,C,4023386,6.92917863613505
3043_B.jpg,3043,B,Q,C,2293449,3.949836733006799
3044_B.jpg,3044,B,Q,C,905259,1.5590602847872364
3045_B.jpg,3045,B,Q,C,1921745,3.309678563801572
3046_B.jpg,3046,B,Q,C,3193422,5.4997933329199995
3048_B.jpg,3048,B,Q,C,1151782,1.9836285228126012
3051_B.jpg,3051,B,Q,C,3272767,5.636443328442213
3052_B.jpg,3052,B,Q,C,1833839,3.1582845943469664
3055_B.jpg,3055,B,Q,C,4865564,8.379599203642853
3056_B.jpg,3056,B,Q,C,2997002,5.1615137674719795
3058_B.jpg,3058,B,Q,C,1822307,3.138423887958887
3076_B.jpg,3076,B,Q,C,2474266,4.261244411377712
3077_B.jpg,3077,B,Q,C,2791824,4.808150949635233
3087_B.jpg,3087,B,Q,C,2659707,4.580615661231322
3095_B.jpg,3095,B,Q,C,4356024,7.5020563374460085
3096_B.jpg,3096,B,Q,C,2938690,5.061087344396911
3102_B.jpg,3102,B,Q,C,2451566,4.222149888744222
3107_B.jpg,3107,B,Q,C,1890999,3.256727013454027
3108_B.jpg,3108,B,Q,C,1733833,2.986051694325611
3109_B.jpg,3109,B,Q,C,2878084,4.956710135642494
3110_B.jpg,3110,B,Q,C,2711906,4.6705141188060155
3111_B.jpg,3111,B,Q,C,3173112,5.464814929629859
3112_B.jpg,3112,B,Q,C,2496649,4.299792988474866
3113_B.jpg,3113,B,Q,C,1291526,2.2242992263762305
3114_B.jpg,3114,B,Q,C,3787588,6.523081268384759
3117_B.jpg,3117,B,Q,C,5091947,8.769481816741411
3118_B.jpg,3118,B,Q,C,1196070,2.0599024531382395
3119_B.jpg,3119,B,Q,C,3606213,6.210712588091843
3120_B.jpg,3120,B,Q,C,3785422,6.519350927590744
3124_B.jpg,3124,B,Q,C,2750823,4.73753797507595
3125_B.jpg,3125,B,Q,C,2421119,4.169713283871012
3126_B.jpg,3126,B,Q,C,996961,1.7169918228725347
3127_B.jpg,3127,B,Q,C,981698,1.6907054925220961
3129_B.jpg,3129,B,Q,C,3871294,6.667241890039335
3130_B.jpg,3130,B,Q,C,4540449,7.819677806022279
3132_B.jpg,3132,B,Q,C,3613935,6.224011614689896
3135_B.jpg,3135,B,Q,C,2205917,3.7990868759515295
3136_B.jpg,3136,B,Q,C,2385029,4.107558159560764
3139_B.jpg,3139,B,Q,C,1935791,3.3338689455156687
3140_B.jpg,3140,B,Q,C,3384228,5.828404323475314
3141_B.jpg,3141,B,Q,C,2338398,4.027249054498109
3148_B.jpg,3148,B,Q,C,4431190,7.631509151907193
3151_B.jpg,3151,B,Q,C,3203467,5.517093089741735
3167_B.jpg,3167,B,Q,C,3525237,6.071253642507285
3172_B.jpg,3172,B,Q,C,3533370,6.085260503854341
3181_B.jpg,3181,B,Q,C,4795715,8.25930346305137
3183_B.jpg,3183,B,Q,C,4104001,7.068015858253939
3184_B.jpg,3184,B,Q,C,4019761,6.922935568093358
3186_B.jpg,3186,B,Q,C,5899671,10.160564821129642
3188_B.jpg,3188,B,Q,C,1478348,2.5460488698755177
3189_B.jpg,3189,B,Q,C,3433332,5.912972492611652
3191_B.jpg,3191,B,Q,C,5937298,10.225367006289568
3197_B.jpg,3197,B,Q,C,3554479,6.121614965452153
3237_B.jpg,3237,B,Q,C,2332494,4.017081034162068
3240_B.jpg,3240,B,Q,C,4205733,7.243221319775973
3481_B.jpg,3481,B,Q,Q,1240492,2.1364071617032123
3482_B.jpg,3482,B,Q,Q,1979418,3.409004484675636
3483_B.jpg,3483,B,Q,Q,1421496,2.4481368962737924
3484_B.jpg,3484,B,Q,Q,1987899,3.4236106805546944
3486_B.jpg,3486,B,Q,Q,4318758,7.437875875751751
3488_B.jpg,3488,B,Q,Q,1498353,2.580501994337322
3489_B.jpg,3489,B,Q,Q,3872938,6.670073229035347
3493_B.jpg,3493,B,Q,Q,1324096,2.2803921163397884
3494_B.jpg,3494,B,Q,Q,2273622,3.915690164713663
3495_B.jpg,3495,B,Q,Q,4242187,7.30600333422889
3496_B.jpg,3496,B,Q,Q,3131342,5.392877563532905
3497_B.jpg,3497,B,Q,Q,5359777,9.23074551704659
3498_B.jpg,3498,B,Q,Q,4165730,7.174327126432031
3502_B.jpg,3502,B,Q,Q,1706698,2.939319100860424
3504_B.jpg,3504,B,Q,Q,4407929,7.591448460674699
3505_B.jpg,3505,B,Q,Q,2759401,4.752311226844676
3506_B.jpg,3506,B,Q,Q,1979300,3.4088012620469685
3508_B.jpg,3508,B,Q,Q,2537504,4.370154518086814
3509_B.jpg,3509,B,Q,Q,3312211,5.704374797638484
3511_B.jpg,3511,B,Q,Q,4081896,7.0299460598921195
3513_B.jpg,3513,B,Q,Q,1235676,2.1281129228925124
3517_B.jpg,3517,B,Q,Q,2454517,4.2272321766865755
3518_B.jpg,3518,B,Q,Q,1108768,1.909548707986305
3519_B.jpg,3519,B,Q,Q,1041527,1.7937445319335084
3521_B.jpg,3521,B,Q,Q,4781251,8.234393191008603
3522_B.jpg,3522,B,Q,Q,6770012,11.659488430087972
3524_B.jpg,3524,B,Q,Q,1994166,3.4344038688077374
3525_B.jpg,3525,B,Q,Q,2627362,4.524910272042766
3529_B.jpg,3529,B,Q,Q,5876890,10.121330798217151
3530_B.jpg,3530,B,Q,Q,2291712,3.9468452270237875
3531_B.jpg,3531,B,Q,Q,1685994,2.9036621406576146
3532_B.jpg,3532,B,Q,Q,1294504,2.2294280144115843
3533_B.jpg,3533,B,Q,Q,1747336,3.0093069075027037
3535_B.jpg,3535,B,Q,Q,3220640,5.54666887111552
3536_B.jpg,3536,B,Q,Q,2722700,4.68910382265209
3539_B.jpg,3539,B,Q,Q,2155466,3.712198868842182
