seedling_id,plate,row,column,seedling_sp,soil_type
3094,219023,A,10,Q,C
3094,219023,B,10,Q,C
3094,219023,C,10,Q,C
3094,219023,D,10,Q,C
3094,219023,E,10,Q,C
3094,219023,F,10,Q,C
3094,219023,G,10,Q,C
3094,219023,H,10,Q,C
3487,219023,A,11,Q,Q
3487,219023,B,11,Q,Q
3487,219023,C,11,Q,Q
3487,219023,D,11,Q,Q
3487,219023,E,11,Q,Q
3487,219023,F,11,Q,Q
3487,219023,G,11,Q,Q
3487,219023,H,11,Q,Q
3492,219023,A,12,Q,Q
3492,219023,B,12,Q,Q
3492,219023,C,12,Q,Q
3492,219023,D,12,Q,Q
3492,219023,E,12,Q,Q
3492,219023,F,12,Q,Q
3492,219023,G,12,Q,Q
3492,219023,H,12,Q,Q
3678,219024,A,1,Q,Q
3678,219024,B,1,Q,Q
3678,219024,C,1,Q,Q
3678,219024,D,1,Q,Q
3678,219024,E,1,Q,Q
3678,219024,F,1,Q,Q
4040,219024,A,2,Q,P
4040,219024,B,2,Q,P
4040,219024,C,2,Q,P
4040,219024,D,2,Q,P
4040,219024,E,2,Q,P
4040,219024,F,2,Q,P
4040,219024,G,2,Q,P
4040,219024,H,2,Q,P
4126,219024,A,3,Q,P
4126,219024,B,3,Q,P
4126,219024,C,3,Q,P
4126,219024,D,3,Q,P
4126,219024,E,3,Q,P
4126,219024,F,3,Q,P
4126,219024,G,3,Q,P
4126,219024,H,3,Q,P
4125,219024,A,4,Q,P
4125,219024,B,4,Q,P
4125,219024,C,4,Q,P
4125,219024,D,4,Q,P
4125,219024,E,4,Q,P
4125,219024,F,4,Q,P
4125,219024,G,4,Q,P
4125,219024,H,4,Q,P
3579,219024,B,5,Q,Q
3579,219024,C,5,Q,Q
3579,219024,D,5,Q,Q
3579,219024,E,5,Q,Q
3579,219024,F,5,Q,Q
3579,219024,H,5,Q,Q
4128,219024,A,6,Q,P
4128,219024,B,6,Q,P
4128,219024,C,6,Q,P
4128,219024,D,6,Q,P
4128,219024,E,6,Q,P
4128,219024,F,6,Q,P
4128,219024,G,6,Q,P
4128,219024,H,6,Q,P
3137,219024,A,7,Q,C
3137,219024,B,7,Q,C
3137,219024,C,7,Q,C
3137,219024,D,7,Q,C
3137,219024,E,7,Q,C
3137,219024,F,7,Q,C
3137,219024,G,7,Q,C
3137,219024,H,7,Q,C
3206,219024,A,8,Q,C
3206,219024,B,8,Q,C
3206,219024,C,8,Q,C
3206,219024,D,8,Q,C
3206,219024,E,8,Q,C
3206,219024,G,8,Q,C
3206,219024,H,8,Q,C
4179,219024,A,9,Q,P
4179,219024,B,9,Q,P
4179,219024,C,9,Q,P
4179,219024,D,9,Q,P
4179,219024,E,9,Q,P
4179,219024,F,9,Q,P
4179,219024,G,9,Q,P
4179,219024,H,9,Q,P
4181,219024,A,10,Q,P
4181,219024,B,10,Q,P
4181,219024,C,10,Q,P
4181,219024,D,10,Q,P
4181,219024,E,10,Q,P
4181,219024,F,10,Q,P
4181,219024,G,10,Q,P
4181,219024,H,10,Q,P
4171,219024,A,11,Q,P
4171,219024,B,11,Q,P
4171,219024,C,11,Q,P
4171,219024,D,11,Q,P
4171,219024,E,11,Q,P
4171,219024,F,11,Q,P
4171,219024,G,11,Q,P
4171,219024,H,11,Q,P
4084,219024,A,12,Q,P
4084,219024,B,12,Q,P
4084,219024,C,12,Q,P
4084,219024,D,12,Q,P
4084,219024,E,12,Q,P
4084,219024,F,12,Q,P
4084,219024,G,12,Q,P
4084,219024,H,12,Q,P
3053,219025,A,1,Q,C
3053,219025,B,1,Q,C
3053,219025,C,1,Q,C
3053,219025,E,1,Q,C
3053,219025,F,1,Q,C
3053,219025,G,1,Q,C
3053,219025,H,1,Q,C
3218,219025,A,2,Q,C
3218,219025,B,2,Q,C
3218,219025,C,2,Q,C
3218,219025,D,2,Q,C
3218,219025,E,2,Q,C
3218,219025,F,2,Q,C
3218,219025,G,2,Q,C
3218,219025,H,2,Q,C
3091,219025,A,3,Q,C
3091,219025,B,3,Q,C
3091,219025,C,3,Q,C
3091,219025,D,3,Q,C
3091,219025,E,3,Q,C
3091,219025,F,3,Q,C
3091,219025,G,3,Q,C
3091,219025,H,3,Q,C
3098,219025,A,4,Q,C
3098,219025,C,4,Q,C
3098,219025,E,4,Q,C
3098,219025,F,4,Q,C
3070,219025,C,5,Q,C
3070,219025,D,5,Q,C
3070,219025,E,5,Q,C
3070,219025,F,5,Q,C
3070,219025,G,5,Q,C
3070,219025,H,5,Q,C
3217,219025,A,6,Q,C
3217,219025,B,6,Q,C
3217,219025,C,6,Q,C
3217,219025,D,6,Q,C
3217,219025,E,6,Q,C
3217,219025,F,6,Q,C
3217,219025,G,6,Q,C
3217,219025,H,6,Q,C
3221,219025,B,7,Q,C
3221,219025,D,7,Q,C
3221,219025,E,7,Q,C
3221,219025,H,7,Q,C
4216,219025,A,8,P,P
4216,219025,B,8,P,P
4216,219025,C,8,P,P
4216,219025,D,8,P,P
4216,219025,F,8,P,P
4216,219025,G,8,P,P
4216,219025,H,8,P,P
4208,219025,B,9,P,P
4208,219025,C,9,P,P
4208,219025,D,9,P,P
4208,219025,E,9,P,P
4208,219025,F,9,P,P
4208,219025,H,9,P,P
4418,219025,A,10,P,P
4418,219025,F,10,P,P
4418,219025,G,10,P,P
4418,219025,H,10,P,P
4383,219025,A,11,P,P
4383,219025,B,11,P,P
4383,219025,D,11,P,P
4383,219025,E,11,P,P
4383,219025,F,11,P,P
4348,219025,B,12,P,P
4348,219025,D,12,P,P
4348,219025,E,12,P,P
4348,219025,F,12,P,P
4348,219025,G,12,P,P
4348,219025,H,12,P,P
4173,219026,B,2,Q,P
4173,219026,C,2,Q,P
4173,219026,D,2,Q,P
3608,219026,A,3,Q,Q
3608,219026,B,3,Q,Q
3608,219026,C,3,Q,Q
3608,219026,F,3,Q,Q
3548,219026,A,4,Q,Q
3548,219026,B,4,Q,Q
3548,219026,C,4,Q,Q
3548,219026,D,4,Q,Q
3548,219026,E,4,Q,Q
3548,219026,G,4,Q,Q
3548,219026,H,4,Q,Q
4022,219026,A,5,Q,P
4022,219026,B,5,Q,P
4022,219026,C,5,Q,P
4022,219026,D,5,Q,P
4022,219026,E,5,Q,P
4022,219026,F,5,Q,P
4022,219026,H,5,Q,P
3641,219026,A,6,Q,Q
3641,219026,C,6,Q,Q
3641,219026,D,6,Q,Q
3641,219026,E,6,Q,Q
3641,219026,F,6,Q,Q
3641,219026,G,6,Q,Q
3641,219026,H,6,Q,Q
3652,219026,A,7,Q,Q
3652,219026,B,7,Q,Q
3652,219026,C,7,Q,Q
3652,219026,D,7,Q,Q
3652,219026,E,7,Q,Q
3652,219026,G,7,Q,Q
3604,219026,B,8,Q,Q
3604,219026,C,8,Q,Q
3604,219026,D,8,Q,Q
3604,219026,E,8,Q,Q
3604,219026,G,8,Q,Q
3604,219026,H,8,Q,Q
4244,219026,A,9,P,P
4244,219026,B,9,P,P
4244,219026,C,9,P,P
4244,219026,D,9,P,P
4234,219026,F,10,P,P
4234,219026,G,10,P,P
4202,219026,A,11,P,P
4202,219026,E,11,P,P
4202,219026,F,11,P,P
4377,219026,F,12,P,P
4377,219026,G,12,P,P
3659,219026,A,1,Q,Q
3659,219026,B,1,Q,Q
3659,219026,H,1,Q,Q
3886,219027,A,2,P,Q
3886,219027,B,2,P,Q
3886,219027,C,2,P,Q
3886,219027,D,2,P,Q
3886,219027,E,2,P,Q
3886,219027,F,2,P,Q
3886,219027,G,2,P,Q
3875,219027,A,3,P,Q
3875,219027,B,3,P,Q
3875,219027,C,3,P,Q
3875,219027,D,3,P,Q
3875,219027,E,3,P,Q
3875,219027,F,3,P,Q
3875,219027,G,3,P,Q
3875,219027,H,3,P,Q
3909,219027,A,4,P,Q
3909,219027,B,4,P,Q
3909,219027,C,4,P,Q
3909,219027,D,4,P,Q
3909,219027,E,4,P,Q
3909,219027,F,4,P,Q
3909,219027,G,4,P,Q
3909,219027,H,4,P,Q
3866,219027,A,5,P,Q
3866,219027,B,5,P,Q
3866,219027,C,5,P,Q
3866,219027,D,5,P,Q
3866,219027,E,5,P,Q
3866,219027,F,5,P,Q
3866,219027,G,5,P,Q
3866,219027,H,5,P,Q
3870,219027,A,6,P,Q
3870,219027,B,6,P,Q
3870,219027,C,6,P,Q
3870,219027,D,6,P,Q
3870,219027,E,6,P,Q
3870,219027,F,6,P,Q
3870,219027,G,6,P,Q
3870,219027,H,6,P,Q
3892,219027,A,7,P,Q
3892,219027,B,7,P,Q
3892,219027,C,7,P,Q
3892,219027,D,7,P,Q
3892,219027,F,7,P,Q
3892,219027,G,7,P,Q
3892,219027,H,7,P,Q
3910,219027,A,8,P,Q
3910,219027,B,8,P,Q
3910,219027,C,8,P,Q
3910,219027,D,8,P,Q
3910,219027,E,8,P,Q
3910,219027,F,8,P,Q
3910,219027,G,8,P,Q
3910,219027,H,8,P,Q
3811,219027,A,9,P,Q
3811,219027,B,9,P,Q
3811,219027,C,9,P,Q
3811,219027,D,9,P,Q
3811,219027,E,9,P,Q
3811,219027,F,9,P,Q
3811,219027,G,9,P,Q
3811,219027,H,9,P,Q
3765,219027,A,10,P,Q
3765,219027,B,10,P,Q
