seedling_id,height_cm,diameter_mm,leaf_count,chlorosis,notes
4370,6,2.53,,5,
4067,6.6,4.81,21,,
3426,2.5,2.31,,3,
4412,3.6,1.71,,4,
4136,9.6,4.49,10,,
3755,6.7,3.5,,5,
4367,3.1,2.28,,4,
3614,12.3,3.43,11,,
3240,6.3,3.94,8,,
3067,9.2,4.23,20,,
3172,4.6,3.95,10,,
4422,5.4,2.02,,5,
3237,6.9,4.67,10,,
4124,5.8,4.48,12,5,
3338,5.3,2.56,,,
3825,4.2,2.88,,5,
3076,5.5,4.17,8,,
3055,9.2,6.22,14,,
3850,3.2,2.83,,5,
4133,11.1,5.17,14,,
3573,11.3,3.85,15,,
3096,5,3.97,9,,
4373,2.7,2.43,,4,
3323,3.1,2.18,,1,
3622,11.1,5.23,9,,
4010,5.3,5.58,12,,
3724,4,2.68,,5,
3742,2.5,2.03,,5,
3521,13,5.67,16,,
4258,5.8,2.68,,4,
4282,5.9,3.05,,5,fixed manually
4132,8.6,3.98,7,,
3896,3.5,2.2,,4,
3938,5.1,2.35,,5,
3489,22,4.18,16,,
3511,6.5,3.74,9,,
3108,7.5,3.91,7,,
3119,10,4.24,14,,
4399,4,2.19,,4,
4227,5.3,2.33,,5,
4027,4.5,4.21,15,,
3580,4,6.21,9,,
4273,3.5,1.76,,4,
3423,3.2,1.33,,3,
3518,18,4.03,14,,
3113,7,3.7,8,,
4271,5.5,1.85,,3,
3757,5.5,2.22,,3,
4055,7.6,4.33,16,,
3853,6,2.28,,5,
3415,3,1.89,,2,
3862,3,2.03,,4,
4146,11.5,4.47,18,,
3531,6.8,4.33,11,,
4419,4.1,2.72,,5,
4047,9.8,4.53,11,,
4035,6.8,3.87,7,,
4321,4.2,2.13,,5,
3124,11.1,5.95,12,,
4060,7.5,5.26,20,,
4249,4.2,2.74,,3,
3497,6.6,4.04,9,,
4257,5.6,2.47,,5,
4092,13,5.29,7,,
4413,4.5,2.75,,5,
3530,10.2,2.98,20,,
3425,4.1,2.39,,4,
3852,4.7,2.7,,4,
3835,5,2.53,,5,
3498,7.1,2.98,11,,
3748,5.8,2.56,,5,
3735,5.1,2.46,,5,
4253,4.5,2.29,,4,
3254,3.8,2.14,,2,
3567,6.9,3.22,12,,
3917,2.5,1.9,,4,
3843,5.3,2.83,,5,
4117,7.2,2.67,19,,
4041,9.5,4.08,25,,
3107,8.6,4.67,9,,
3241,3.2,2.43,,2,
4251,4.1,1.94,,4,
3414,4,2.32,,1,
4336,5.1,2.44,,4,
3496,11.5,4.18,9,,
3505,11,2.82,10,,
3517,7.5,4.32,8,,
4323,7,2.62,,4,
4029,4.5,4.21,8,,
4056,5.9,6.18,9,,
3265,3.9,2.05,,1,
4344,2.9,2.24,,3,
3120,9.8,3.84,7,,
3664,9.7,6.46,19,,
3128,3.7,4.25,8,,
4297,4.4,2.35,,4,
3261,4,2.52,,5,
4410,6.6,2.8,,5,
3741,6.2,3.8,,5,
3493,10.9,3.39,6,,
3842,3.3,3.93,,5,
3568,16.1,4.62,10,,
3327,1.8,2.25,,2,
4311,4.4,2.21,,4,
3484,10.3,4.18,14,,
3845,5,2.68,,5,
3583,5.8,4.06,8,,
4343,5.1,1.91,,2,
3563,5.1,3.7,8,,
4152,7.2,3.39,19,,
4046,6.8,4.1,9,,
3859,4.7,2.74,,5,
3549,9.6,4.02,10,,
4221,6.6,2.51,,5,
4397,4.7,1.75,,5,
3834,4.2,3.12,,5,
4330,5.8,2.51,,4,
4019,10.6,3.79,15,,
3377,3.3,1.91,,4,
4396,4,2.14,,5,
3433,3.4,2.05,,2,
3474,3.7,1.91,,1,
3626,5.7,3.92,10,,
3629,11.1,5.79,7,,
3328,2.9,2.14,,2,
3727,4.8,2.68,,4,
3880,4.4,2.47,,5,
4127,21.8,5.16,15,,
4379,4.4,2.5,,5,
4063,4.7,3.92,23,,
3817,3.8,2.29,,5,
3849,4.2,2.6,,5,
3804,2.8,7.48,,5,
4401,3.6,7.23,,5,
3599,9.8,5.05,14,,
3640,10.1,4.66,23,,
4307,4.1,2.51,,5,
3387,4,1.46,,4,
3184,4.9,4.2,8,,
3545,14.4,4.94,17,,
4387,3.4,1.96,,2,
4353,4.5,2,,5,
4043,4.4,3.6,9,,
4394,3,2.29,,5,
4011,6.9,4.51,18,,
4308,5.3,2.77,,5,
4020,6.6,3.23,12,,
3158,10.9,4.83,9,,
4436,4.6,1.76,,5,
3361,3.6,2.38,,3,
3438,3,2.21,,2,
3250,3.4,2.4,,2,
4145,14.3,4.55,14,,
4212,4,3.16,,5,
3901,3.2,2.99,,4,
4277,3.5,1.8,,5,
3898,3.8,2.01,,5,
3339,2.2,1.74,,2,
3751,3.5,2.75,,5,
3258,3.6,1.91,,5,
3325,3,1.75,,1,
3333,2.7,1.95,,2,
3873,4.6,2.55,,5,
3475,4.2,2.21,,2,
3556,10,4.4,14,,
3893,4.1,2.32,,5,
3999,9.2,4.2,20,,
3860,4.9,2.66,,5,
3440,3.7,2.32,,5,
3854,4.9,2.92,,5,
4218,5.2,2.21,,5,
3723,2.8,1.52,,5,
3252,4.6,2.22,,3,
3738,5.1,2.23,,5,
4095,6.9,3.92,13,,
3519,9,3.82,10,,
4122,14.2,4.14,13,,
3737,5,2.03,,5,
3130,7.9,4.62,12,,
3016,6.1,4.53,9,,
3167,17.5,3.91,15,,
3535,8.1,3.02,13,,
3434,3.7,1.77,,3,
3900,2.9,2.01,,5,
3998,6.1,2.43,11,,
4424,3.8,1.9,,3,
3746,4.5,2.76,,5,
3623,9.5,3.8,10,,
3133,12,4,10,,dead
4143,10.5,2.81,9,,
3378,4.2,2.06,,2,
