seedling_id,wet_above_g,wet_below_g,wet_tips_g
3094,1.02,7.12,0.51
4040,1.53,6.09,0.59
3487,1.88,4.9,0.45
3492,2.19,9.29,0.43
4128,2.44,12,0.51
3137,1.92,6.23,0.46
3579,2.81,7.45,0.47
3206,2.87,10.65,0.48
4125,4.02,16.72,0.51
3678,1.96,8.35,0.53
4179,2.21,10.79,0.65
4126,2.24,8.13,0.48
4181,2.39,12.46,0.69
3218,1.42,8.78,0.49
3608,1.72,6.72,0.49
3659,1.9,5.06,0.4
4084,4.35,11.17,0.45
4022,1.84,6.48,0.5
3070,1.83,11.7,0.64
3098,3.34,11.57,0.56
3652,2.76,10.25,0.59
3217,2.39,13.02,0.62
3221,2.19,13.45,0.56
4171,3.59,11.24,0.46
3604,1.71,6.2,0.54
3053,0.97,7.8,0.55
4173,1.77,24.09,0.96
3548,3.03,9.19,0.48
3091,1.38,6.71,0.67
3641,2.26,7.56,0.69
4216,0.41,1.29,0.17
4383,0.49,0.85,0.17
4208,0.42,1.67,0.16
4418,0.32,1.18,0.16
4234,0.37,1.29,0.17
4202,0.45,1.61,0.18
4244,0.24,0.53,0.18
4348,0.37,1.02,0.17
4377,0.5,1.01,0.16
4201,0.33,1.01,0.16
3765,0.29,0.64,0.16
3870,0.37,0.94,0.19
3866,0.79,1.25,0.17
3864,0.29,0.68,0.18
3909,0.45,0.49,0.16
3811,0.29,0.64,0.18
3875,0.61,0.93,0.21
3910,0.27,0.49,0.15
3892,0.51,0.65,0.2
3886,0.38,0.7,0.16
3300,0.5,2.36,0.21
3314,0.39,2.03,0.21
3303,0.45,1.54,0.19
3319,0.39,1.3,0.18
3293,0.4,1.34,0.18
3318,0.43,1.99,0.16
3311,0.41,1.43,0.17
3308,0.41,1.59,0.22
3290,0.42,1.69,0.16
3322,0.44,1.41,0.15
