seedling_sp,soil_type,morphotype,assignment
Q,C,A,NM
Q,C,B,NM
Q,Q,A,Cenococcum sp.
Q,Q,C,Pustularia sp. or Peziza sp.
Q,P,D,Pustularis sp.
Q,P,E,NM
Q,P,B,Pustularis sp.
Q,P,Q,NM
P,P,F,NM
P,Q,G,Rhizopogon hawkerae
P,P,G,Rhizopogon hawkerae
P,P,H,Pustularis sp.
Q,Q,B,Pustularia sp.
Q,P,A,Pustularis sp.
Q,C,Q,NM
P,P,J,Pustularis sp.
Q,P,C,Pustularis sp.
Q,P,L,Pustularis sp.
Q,Q,E,NM
Q,Q,L,Pustularia sp.
P,Q,F,NM
P,P,Q,NM
P,C,Q,NM
Q,Q,N,Tuber candidum
Q,Q,D,Pustularia sp.
P,Q,M,Rhizopogon hawkerae or Suillus lakei
Q,Q,P,NM
P,Q,J,Pustularia sp.
Q,P,N,Pustularis sp.
Q,Q,Q,NM
P,Q,H,NM
P,Q,Q,NM
P,P,K,Pustularis sp.
P,Q,K,NM
P,Q,A,Rhizopogon hawkerae
P,P,M,Rhizopogon hawkerae
Q,P,X,Pustularis sp.
Q,Q,I,NM
Q,C,X,NM
P,P,A,Pustularis sp.
P,Q,B,NM
P,P,B,Pustularis sp.
Q,Q,X,NM
Q,Q,Y,NM
Q,Q,Z,NM
Q,P,Y,Pustularis sp.
Q,P,Z,Pustularis sp.
Q,C,E,NM
