seedling_id,pustularia_sp,tuber_candidum,cenococcum_sp,rhizopogon_hawkerae,peziza_sp,suillus_lakei,pulled_tips,ecto_tips,prop_assign,prop_colonized
3482,2,2,0,0,0,0,5,4,0.8,0.09420289855072464
3487,4.5,2,1,0,0.5,0,8,8,1,0.713855421686747
3488,0,0,1,0,0,0,8,1,0.125,0.029411764705882353
3492,6,1,0,0,0,0,8,7,0.875,0.2488479262672811
3493,3,2,0,0,0,0,5,5,1,0.16666666666666666
3497,3,0,1,0,0,0,6,4,0.6666666666666666,0.09019607843137255
3504,2.5,0,0,0,1.5,0,4,4,1,0.06865671641791045
3506,3,1,0,0,0,0,4,4,1,0.0738255033557047
3508,0,0,1,0,0,0,1,1,1,0.030395136778115502
3509,3.5,0,1,0,1.5,0,8,6,0.75,0.5183673469387755
3513,1,7,0,0,0,0,8,8,1,0.3225806451612903
3536,6,0,1,0,1,0,8,8,1,0.11232876712328767
3539,2.5,2,2,0,0.5,0,8,7,0.875,0.4189723320158103
3542,5,0,0,0,0,0,8,5,0.625,0.1450381679389313
3548,8,0,0,0,0,0,8,8,1,0.34265734265734266
3551,2,1,3,0,0,0,8,6,0.75,0.13725490196078433
3552,4,0,4,0,0,0,8,8,1,NA
3553,2.5,2,2,0,0.5,0,7,7,1,0.33793103448275863
3569,4,0,3,0,0,0,8,7,0.875,NA
3579,7,0,0,0,0,0,8,7,0.875,0.7933333333333333
3604,4,3,1,0,0,0,8,8,1,0.3224043715846995
3608,4.5,1,1,0,0.5,0,8,7,0.875,0.3279569892473118
3615,7,0,1,0,0,0,8,8,1,0.10355987055016182
3630,2,0,4,0,0,0,8,6,0.75,0.2328042328042328
3641,5,0,3,0,0,0,8,8,1,0.26222222222222225
3650,2,0,3,0,1,0,8,6,0.75,0.13452914798206278
3652,6,1,0,0,0,0,8,7,0.875,0.636734693877551
3653,3.5,1,2,0,0.5,0,7,7,1,0.12648221343873517
3655,6,1,1,0,0,0,8,8,1,0.16541353383458646
3659,2,3,3,0,0,0,8,8,1,0.5900383141762452
3662,3,0,3,0,2,0,8,8,1,0.40540540540540543
3678,4.5,0,2,0,1.5,0,8,8,1,0.1245136186770428
3679,5,0,2,0,0,0,8,7,0.875,NA
3680,3,0,4,0,0,0,8,7,0.875,NA
3683,1.5,0,3,0,0.5,0,8,5,0.625,0.08
3684,5,0,3,0,0,0,8,8,1,0.06274509803921569
3688,0,0,6,0,0,0,6,6,1,0.01
3693,1.5,0,2,0,0.5,0,8,4,0.5,NA
3696,7,0,1,0,0,0,8,8,1,0.5142857142857142
3697,8,0,0,0,0,0,8,8,1,0.043668122270742356
3700,8,0,0,0,0,0,8,8,1,0.27009646302250806
3701,0.5,0,0,0,0.5,0,8,8,1,0.08
3704,1,0,2,0,0,0,3,3,1,0.01
3708,0.5,0,4,0,0.5,0,5,5,1,0.07743362831858407
3714,6,0,2,0,0,0,8,8,1,0.059880239520958084
3715,3,0,4,0,1,0,8,8,1,0.04
3718,0,0,8,0,0,0,8,8,1,0.005
3722,0,0,0,2,0,0,4,4,1,0.38596491228070173
3723,0,0,0,4,0,0,4,4,1,0.44660194174757284
3724,0,0,0,6,0,0,8,6,0.75,0.3564356435643564
3725,0,0,0,2,0,2,4,4,1,0.6739130434782609
3727,0,0,0,3,0,0,4,4,1,0.288135593220339
3728,0,0,0,4,0,0,4,4,1,0.3548387096774194
3732,0,0,0,4,0,0,4,4,1,0.5396039603960396
3734,0,0,0,7,0,1,8,8,1,0.5282258064516129
3735,0,0,0,4,0,0,4,4,1,0.5957446808510638
3736,0,0,0,4,0,0,4,4,1,0.6106870229007634
3737,0,0,0,4,0,0,4,4,1,0.36942675159235666
3738,0,0,0,3,0,0,4,3,0.75,0.5375
