seedling_sp,soil_type,morphotype,assignment
Q,C,A,NM
Q,C,B,NM
Q,Q,A,Cenococcum sp.
Q,Q,C,Pustularia sp. or Peziza sp.
Q,P,D,Pustularia sp.
Q,P,E,NM
Q,P,B,Pustularia sp.
Q,P,Q,NM
P,P,F,NM
P,Q,G,Rhizopogon hawkerae
P,P,G,Rhizopogon hawkerae
P,P,H,Pustularia sp.
Q,Q,B,Pustularia sp.
Q,P,A,Pustularia sp.
Q,C,Q,NM
P,P,J,Pustularia sp.
Q,P,C,Pustularia sp.
Q,P,L,Pustularia sp.
Q,Q,E,NM
Q,Q,L,Pustularia sp.
P,Q,F,NM
P,P,Q,NM
P,C,Q,NM
Q,Q,N,Tuber candidum
Q,Q,D,Pustularia sp.
P,Q,M,Rhizopogon hawkerae or Suillus lakei
Q,Q,P,NM
P,Q,J,Pustularia sp.
Q,P,N,Pustularia sp.
Q,Q,Q,NM
P,Q,H,NM
P,Q,Q,NM
P,P,K,Pustularia sp.
P,Q,K,NM
P,Q,A,Rhizopogon hawkerae
P,P,M,Rhizopogon hawkerae
Q,P,X,Pustularia sp.
Q,Q,I,NM
Q,C,X,NM
P,P,A,Pustularia sp.
P,Q,B,NM
P,P,B,Pustularia sp.
Q,Q,X,NM
Q,Q,Y,NM
Q,Q,Z,NM
Q,P,Y,Pustularia sp.
Q,P,Z,Pustularia sp.
Q,C,E,NM
