plate,column,row,re_plate,re_column,re_row
219001,1,A,repot1,1,A
219001,1,B,repot1,1,B
219001,1,C,repot1,1,C
219001,1,D,repot1,1,D
219001,1,E,repot1,1,E
219001,1,F,repot1,1,F
219001,1,G,repot1,1,G
219001,1,H,repot1,1,H
219001,5,A,repot1,2,A
219001,5,B,repot1,2,B
219001,5,C,repot1,2,C
219001,5,D,repot1,2,D
219001,5,E,repot1,2,E
219001,5,F,repot1,2,F
219001,5,G,repot1,2,G
219001,5,H,repot1,2,H
219001,6,A,repot1,3,A
219001,6,B,repot1,3,B
219001,6,C,repot1,3,C
219001,6,D,repot1,3,D
219001,6,E,repot1,3,E
219001,6,F,repot1,3,F
219001,6,G,repot1,3,G
219001,6,H,repot1,3,H
219002,5,A,repot1,4,A
219002,5,B,repot1,4,B
219002,5,C,repot1,4,C
219002,5,D,repot1,4,D
219002,5,E,repot1,4,E
219002,5,F,repot1,4,F
219002,5,G,repot1,4,G
219002,5,H,repot1,4,H
219002,6,A,repot1,5,A
219002,6,B,repot1,5,B
219002,6,C,repot1,5,C
219002,6,D,repot1,5,D
219002,6,E,repot1,5,E
219002,6,F,repot1,5,F
219002,6,G,repot1,5,G
219002,6,H,repot1,5,H
219002,9,A,repot1,6,A
219002,9,B,repot1,6,B
219002,9,C,repot1,6,C
219002,9,D,repot1,6,D
219002,9,E,repot1,6,E
219002,9,F,repot1,6,F
219002,9,G,repot1,6,G
219002,9,H,repot1,6,H
219004,6,A,repot1,7,A
219004,6,B,repot1,7,B
219004,6,C,repot1,7,C
219004,6,D,repot1,7,D
219004,6,E,repot1,7,E
219004,6,F,repot1,7,F
219004,6,G,repot1,7,G
219004,6,H,repot1,7,H
219004,8,A,repot1,8,A
219004,8,B,repot1,8,B
219004,8,C,repot1,8,C
219004,8,D,repot1,8,D
219004,8,E,repot1,8,E
219004,8,F,repot1,8,F
219004,8,G,repot1,8,G
219004,8,H,repot1,8,H
219004,12,A,repot1,9,A
219004,12,B,repot1,9,B
219004,12,C,repot1,9,C
219004,12,D,repot1,9,D
219004,12,E,repot1,9,E
219004,12,F,repot1,9,F
219004,12,G,repot1,9,G
219004,12,H,repot1,9,H
219005,1,A,repot1,10,A
219005,1,B,repot1,10,B
219005,1,C,repot1,10,C
219005,1,D,repot1,10,D
219005,1,E,repot1,10,E
219005,1,F,repot1,10,F
219005,1,G,repot1,10,G
219005,1,H,repot1,10,H
219005,2,A,repot1,11,A
219005,2,B,repot1,11,B
219005,2,C,repot1,11,C
219005,2,D,repot1,11,D
219005,2,E,repot1,11,E
219005,2,F,repot1,11,F
219005,2,G,repot1,11,G
219005,2,H,repot1,11,H
219005,4,A,repot1,12,A
