sample_id,primer1,primer2,seedling_id,plate,column,row,puller,morphotype,primer_pair
3678A,N701,S501,3678,219024,1,A,hvm,L,N701S501
3678B,N701,S502,3678,219024,1,B,hvm,A,N701S502
3678C,N701,S503,3678,219024,1,C,hvm,A,N701S503
3678D,N701,S504,3678,219024,1,D,hvm,D,N701S504
3678E,N701,S505,3678,219024,1,E,hvm,C,N701S505
3678F,N701,S506,3678,219024,1,F,hvm,C,N701S506
3678G,N701,S507,3678,219024,1,G,hvm,C,N701S507
3678H,N701,S508,3678,219024,1,H,hvm,D,N701S508
4040A,N702,S501,4040,219024,2,A,hvm,C,N702S501
4040B,N702,S502,4040,219024,2,B,hvm,L,N702S502
4040C,N702,S503,4040,219024,2,C,hvm,E,N702S503
4040D,N702,S504,4040,219024,2,D,hvm,E,N702S504
4040E,N702,S505,4040,219024,2,E,hvm,D,N702S505
4040F,N702,S506,4040,219024,2,F,hvm,D,N702S506
4040G,N702,S507,4040,219024,2,G,hvm,L,N702S507
4040H,N702,S508,4040,219024,2,H,hvm,L,N702S508
4126A,N703,S501,4126,219024,3,A,hvm,B,N703S501
4126B,N703,S502,4126,219024,3,B,hvm,B,N703S502
4126C,N703,S503,4126,219024,3,C,hvm,L,N703S503
4126D,N703,S504,4126,219024,3,D,hvm,C,N703S504
4126E,N703,S505,4126,219024,3,E,hvm,L,N703S505
4126F,N703,S506,4126,219024,3,F,hvm,L,N703S506
4126G,N703,S507,4126,219024,3,G,hvm,B,N703S507
4126H,N703,S508,4126,219024,3,H,hvm,L,N703S508
4125A,N704,S501,4125,219024,4,A,hvm,D,N704S501
4125B,N704,S502,4125,219024,4,B,hvm,C,N704S502
4125C,N704,S503,4125,219024,4,C,hvm,D,N704S503
4125D,N704,S504,4125,219024,4,D,hvm,B,N704S504
4125E,N704,S505,4125,219024,4,E,hvm,B,N704S505
4125F,N704,S506,4125,219024,4,F,hvm,B,N704S506
4125G,N704,S507,4125,219024,4,G,hvm,D,N704S507
4125H,N704,S508,4125,219024,4,H,hvm,B,N704S508
3579A,N705,S501,3579,219024,5,A,hvm,L,N705S501
3579B,N705,S502,3579,219024,5,B,hvm,B,N705S502
3579C,N705,S503,3579,219024,5,C,hvm,B,N705S503
3579D,N705,S504,3579,219024,5,D,hvm,L,N705S504
