plate,dilute,success,column,row
repot5,FALSE,1,1,B
repot5,FALSE,1,2,C
repot5,FALSE,1,2,F
repot5,FALSE,1,2,H
repot5,FALSE,1,3,B
repot5,FALSE,1,3,H
repot5,FALSE,1,4,B
repot5,FALSE,1,4,C
repot5,FALSE,1,4,D
repot5,FALSE,1,4,E
repot5,FALSE,1,4,F
repot5,FALSE,1,4,H
repot5,FALSE,1,5,B
repot5,FALSE,1,5,C
repot5,FALSE,1,5,D
repot5,FALSE,1,5,F
repot5,FALSE,1,5,H
repot5,FALSE,1,6,B
repot5,FALSE,1,6,C
repot5,FALSE,1,6,D
repot5,FALSE,1,6,E
repot5,FALSE,1,6,H
repot5,FALSE,1,7,C
repot5,FALSE,1,7,D
repot5,FALSE,1,7,E
repot5,FALSE,1,7,F
repot5,FALSE,1,7,H
repot5,FALSE,1,8,B
repot5,FALSE,1,8,C
repot5,FALSE,1,8,D
repot5,FALSE,1,8,G
repot5,FALSE,1,8,H
repot5,FALSE,1,9,A
repot5,FALSE,1,9,C
repot5,FALSE,1,9,G
repot5,TRUE,1,1,H
repot5,TRUE,1,2,G
repot5,TRUE,1,3,D
repot5,TRUE,1,3,E
repot5,TRUE,1,3,F
repot5,TRUE,1,3,G
repot5,TRUE,1,5,E
repot5,TRUE,1,5,G
repot5,TRUE,1,6,A
repot5,TRUE,1,6,F
repot5,TRUE,1,7,B
repot5,TRUE,1,7,G
repot5,TRUE,1,8,F
repot5,TRUE,1,9,B
repot5,TRUE,1,9,D
repot5,TRUE,1,10,D
