re_plate,re_column,row,n_column,n_row
repot1,2,A,1,A
repot1,2,D,1,B
repot1,2,F,1,C
repot1,3,D,1,D
repot1,3,E,1,E
repot1,3,H,1,F
repot1,4,A,1,G
repot1,4,C,1,H
repot1,4,E,2,A
repot1,4,F,2,B
repot1,4,G,2,C
repot1,5,B,2,D
repot1,5,C,2,E
repot1,5,D,2,F
repot1,5,E,2,G
repot1,5,F,2,H
repot1,5,G,3,A
repot1,9,A,3,B
repot1,9,F,3,C
repot1,9,H,3,D
repot1,10,A,3,E
repot1,10,B,3,F
repot1,10,C,3,G
repot1,10,D,3,H
repot1,10,F,4,A
repot1,10,H,4,B
repot1,11,D,4,C
repot1,11,E,4,D
repot1,11,F,4,E
repot1,12,C,4,F
repot1,12,E,4,G
repot1,12,G,4,H
repot2,1,C,5,A
repot2,1,D,5,B
repot2,2,C,5,C
repot2,2,D,5,D
repot2,2,H,5,E
repot2,5,A,5,F
repot2,5,C,5,G
repot2,5,F,5,H
repot2,5,G,6,A
repot2,8,A,6,B
repot2,8,D,6,C
repot2,8,G,6,D
repot2,9,F,6,E
repot2,9,G,6,F
repot2,9,H,6,G
repot2,11,D,6,H
repot2,11,F,7,A
repot2,11,G,7,B
repot2,11,H,7,C
repot2,12,B,7,D
repot2,12,C,7,E
repot2,12,F,7,F
repot2,12,H,7,G
repot3,1,A,7,H
repot3,1,B,8,A
repot3,1,C,8,B
repot3,1,D,8,C
repot3,1,F,8,D
repot3,1,G,8,E
repot3,1,H,8,F
repot3,3,E,8,G
repot3,3,G,8,H
repot3,3,H,9,A
repot3,5,A,9,B
repot3,5,D,9,C
repot3,5,G,9,D
repot3,5,H,9,E
repot3,9,A,9,F
repot3,9,B,9,G
repot3,9,E,9,H
repot3,10,B,10,A
repot3,10,E,10,B
repot3,10,F,10,C
repot3,11,A,10,D
repot3,11,B,10,E
repot3,11,E,10,F
repot1,2,C,10,G
repot1,2,E,10,H
repot1,2,G,11,A
repot1,2,H,11,B
repot1,3,B,11,C
repot1,3,C,11,D
repot1,3,G,11,E
repot1,4,H,11,F
repot1,5,A,11,G
repot1,5,H,11,H
repot1,11,B,12,A
repot2,1,G,12,B
repot2,5,B,12,C
repot2,5,D,12,D
repot2,5,E,12,E
repot2,5,H,12,F
