plate,column,row,n_plate,n_column,n_row
1,8,A,repot_5,1,A
1,8,B,repot_5,1,B
1,8,D,repot_5,1,C
1,8,E,repot_5,1,D
1,8,H,repot_5,1,E
2,3,B,repot_5,1,F
2,9,C,repot_5,1,G
2,9,D,repot_5,1,H
2,9,E,repot_5,2,A
2,9,F,repot_5,2,B
3,6,G,repot_5,2,C
3,7,F,repot_5,2,D
3,7,H,repot_5,2,E
4,10,A,repot_5,2,F
4,10,B,repot_5,2,G
7,4,B,repot_5,2,H
7,10,D,repot_5,3,A
7,12,A,repot_5,3,B
7,12,D,repot_5,3,C
9,2,F,repot_5,3,D
9,3,G,repot_5,3,E
9,7,A,repot_5,3,F
10,2,E,repot_5,3,G
10,3,D,repot_5,3,H
10,11,G,repot_5,4,A
11,2,C,repot_5,4,B
11,8,G,repot_5,4,C
12,6,D,repot_5,4,D
12,6,H,repot_5,4,E
12,10,A,repot_5,4,F
12,10,E,repot_5,4,G
12,12,B,repot_5,4,H
12,12,F,repot_5,5,A
14,7,D,repot_5,5,B
14,8,D,repot_5,5,C
14,8,E,repot_5,5,D
14,11,F,repot_5,5,E
15,1,G,repot_5,5,F
15,7,H,repot_5,5,G
16,8,H,repot_5,5,H
16,11,H,repot_5,6,A
17,3,D,repot_5,6,B
17,3,E,repot_5,6,C
17,12,C,repot_5,6,D
17,12,D,repot_5,6,E
18,7,B,repot_5,6,F
18,9,G,repot_5,6,G
18,10,B,repot_5,6,H
18,12,C,repot_5,7,A
18,12,G,repot_5,7,B
19,1,D,repot_5,7,C
19,2,E,repot_5,7,D
19,2,H,repot_5,7,E
19,4,F,repot_5,7,F
19,4,H,repot_5,7,G
19,6,A,repot_5,7,H
19,7,D,repot_5,8,A
20,8,G,repot_5,8,B
20,11,B,repot_5,8,C
21,8,E,repot_5,8,D
21,8,F,repot_5,8,E
22,1,D,repot_5,8,F
22,1,G,repot_5,8,G
22,3,F,repot_5,8,H
22,3,G,repot_5,9,A
22,4,H,repot_5,9,B
22,5,B,repot_5,9,C
22,10,F,repot_5,9,D
22,10,G,repot_5,9,E
22,10,H,repot_5,9,F
22,12,B,repot_5,9,G
