seedling_id,plate,column,seedling_sp,soil_type,re_plate,re_column
4238,219001,1,P,P,repot_1,1
3916,219001,5,P,Q,repot_1,2
3946,219001,6,P,Q,repot_1,3
3715,219002,5,Q,Q,repot_1,4
3701,219002,6,Q,Q,repot_1,5
3772,219002,9,P,Q,repot_1,6
3700,219004,6,Q,Q,repot_1,7
4278,219004,8,P,P,repot_1,8
3008,219004,12,Q,C,repot_1,9
4008,219005,1,Q,P,repot_1,10
4195,219005,2,Q,P,repot_1,11
3714,219005,4,Q,Q,repot_1,12
3696,219005,6,Q,Q,repot_2,1
4085,219005,10,Q,P,repot_2,2
3630,219005,11,Q,Q,repot_2,3
3274,219008,6,P,C,repot_2,4
3805,219008,10,P,Q,repot_2,5
4391,219009,1,P,P,repot_2,6
4265,219009,3,P,P,repot_2,7
3400,219009,4,P,C,repot_2,8
3112,219009,11,Q,C,repot_2,9
3986,219010,3,Q,P,repot_2,10
3980,219010,4,Q,P,repot_2,11
4007,219010,8,Q,P,repot_2,12
3936,219011,5,P,Q,repot_3,1
4262,219011,6,P,P,repot_3,2
3284,219011,7,P,C,repot_3,3
4159,219012,2,Q,P,repot_3,4
3933,219012,3,P,Q,repot_3,5
3655,219012,8,Q,Q,repot_3,6
3734,219012,10,P,Q,repot_3,7
3136,219013,7,Q,C,repot_3,8
3102,219013,8,Q,C,repot_3,9
3251,219013,9,P,C,repot_3,10
3129,219013,12,Q,C,repot_3,11
3266,219014,4,P,C,repot_3,12
4271,219015,2,P,P,repot_4,1
3553,219017,12,Q,Q,repot_4,2
4284,219018,10,P,P,repot_4,3
4018,219019,2,Q,P,repot_4,4
3834,219019,9,P,Q,repot_4,5
4407,219020,12,P,P,repot_4,6
