seedling_id,morphotype,plate,column,row,re_plate,re_column,re_row
3704,A,219001,10,A,repot6,1,A
3704,A,219001,10,B,repot6,1,B
3715,A,219002,5,A,repot6,1,C
3715,A,219002,5,B,repot6,1,D
3715,A,219002,5,E,repot6,1,E
3715,A,219002,5,F,repot6,1,F
3701,C,219002,6,D,repot6,1,G
3708,C,219003,2,D,repot6,1,H
3714,A,219005,4,D,repot6,2,A
3714,A,219005,4,G,repot6,2,B
3697,D,219006,3,A,repot6,2,C
3697,D,219006,3,B,repot6,2,D
3697,D,219006,3,F,repot6,2,E
3697,D,219006,3,G,repot6,2,F
3697,D,219006,3,H,repot6,2,G
3615,D,219006,4,A,repot6,2,H
3615,D,219006,4,G,repot6,3,A
3509,C,219008,3,C,repot6,3,B
3509,C,219008,3,D,repot6,3,C
3509,C,219008,3,F,repot6,3,D
3650,C,219009,6,C,repot6,3,E
3650,C,219009,6,D,repot6,3,F
3650,A,219009,6,E,repot6,3,G
3650,A,219009,6,F,repot6,3,H
3650,A,219009,6,G,repot6,4,A
3569,L,219011,12,D,repot6,4,B
3569,L,219011,12,F,repot6,4,C
3569,L,219011,12,G,repot6,4,D
3539,C,219012,6,C,repot6,4,E
3539,D,219012,6,E,repot6,4,F
3539,L,219012,6,H,repot6,4,G
3662,L,219012,7,A,repot6,4,H
3655,L,219012,8,C,repot6,5,A
3655,L,219012,8,D,repot6,5,B
3653,D,219013,1,D,repot6,5,C
3653,D,219013,1,G,repot6,5,D
3493,D,219014,7,A,repot6,5,E
3506,L,219015,1,F,repot6,5,F
3536,A,219016,7,E,repot6,5,G
