seedling_id,seedling sp.,soil type,dead,diameter_mm,height_cm,stem_2_diameter_mm,stem_2_height_cm,notes,observer,date,timepoint
3721,P,Q,,1.23,2.6,,,"brown, blue ruler",AS,7/15,1
3722,P,Q,,1.69,4.8,,,,,7/15,1
3723,P,Q,,1.4,4.1,,,,,7/15,1
3724,P,Q,,1.71,2.7,,,,,7/15,1
3728,P,Q,,1.77,5.4,,,,,7/15,1
3731,P,Q,,1.86,4.8,,,,,7/15,1
3727,P,Q,,1.57,3.8,,,,,7/15,1
3726,P,Q,,1.65,3.7,,,,,7/15,1
3737,P,Q,,1.41,4.3,,,,,7/15,1
3735,P,Q,,1.97,4.2,,,,,7/15,1
3734,P,Q,,1.94,4.2,,,,,7/15,1
3732,P,Q,,1.89,4.5,,,,,7/15,1
3733,P,Q,,,,,,bg,,7/15,1
3730,P,Q,,,,,,bg,,7/15,1
3729,P,Q,,0.55,2.6,,,brown,,7/15,1
3725,P,Q,,1.7,3.8,,,,,7/15,1
3738,P,Q,,1.62,3.5,,,,,7/15,1
3736,P,Q,,1.56,2.4,,,,,7/15,1
3746,P,Q,,1.92,4.3,,,,,7/15,1
3740,P,Q,,1.75,3,,,,,7/15,1
3739,P,Q,,1.54,3,,,,,7/15,1
3741,P,Q,,1.91,3.6,,,,,7/15,1
3742,P,Q,,1.52,3.4,,,,,7/15,1
3743,P,Q,,,,,,bg,,7/15,1
3751,P,Q,,1.76,3,,,,,7/15,1
3750,P,Q,,,,,,bg,,7/15,1
3748,P,Q,,2.03,3.3,,,,,7/15,1
3749,P,Q,,,,,,bg,,7/15,1
3752,P,Q,,1.8,3.1,,,,,7/15,1
3747,P,Q,,,,,,bg,,7/15,1
3744,P,Q,,1.61,4.2,,,,,7/15,1
3745,P,Q,,1.84,3.1,,,,,7/15,1
3753,P,Q,,1.54,2.8,,,,,7/15,1
3755,P,Q,,1.75,2.7,,,,,7/15,1
3759,P,Q,,,,,,bg,,7/15,1
3761,P,Q,,,,,,bg,,7/15,1
3756,P,Q,,1.66,4.1,,,,,7/15,1
3757,P,Q,,1.7,3.7,,,,,7/15,1
3754,P,Q,,,,,,bg,,7/15,1
3758,P,Q,,,,,,bg,,7/15,1
3768,P,Q,,1.84,4.3,,,brown,,7/15,1
3767,P,Q,,2.09,3.5,,,,,7/15,1
3766,P,Q,,1.97,3.8,,,,,7/15,1
3765,P,Q,,1.65,3.6,,,,,7/15,1
3764,P,Q,,1.8,4.1,,,,,7/15,1
3763,P,Q,,,,,,bg,,7/15,1
3762,P,Q,,1.45,3.8,,,brown,,7/15,1
3760,P,Q,,1.58,4,,,,,7/15,1
3868,P,Q,,,,,,bg,,7/15,1
3872,P,Q,,1.94,4,,,,,7/15,1
3870,P,Q,,1.73,4.1,,,,,7/15,1
3875,P,Q,,2.21,4,,,,,7/15,1
3865,P,Q,,,,,,bg,,7/15,1
3869,P,Q,,,,,,bg,,7/15,1
3866,P,Q,,1.57,3.4,,,,,7/15,1
3867,P,Q,,1.48,1.8,,,,,7/15,1
3871,P,Q,,,,,,bg,,7/15,1
3873,P,Q,,1.56,4.1,,,,,7/15,1
3874,P,Q,X,0.49,,,,,,7/15,1
3877,P,Q,,1.6,3.1,,,,,7/15,1
3876,P,Q,,1.82,3.2,,,,,7/15,1
3878,P,Q,,1.95,3.6,,,,,7/15,1
3881,P,Q,X,0.38,,,,,,7/15,1
3879,P,Q,,1.7,3.9,,,,,7/15,1
3895,P,Q,X,0.53,2.5,,,,,7/15,1
3884,P,Q,,,,,,bg,,7/15,1
3902,P,Q,,,,,,bg,,7/15,1
3899,P,Q,,1.94,3.1,,,,,7/15,1
3898,P,Q,,1.88,3,,,,,7/15,1
3883,P,Q,,1.73,4.1,,,,,7/15,1
3882,P,Q,,2.08,4.2,,,,,7/15,1
3880,P,Q,,1.54,3.1,,,,,7/15,1
3885,P,Q,,1.75,3.9,,,,,7/15,1
3886,P,Q,,1.78,3.8,,,,,7/15,1
3887,P,Q,X,,,,,,,7/15,1
3888,P,Q,,,,,,bg,,7/15,1
3890,P,Q,,1.84,3.9,,,,,7/15,1
3889,P,Q,,,,,,bg,,7/15,1
3891,P,Q,,1.49,2.8,,,,,7/15,1
3893,P,Q,,1.89,3.8,,,,,7/15,1
3905,P,Q,,2.14,5,,,,,7/15,1
3903,P,Q,,,,,,bg,,7/15,1
3901,P,Q,,1.84,3.7,,,,,7/15,1
3900,P,Q,,2.01,3.7,,,,,7/15,1
3876,P,Q,,1.69,2.9,,,,,7/15,1
3897,P,Q,,2.09,3.7,,,,,7/15,1
3894,P,Q,,2.03,3.4,,,,,7/15,1
3892,P,Q,,1.63,3.2,,,,,7/15,1
3904,P,Q,X,0.57,,,,,,7/15,1
3907,P,Q,,1.55,3.1,,,,,7/15,1
3908,P,Q,,1.91,3.4,,,,,7/15,1
3906,P,Q,,1.59,3.2,,,,,7/15,1
3910,P,Q,,1.83,2.5,,,,,7/15,1
3909,P,Q,,1.77,3,,,,,7/15,1
3911,P,Q,,,,,,bg,,7/15,1
3912,P,Q,,1.64,4,,,,,7/15,1
3824,P,Q,,1.82,3.8,,,,,7/15,1
3823,P,Q,,1.15,3.5,,,,,7/15,1
3820,P,Q,X,,,,,,,7/15,1
3817,P,Q,,1.62,3,,,sprout,,7/15,1
3822,P,Q,X,,,,,,,7/15,1
3821,P,Q,,1.81,3.5,,,,,7/15,1
3818,P,Q,X,,,,,,,7/15,1
3819,P,Q,,1.65,3.4,,,,,7/15,1
3828,P,Q,,2.13,4.4,,,,,7/15,1
3825,P,Q,,1.57,3,,,,,7/15,1
3827,P,Q,,2.05,4.9,,,,,7/15,1
3826,P,Q,,1.87,3.9,,,,,7/15,1
3829,P,Q,X,,,,,,,7/15,1
3830,P,Q,X,,,,,,,7/15,1
3831,P,Q,X,,,,,,,7/15,1
3833,P,Q,,1.75,2.9,,,,,7/15,1
3839,P,Q,,1.95,3.6,,,,,7/15,1
3844,P,Q,,1.97,3,,,,,7/15,1
3837,P,Q,,1.84,2.9,,,,,7/15,1
3835,P,Q,,1.8,2.5,,,,,7/15,1
3836,P,Q,,2.06,3.8,,,,,7/15,1
3841,P,Q,X,,,,,,,7/15,1
3834,P,Q,,1.8,3,,,sprout,,7/15,1
3832,P,Q,,1.87,4.2,,,,,7/15,1
3838,P,Q,,2.31,3.6,,,,,7/15,1
3840,P,Q,,1.88,3.8,,,,,7/15,1
3845,P,Q,,1.75,3.2,,,,,7/15,1
3842,P,Q,,1.67,3,,,,,7/15,1
3843,P,Q,,1.86,3.5,,,,,7/15,1
3848,P,Q,X,,,,,,,7/15,1
3846,P,Q,X,,,,,,,7/15,1
3847,P,Q,,1.67,2.6,,,,,7/15,1
3856,P,Q,,1.87,3,,,clear ruler from this point on,AS,7/16,1
3855,P,Q,,1.9,3.3,,,,,7/16,1
3854,P,Q,,1.75,3.3,,,,,7/16,1
3852,P,Q,,1.8,2.5,,,,,7/16,1
3849,P,Q,,1.77,2.9,,,,,7/16,1
3853,P,Q,,1.92,4.6,,,,,7/16,1
3851,P,Q,X,,,,,,,7/16,1
3850,P,Q,,1.84,2.9,,,,,7/16,1
3857,P,Q,,1.59,3.6,,,,,7/16,1
3858,P,Q,,1.84,3,,,,,7/16,1
3860,P,Q,,1.89,3.2,,,,,7/16,1
3861,P,Q,,1.72,2.6,,,,,7/16,1
3859,P,Q,,1.62,2.6,,,,,7/16,1
3862,P,Q,,1.51,3,,,,,7/16,1
3863,P,Q,,1.43,2.8,,,,,7/16,1
3864,P,Q,,1.42,3.4,,,,,7/16,1
3777,P,Q,,1.77,3.9,,,,,7/16,1
3769,P,Q,,1.9,3.4,,,,,7/16,1
3778,P,Q,,1.92,4.8,,,,,7/16,1
3780,P,Q,,1.77,4.3,,,,,7/16,1
3770,P,Q,,,,,,bg,,7/16,1
3771,P,Q,,1.77,4.8,,,,,7/16,1
3773,P,Q,,1.61,2.5,,,,,7/16,1
3772,P,Q,,2,4.8,,,,,7/16,1
3785,P,Q,,1.86,2.8,,,sprout,,7/16,1
3783,P,Q,,1.7,3.2,,,,,7/16,1
3781,P,Q,,2.07,3,,,,,7/16,1
3782,P,Q,,2.06,3,,,,,7/16,1
3779,P,Q,,2.14,2.9,,,,,7/16,1
3775,P,Q,,1.8,3.4,,,,,7/16,1
3776,P,Q,,1.51,2.5,,,,,7/16,1
3774,P,Q,,1.51,2.5,,,,,7/16,1
3810,P,Q,,1.45,2.3,,,,,7/16,1
3784,P,Q,X,,,,,,,7/16,1
3786,P,Q,X,,,,,,,7/16,1
3787,P,Q,,1.73,3.1,,,,,7/16,1
3788,P,Q,X,,,,,,,7/16,1
3789,P,Q,,2.03,3.2,,,,,7/16,1
3791,P,Q,X,,,,,,,7/16,1
3790,P,Q,X,,,,,,,7/16,1
3800,P,Q,,,,,,bg,,7/16,1
3799,P,Q,,1.83,3.4,,,,,7/16,1
3797,P,Q,X,,,,,,,7/16,1
3796,P,Q,,1.84,3,,,,,7/16,1
