seedling ID,height cm,diameter mm,leaf count ,chlorosis,notes
3519,8.4,3.69,6,,
4095,6.9,4.35,12,,
3252,5.1,2.25,,4,
3738,5,2.1,,4,
3723,3.4,1.97,,4,
4218,5.5,2.75,,4,
3250,4,2.45,,3,
3438,3.4,1.65,,3,
3440,4.2,2.38,,4,
3854,7,3.12,,4,
3999,8.6,4.4,18,,
3860,5.5,2.8,,5,
3901,3.9,2.3,,4,
4277,3.7,2.16,,4,
3893,4.2,2.29,,4,
3556,9.9,5.3,13,,
3898,4.1,2.1,,4,
3339,3.6,1.61,,4,
3189,9.7,3.69,10,,
3565,15.8,3.35,13,,
3533,19,4.57,15,,
3994,7.2,3.59,7,,
3359,4.1,2.54,4,,
3348,2.3,2.1,4,,
4015,15.9,3.63,7,,
4145,16.1,4.09,13,,
4212,4.7,2.31,,4,
4020,7.7,2.98,16,,
3158,11.1,4.93,9,,
4436,5.6,2.85,,4,
4257,6.6,2.42,,4,
4092,13.8,5.4,3,,
3530,10.9,3.12,20,,
4413,7.2,2.81,,4,
3852,4.4,2.42,,4,
3425,4,1.8,,4,
4041,9.8,4.17,22,,
3107,8.6,4.93,8,,
3843,6.5,2.5,,5,
4117,7.6,2.93,21,,
3567,6.6,3.23,11,,
3917,2.9,1.81,,4,
3254,4,2.36,,4,
4253,3.9,1.89,,4,
3735,5.4,2.42,,5,
3748,5.6,2.58,,5,
3498,6.6,3.55,11,,
3835,5.1,2.87,,4,
3124,10.6,5.55,9,,
4060,7.9,5.53,16,,
3497,7.6,3.19,9,,
4249,3.9,2.37,,3,
3333,3.2,1.75,,2,
3325,3.1,1.8,,2,
3751,4,1.8,,5,
3258,4.6,1.97,,4,
3873,5.9,2.42,,5,
3475,4.3,1.72,,4,
4321,5.8,2.49,,5,
4035,7.9,3.81,8,,
4055,7.5,5.24,17,,
3853,5.4,2.41,,4,
3757,5.8,2.33,,4,
4271,5,1.62,,4,
3518,18,4.88,12,,
3113,7,4.51,8,,
4273,3.6,1.68,,4,
3423,3.4,1.78,,4,
3580,4.1,4.17,6,,
4027,5.2,4.61,14,,
4227,7.3,2.55,,5,
4399,4.8,2.19,,4,
3119,9.6,3.56,15,,
3108,7.8,3.86,7,,
3489,27,4.13,9,,
3511,6.3,4.28,7,,
3938,4.6,2.42,,4,
3896,4.9,2.33,,3,
4132,10.7,6.55,12,,
4282,6.1,2.87,,4,
4258,6.2,3.03,,4,
3521,13.4,5.09,16,,
4251,5.2,2.86,,4,
3241,3.9,2.14,,3,
3724,4.5,3.38,,4,
3742,3.5,1.93,,5,
3414,4.2,2.14,,2,
4336,4.4,2.76,,3,
3505,10.7,4.07,9,,
3496,11,4.02,4,,
4221,5.8,2.76,,4,
3549,10.3,3.56,10,,
3327,2.7,1.72,,2,
4311,5.6,2.8,,4,
3568,16.9,4.43,9,,
3842,4.1,3.25,,4,
3741,6.5,2.32,,5,
3493,12,3.25,6,,
4410,6.3,2.76,,4,
3261,3.2,2.17,,4,
4297,5,2.48,,4,
3128,4.7,4.29,8,,
3845,5.2,2.71,,5,
3484,10.4,3.53,13,,
3265,4.3,1.86,,2,
4344,3.6,2.71,,2,
4029,5.3,2.97,8,,
4056,6.9,5.42,8,,
3563,5.6,2.84,7,,
4152,8.4,3.3,19,,
3517,8.2,3.56,8,,
4323,7.6,3.35,,4,
4419,5.1,2.25,,4,
4047,10.6,4.49,11,,
3531,7.4,4.14,11,,
4146,12.9,4.56,13,,
3120,9.8,3.9,5,,
3664,10.2,4.24,17,,
3862,4,1.89,,5,
3415,3.8,1.77,,4,
4105,8.8,3.53,11,,
4380,4.5,2.89,,4,
4329,5.1,2.2,,4,
3576,10,4.1,10,,
3804,3.5,1.74,,4,
4401,3.4,2.42,,5,
3599,9.2,5.02,14,,
3640,11.2,4.84,21,,
3880,5.1,2.06,,4,
4127,22.5,5,16,,
3328,3.2,1.74,,1,"near dead, some new needles"
3727,5,3.2,,4,
3629,11,5.09,7,,
3626,6,3.25,9,,
3433,3.1,2.05,,3,
3474,3.5,1.52,,1,dead
4396,6.9,2.56,,5,
3377,3.5,2.1,,4,
4330,5.8,2.62,,4,
4019,11.6,5.09,11,,
3834,5.5,2.75,,5,
4397,5.1,2.58,,4,
4063,5.7,3.6,20,,
4379,5.8,2.51,,4,
3817,4.6,1.83,,4,
3849,4.9,2.23,,5,
3859,4.9,2.75,,4,
4046,6.9,3.06,7,,
3583,6.5,3.66,8,,
4343,6,2.08,,4,
3334,2.1,2.15,,2,
3331,2.9,1.51,,1,
3731,4.8,2.89,,4,
3766,4.1,2.23,,5,
4120,17.3,3.09,15,,
4042,11,3.8,6,,
3358,4,1.78,,3,
3379,4.5,2.4,,3,
4310,6,2.09,,3,
4305,4.7,2.3,,4,
3613,13.5,3.7,13,,
3558,10.9,4.76,8,,
4289,2.9,2.3,,4,
3337,4.1,1.51,,4,
4403,6.5,2.97,,4,
3591,12.5,3.86,8,,
3736,5.6,2.62,,5,
3899,3.7,2.4,,5,
4309,3.3,2.3,,4,
3783,4,2.49,,4,
4308,6,2.7,,4,
4011,7.2,4.77,20,,
4043,5,3.13,9,,
4394,3.4,2.73,,4,
4387,5.2,2.26,,3,
4353,4.3,2.02,,4,
3545,15,5.17,9,,
3184,5.8,4.27,8,,
4307,4.3,3.1,,5,
3387,5,1.92,,4,
3361,4,2.16,,4,
3133,12.5,4.37,10,,all brown
4143,11,3.03,9,,
3897,4.6,3.29,,4,
3378,4.8,2.11,,4,
3746,4.6,2.61,,4,
3623,9.1,4.2,10,,
3998,6.3,2.97,16,,
4424,3.7,2.27,,2,
3434,3.9,2.16,,4,
3900,3.4,2.03,,5,
4062,21.2,4.4,20,,
3148,24.3,4.66,11,,
3535,8.6,3.36,13,,
3167,17.5,4,12,,
3606,15.1,6.01,13,,
3609,24,4.7,17,,
3130,7.9,5.08,12,,
3016,6.1,3.71,9,4,
3369,3.9,2.16,,4,
3740,6.1,2.66,,,
4122,11.9,4.97,12,,
3737,5.2,1.99,,5,
3894,5.3,3.07,,3,
