seedling_id,height_cm,diameter_mm,leaf_count,chlorosis,branching,notes,date
3076,5.7,4.1,7,,0,,2/4/22
3055,11.7,7.71,10,,4.5,,2/4/22
3338,6,2.3,,4,2.7,,2/4/22
3825,4.8,2.5,,4,6.5,,2/4/22
4124,8,4,12,,0,,2/4/22
3237,7,3.87,9,,0,,2/4/22
4370,7.8,2.5,,4,4.5,,2/4/22
4067,9.5,4.11,13,,5.5,,2/4/22
4412,4.5,1.7,,5,1.5,,2/4/22
3426,3.4,1.4,,3,1.5,,2/4/22
4254,3.8,1.9,,3,2.5,,2/4/22
3725,4.6,2.13,,3,2,,2/4/22
4367,3.4,2.6,,3,1,,2/4/22
3614,12,3.1,11,,0,,2/4/22
3067,8.5,3.23,22,,9,,2/4/22
3240,6.2,3.16,7,,0,,2/4/22
3172,5.5,3.25,9,,0,,2/4/22
4422,5.6,2.3,,4,8.5,,2/4/22
3987,10.6,3.36,12,,0,,2/4/22
3056,5,3.04,8,,0,,2/4/22
3856,5.3,2.94,,4,4,,2/4/22
4013,8.1,3.37,8,,1,,2/4/22
4326,3.9,1.58,,5,3.5,,2/4/22
4032,12.3,3.41,19,,10.5,,2/4/22
3577,6.1,3.93,7,,0,,2/4/22
3767,5.7,2.3,,3,4,,2/4/22
3349,3.5,1.9,,3,0.7,change calipers hereafter,2/4/22
3891,3.2,1.6,,5,1.5,,2/4/22
4363,1.5,0.7,,0,0,dead,2/4/22
3877,5.7,2.8,,5,12,,2/4/22
3582,9.7,5.7,8,,0,,2/4/22
4416,3,2.1,,4,3.5,,2/4/22
3324,3,1.5,,0,0,dead,2/4/22
3908,4.5,1.9,,5,2,,2/4/22
3486,8.8,3.4,15,,2.3,,2/4/22
3051,7,4.2,7,,0,,2/4/22
3095,7.6,4.9,5,,0,,2/4/22
4135,8,3.1,11,,3,,2/4/22
3808,3.7,2.4,,4,5,,2/4/22
4222,4.3,2.6,,5,3.5,,2/4/22
3847,3.3,2,,5,2.5,,2/4/22
4361,4.2,2.3,,4,2,,2/4/22
4286,4.6,2.6,,4,1.5,,2/4/22
3997,8.1,4.4,13,,2,,2/4/22
3832,6.5,2.8,,4,5.5,,2/4/22
3858,6.5,2.6,,4,5.2,,2/4/22
4089,5.5,2.9,8,,0,,2/4/22
4378,4.6,2.1,,4,4,,2/4/22
3619,8,3.4,9,,0,,2/4/22
3621,5.7,2.5,11,,0,,2/4/22
3052,5.6,3.3,15,,0,,2/4/22
3551,9.4,4,3,,0,,2/4/22
3558,10.8,4,8,,4,,2/4/22
3613,14,3.4,13,,0,,2/4/22
4043,4.5,3,9,,0,,2/4/22
4394,4.2,2.5,,4,2.5,,2/4/22
3331,3.5,1.5,,1,0,,2/4/22
3334,3,1.8,,1,0,,2/4/22
3766,4.5,2.7,,5,5,,2/4/22
3731,4.5,2.7,,4,2,,2/4/22
3993,11.2,3.51,13,,1.5,,2/4/22
3112,7.2,5.07,8,,0,,2/4/22
3937,4.1,2.08,,5,5.5,,2/4/22
4163,21,5.27,12,,0,,2/4/22
3972,5.8,4.3,13,,1.5,,2/4/22
3921,6.2,2.97,5,,7.5,,2/4/22
4417,5.3,2.57,,5,6,,2/4/22
3986,7.5,4.76,15,,0,,2/4/22
3977,5.9,3.26,10,,1.5,,2/4/22
4176,9,4.78,8,,0,dead,2/4/22
3806,7.5,3.33,,5,9.5,,2/4/22
3705,10,4.88,9,,0,near death,2/4/22
4384,4.9,2.14,,5,5.5,,2/4/22
4368,4.1,2.45,,5,2.5,,2/4/22
4007,10.9,5.17,18,,6,,2/4/22
3995,5.5,3.75,6,,0,,2/4/22
3913,5.9,2.62,,5,6,,2/4/22
3970,9.4,4.29,9,,0,,2/4/22
