Seedling_id,Height_cm,Diameter_mm,Leaf_count,Chlorosis,Branching,Notes
4097,6,3.4,6,,5,Brown
3529,15.8,5.5,4,,,Brown
3398,4.9,1.7,,0,,
3412,6.5,2.3,,0,,
3117,8.5,6,5,,,
3102,11,4.1,4,,,
3557,9.5,3.5,13,,7,Brown
3826,6.5,1.9,,0,4.2,
4345,8.5,3.8,,5,15.5,
3957,7.5,3.5,,5,15,
3845,6.5,3.4,,4,25,
3484,11,5.6,10,,,Brown
4403,5,,,2,19,
3591,12.5,3.7,13,,,
4083,8,6.4,7,,,
3110,7.5,6,8,,8,
4075,7.5,7.5,7,,,
4069,5.3,4.1,7,,,
3379,5,3,,0,2,
3358,6,1.8,,0,,
3482,7,4.1,5,,,
4158,5.5,5.1,4,,,brown
4152,7,3.7,10,,8.5,
3563,5.7,3.6,1,,,
3936,5.3,3,,5,20,
3964,8.5,5.5,5,,,
3552,12.5,5.6,20,,,
4070,6,4.5,3,,,
3605,10.6,3.9,8,,,brown
4037,5.2,4,4,,,brown
3505,11.2,4.4,3,,,brown
3496,12.2,4.4,7,,,
4305,8,2.5,,4,5.5,
4310,3.2,1.6,,0,14,
3545,12,6.5,7,,3,brown
3184,6,4.6,4,,,brown
3774,10.8,2.7,,4,8,
3965,11,7.7,12,,3,
4246,8.5,3.2,,5,6.5,
3711,24.5,7,4,,,
4266,6,2.2,,0,4.2,
4398,7.3,4,,5,54,
4286,9,1.9,,0,,
3997,13,5.2,20,,6,
3876,7,1.9,,0,11.7,
3586,27,6.7,9,,,
3696,21,5.1,9,,1.5,
3963,5.5,4.5,4,,3,
4361,7,3,,4,9,
3847,4,2,,0,,
4261,6.5,3,,5,7,
3954,6,1.5,,0,,
3387,9.5,2.6,,4,1.5,
4307,8.2,3.2,,4,14.5,
3796,10,2.8,,5,8.7,
3683,14.5,5.8,6,,2,
4117,8.5,6.1,27,,4.5,
3843,10,3.2,,,15.5,
3921,7,2.7,,5,13.5,
3972,8.7,4.7,14,,3,
3760,7.7,2.3,,5,15.5,
4026,11,4.1,8,,3.5,
3240,7.5,5.1,4,,,
3067,9,3.6,14,,7,brown
4149,9.5,6.8,3,,,brown
4030,7.5,4.8,4,,4.2,brown
3275,7.7,2.5,,4,10,
3801,8.5,2.5,,4,10.5,
3938,8,3.1,,4,25.4,
3896,7,1.5,,0,,
3782,9,3.3,,5,20,
3628,7.5,4.4,8,,3,
4371,8,2.8,,2,10.5,
3744,8,3.2,,3,12.3,
4235,7,2.6,,3,4.5,
4054,12,4,11,,,
3567,7,3.5,8,,,
3917,3.5,1.6,,0,2,
3349,5,1.5,,0,,
3891,6,1.7,,0,6.5,
3974,10.5,4,19,,10.5,
3001,9,8.8,16,,2,
4212,10,2.2,,0,8.3,
4145,16.2,3.5,8,,,brown
3189,9.9,3.9,6,,,brown
3565,6.7,3.2,2,,20,Brown
4032,12.5,5.7,5,,9.5,
4326,4,2.3,,0,8,
4277,7.3,3.5,,4,7,
3901,6.5,2.5,,3,5,
3745,7.5,3.3,,5,17,
3756,7.9,3.4,,5,14,
4391,9.5,3.3,,4,17,
4341,9.9,4.1,,4,26,
3369,4,2.6,,0,1.5,
3740,6,3.4,,0,,
3737,5.8,2.5,,0,3,
4122,13.7,4.2,6,,,brown
3043,6.3,3.7,13,,,
3688,6,4.3,6,,,
3858,10,4.1,,5,19,
3832,9.5,4.1,,4,16,
4241,5.8,3.6,,2,3,
4362,6.1,3.2,,2,4,
3617,9.2,4.7,2,,,
3592,15.6,4.3,13,,8.5,
3279,3.5,2.3,,0,,
3281,4.4,2.1,,0,,
4369,6.1,3,,0,18,
3953,8.9,3.6,,4,21,
3255,6.1,2.9,,3,9,
4327,8.1,3.4,,4,18,
4240,6.8,3.3,,5,4,
3722,6.5,3.3,,3,6,
3582,8.1,6.2,2,,,
4416,5.9,3.5,,4,16,
3766,7.8,2.9,,0,9,
3731,7.9,3.3,,4,17,
4271,8.7,2.4,,0,10,
3757,6.3,2.2,,0,8,
3735,7.8,3.9,,4,11,
3748,6.8,3.2,,4,10,
4091,6.6,4.5,7,,,
3488,6.3,4.2,7,,,
3425,4.5,1.7,,0,2.5,
3852,7.1,3.9,,4,16,
4010,6.6,4.8,3,,,
3622,13.8,5.6,4,,,
3541,7.2,4,8,,,
3879,4.7,3.2,,2,4,
3525,7.1,3.5,9,,8.5,
3048,5.2,3.9,1,,,
3781,10.1,5.3,,5,32,
4325,9.8,4.4,,5,24,
3361,6.7,2.1,,0,3,
4436,7.5,2.8,,4,7,
3323,8.3,2.4,,4,1.5,
4373,8,3.8,,3,8,
3474,3.5,2.1,,0,,
3433,4,1.9,,0,,
3497,7.7,4.1,3,,,brown
4249,4.5,1.5,,0,1,
4256,4.5,2.2,,0,3,
3991,13.7,4.9,29,,5,
3502,8.9,5.1,10,,3,
3780,7.7,3.1,,2,3,
4086,11.3,5.4,8,,1.5,
4209,5.2,2.7,,0,9,
