seedling_id,height_cm,diameter_mm,leaf_count,chlorosis,notes,date,branching,alive,seedling_sp,soil_type,neighbor,neighb_sp,neighb_st,pot,treatment,neighb_alive
3723,3.9,2.05,NA,5,NA,2021-03-01,NA,1,P,Q,4218,P,P,211307,C,1
3724,2.5,2.31,NA,5,NA,2021-03-01,NA,1,P,Q,3742,P,Q,211201,D,1
3725,3.9,2.38,NA,5,NA,2021-03-01,NA,1,P,Q,4254,P,P,211283,C,1
3728,3.5,2.05,NA,5,NA,2021-03-01,NA,1,P,Q,4279,P,P,211090,C,1
3731,4.6,2.35,NA,5,NA,2021-03-01,NA,1,P,Q,3766,P,Q,211321,D,0
3732,3.8,2.4,NA,5,NA,2021-03-01,NA,1,P,Q,4100,Q,P,211104,C,1
3735,3.9,2.15,NA,5,NA,2021-03-01,NA,1,P,Q,3748,P,Q,211138,D,1
3736,3.2,1.88,NA,5,NA,2021-03-01,NA,1,P,Q,3899,P,Q,211318,C,1
3740,2.7,2.29,NA,5,NA,2021-03-01,NA,1,P,Q,3369,P,C,211316,D,0
3741,2.6,2.19,NA,5,NA,2021-03-01,NA,1,P,Q,3493,Q,Q,211106,D,1
3742,2.9,1.77,NA,5,NA,2021-03-01,NA,1,P,Q,3724,P,Q,211201,D,1
3745,2.9,2.23,NA,5,NA,2021-03-01,NA,1,P,Q,3756,P,Q,211098,D,1
3746,4.6,2.19,NA,5,NA,2021-03-01,NA,1,P,Q,3623,Q,Q,211306,C,1
3748,3.2,2.01,NA,5,NA,2021-03-01,NA,1,P,Q,3735,P,Q,211138,D,1
3751,3.1,1.78,NA,5,NA,2021-03-01,NA,1,P,Q,3258,P,C,211144,D,0
3755,3.1,2.2,NA,5,NA,2021-03-01,NA,1,P,Q,4136,Q,P,211310,D,0
3756,4.1,1.75,NA,5,NA,2021-03-01,NA,1,P,Q,3745,P,Q,211098,D,1
3769,3.6,2.06,NA,5,NA,2021-03-01,NA,1,P,Q,4082,Q,P,211040,D,1
3773,3.1,1.63,NA,5,NA,2021-03-01,NA,1,P,Q,3473,P,C,211186,C,1
3776,2.7,1.72,NA,5,NA,2021-03-01,NA,1,P,Q,3273,P,C,211030,C,0
3777,4.1,2.06,NA,5,NA,2021-03-01,NA,1,P,Q,3785,P,Q,211204,C,1
3779,3.4,2.29,NA,5,NA,2021-03-01,NA,1,P,Q,3789,P,Q,211016,D,1
3781,2.7,2.31,NA,5,NA,2021-03-01,NA,1,P,Q,4325,P,P,211020,D,1
3782,3,2.17,NA,5,NA,2021-03-01,NA,1,P,Q,3628,Q,Q,211011,D,1
3783,3.8,2.02,NA,5,NA,2021-03-01,NA,1,P,Q,4309,P,P,211249,C,0
3785,3,2.23,NA,5,NA,2021-03-01,NA,1,P,Q,3777,P,Q,211204,C,1
3787,3.5,1.81,NA,5,NA,2021-03-01,NA,1,P,Q,3700,Q,Q,211009,C,1
3795,3.5,1.81,NA,5,NA,2021-03-01,NA,1,P,Q,4274,P,P,211010,D,1
3796,3.1,2.04,NA,5,NA,2021-03-01,NA,1,P,Q,3683,Q,Q,211032,D,1
3798,2.9,1.73,NA,5,NA,2021-03-01,NA,1,P,Q,4278,P,P,211013,C,0
3799,3.7,2.04,NA,5,NA,2021-03-01,NA,1,P,Q,3679,Q,Q,211034,C,1
3803,2.7,1.8,NA,5,NA,2021-03-01,NA,1,P,Q,4242,P,P,211067,D,1
3806,4.1,2.06,NA,5,NA,2021-03-01,NA,1,P,Q,3705,Q,Q,211021,C,0
3825,3.5,1.77,NA,5,NA,2021-03-01,NA,1,P,Q,3338,P,C,211325,C,1
3827,5.5,2.22,NA,5,NA,2021-03-01,NA,1,P,Q,3612,Q,Q,211206,D,1
3828,4,2.36,NA,5,NA,2021-03-01,NA,1,P,Q,4205,P,P,211179,C,1
3832,4.5,2.19,NA,5,NA,2021-03-01,NA,1,P,Q,3858,P,Q,211291,D,1
3833,2.6,1.8,NA,5,NA,2021-03-01,NA,1,P,Q,3278,P,C,211219,C,1
3834,2.8,1.75,NA,5,NA,2021-03-01,NA,1,P,Q,4397,P,P,211217,C,1
3835,2.1,2.06,NA,5,NA,2021-03-01,NA,1,P,Q,3498,Q,Q,211190,C,1
3836,3,2.01,NA,5,NA,2021-03-01,NA,1,P,Q,4243,P,P,211120,C,1
3837,2.9,1.92,NA,5,NA,2021-03-01,NA,1,P,Q,3587,Q,Q,211229,C,1
3839,3.2,2.22,NA,5,NA,2021-03-01,NA,1,P,Q,3838,P,Q,211139,C,1
3840,5.9,2.43,NA,5,NA,2021-03-01,NA,1,P,Q,3616,Q,Q,211218,C,1
3842,2.8,1.84,NA,5,NA,2021-03-01,NA,1,P,Q,3568,Q,Q,211152,C,1
3843,3.2,2.05,NA,5,NA,2021-03-01,NA,1,P,Q,4117,Q,P,211195,D,1
3844,2.6,1.88,NA,5,NA,2021-03-01,NA,1,P,Q,3542,Q,Q,211243,C,1
3845,3,2.11,NA,5,NA,2021-03-01,NA,1,P,Q,3484,Q,Q,211241,D,0
3847,2,1.69,NA,5,NA,2021-03-01,NA,1,P,Q,4361,P,P,211292,D,1
3849,3.3,2.51,NA,5,NA,2021-03-01,NA,1,P,Q,3817,P,Q,211151,C,1
3850,4.2,2.15,NA,5,NA,2021-03-01,NA,1,P,Q,4133,Q,P,211294,C,1
3852,3.2,1.65,NA,5,NA,2021-03-01,NA,1,P,Q,3425,P,C,211203,D,0
3853,5,2.1,NA,5,NA,2021-03-01,NA,1,P,Q,4055,Q,P,211154,C,1
3854,3.2,2.14,NA,5,NA,2021-03-01,NA,1,P,Q,3440,P,C,211192,D,1
3855,3.8,2.18,NA,5,NA,2021-03-01,NA,1,P,Q,4001,Q,P,211223,C,1
3856,4.8,2.23,NA,5,NA,2021-03-01,NA,1,P,Q,4013,Q,P,211326,C,1
3858,3.9,2.21,NA,5,NA,2021-03-01,NA,1,P,Q,3832,P,Q,211291,D,1
3860,3.5,2.18,NA,5,NA,2021-03-01,NA,1,P,Q,3999,Q,P,211199,C,1
3873,4.5,2.08,NA,5,NA,2021-03-01,NA,1,P,Q,3475,P,C,211177,D,0
3877,4,2.01,NA,5,NA,2021-03-01,NA,1,P,Q,4363,P,P,211290,NA,NA
3880,2.9,1.79,NA,5,NA,2021-03-01,NA,1,P,Q,4127,Q,P,211209,D,1
3885,3.2,1.76,NA,5,NA,2021-03-01,NA,1,P,Q,4316,P,P,211136,C,1
3890,4,2.21,NA,5,NA,2021-03-01,NA,1,P,Q,4315,P,P,211263,D,1
3891,2.8,1.64,NA,5,NA,2021-03-01,NA,1,P,Q,3349,P,C,211271,D,0
3893,3.1,2.33,NA,5,NA,2021-03-01,NA,1,P,Q,3556,Q,Q,211233,D,1
3896,2.8,1.78,NA,5,NA,2021-03-01,NA,1,P,Q,3938,P,Q,211145,D,1
3897,4.4,2.66,NA,5,NA,2021-03-01,NA,1,P,Q,3378,P,C,211308,C,1
3898,3,2.21,NA,5,NA,2021-03-01,NA,1,P,Q,3339,P,C,211305,D,1
3899,3.8,2.13,NA,5,NA,2021-03-01,NA,1,P,Q,3736,P,Q,211318,C,1
3901,3.4,2,NA,5,NA,2021-03-01,NA,1,P,Q,4277,P,P,211187,D,1
3905,4.5,2.36,NA,5,NA,2021-03-01,NA,1,P,Q,3335,P,C,211196,C,1
3913,3.2,2.41,NA,5,NA,2021-03-01,NA,1,P,Q,3970,Q,P,211091,C,1
3915,2.5,2.04,NA,5,NA,2021-03-01,NA,1,P,Q,3958,P,Q,211039,C,1
3916,3.2,1.62,NA,5,NA,2021-03-01,NA,1,P,Q,4238,P,P,211088,C,1
3921,2.8,1.86,NA,5,NA,2021-03-01,NA,1,P,Q,3972,Q,P,211057,D,1
3933,3.3,2.24,NA,5,NA,2021-03-01,NA,1,P,Q,3245,P,C,211097,C,1
3936,2.5,2.14,NA,5,NA,2021-03-01,NA,1,P,Q,3964,Q,P,211094,D,1
3938,3.5,1.07,NA,5,NA,2021-03-01,NA,1,P,Q,3896,P,Q,211145,D,0
3946,4.3,1.88,NA,5,NA,2021-03-01,NA,1,P,Q,4185,Q,P,211338,C,1
3954,3.6,2.01,NA,5,NA,2021-03-01,NA,1,P,Q,4261,P,P,211089,D,1
3955,3.4,2.01,NA,5,NA,2021-03-01,NA,1,P,Q,4028,Q,P,211147,D,0
3957,2.8,1.89,NA,5,NA,2021-03-01,NA,1,P,Q,4345,P,P,211117,D,1
4205,4,1.97,NA,5,NA,2021-03-01,NA,1,P,P,3828,P,Q,211179,C,1
4209,3,1.95,NA,5,NA,2021-03-01,NA,1,P,P,4086,Q,P,211332,D,1
4213,3.5,1.93,NA,5,NA,2021-03-01,NA,1,P,P,4187,Q,P,211019,C,1
4218,4,2.17,NA,5,NA,2021-03-01,NA,1,P,P,3723,P,Q,211307,C,1
4221,3,1.94,NA,5,NA,2021-03-01,NA,1,P,P,3549,Q,Q,211215,C,1
4222,2,1.71,NA,5,NA,2021-03-01,NA,1,P,P,3808,P,Q,211277,C,1
4229,1.5,1.78,NA,5,NA,2021-03-01,NA,1,P,P,4166,Q,P,211025,NA,NA
4230,1.6,1.77,NA,5,NA,2021-03-01,NA,1,P,P,3701,Q,Q,211081,D,0
4233,3,2.35,NA,5,NA,2021-03-01,NA,1,P,P,3244,P,C,211129,C,1
4235,2.9,2.08,NA,5,NA,2021-03-01,NA,1,P,P,4054,Q,P,211142,D,1
4236,2.3,2.01,NA,5,NA,2021-03-01,NA,1,P,P,4302,P,P,211014,NA,NA
4237,1.7,1.99,NA,5,NA,2021-03-01,NA,1,P,P,4175,Q,P,211024,D,1
4238,3.6,1.66,NA,5,NA,2021-03-01,NA,1,P,P,3916,P,Q,211088,C,1
4240,2.4,1.73,NA,5,NA,2021-03-01,NA,1,P,P,3722,P,Q,211239,D,1
4242,2.6,1.71,NA,5,NA,2021-03-01,NA,1,P,P,3803,P,Q,211067,D,1
4243,3.4,1.94,NA,5,NA,2021-03-01,NA,1,P,P,3836,P,Q,211120,C,1
4246,2.5,1.91,NA,5,NA,2021-03-01,NA,1,P,P,3711,Q,Q,211026,D,1
4251,4,1.92,NA,5,NA,2021-03-01,NA,1,P,P,3241,P,C,211135,D,0
4257,3.9,1.85,NA,5,NA,2021-03-01,NA,1,P,P,4092,Q,P,211131,C,1
4258,5.2,2.22,NA,5,NA,2021-03-01,NA,1,P,P,3521,Q,Q,211126,D,1
4260,4.6,1.86,NA,5,NA,2021-03-01,NA,1,P,P,3494,Q,Q,211134,C,1
4262,3,2.28,NA,5,NA,2021-03-01,NA,1,P,P,3264,P,C,211074,D,1
4265,3,1.85,NA,5,NA,2021-03-01,NA,1,P,P,3650,Q,Q,211062,D,1
4266,4.8,2.34,NA,5,NA,2021-03-01,NA,1,P,P,4398,P,P,211043,D,1
4269,3.2,2.13,NA,5,NA,2021-03-01,NA,1,P,P,3985,Q,P,211054,C,1
4274,3.9,1.81,NA,5,NA,2021-03-01,NA,1,P,P,3795,P,Q,211010,D,1
4278,4,2.24,NA,5,NA,2021-03-01,NA,1,P,P,3798,P,Q,211013,C,0
4281,5,2.06,NA,5,NA,2021-03-01,NA,1,P,P,3390,P,C,211015,C,1
4283,2,2.38,NA,5,NA,2021-03-01,NA,1,P,P,3266,P,C,211111,C,1
4284,4.3,2.41,NA,5,NA,2021-03-01,NA,1,P,P,3603,Q,Q,211165,C,1
4285,3.8,2.69,NA,5,NA,2021-03-01,NA,1,P,P,3284,P,C,211073,C,0
4290,4.5,2.11,NA,5,NA,2021-03-01,NA,1,P,P,4291,P,P,211270,C,1
4293,3.7,2.17,NA,5,NA,2021-03-01,NA,1,P,P,3272,P,C,211265,C,1
4297,2.7,2.17,NA,5,NA,2021-03-01,NA,1,P,P,3128,Q,C,211211,D,1
4302,3,2.02,NA,5,NA,2021-03-01,NA,1,P,P,4236,P,P,211014,NA,NA
4307,3.7,1.89,NA,5,NA,2021-03-01,NA,1,P,P,3387,P,C,211247,D,1
4309,2.6,2.01,NA,5,NA,2021-03-01,NA,1,P,P,3783,P,Q,211249,C,1
4311,3.3,2.26,NA,5,NA,2021-03-01,NA,1,P,P,3327,P,C,211207,C,0
4312,3.2,2,NA,5,NA,2021-03-01,NA,1,P,P,3553,Q,Q,211172,C,1
4315,3.5,1.88,NA,5,NA,2021-03-01,NA,1,P,P,3890,P,Q,211263,D,1
4316,3,1.82,NA,5,NA,2021-03-01,NA,1,P,P,3885,P,Q,211136,C,1
4317,2.5,1.8,NA,5,NA,2021-03-01,NA,1,P,P,3638,Q,Q,211046,C,1
4318,4.3,2.03,NA,5,NA,2021-03-01,NA,1,P,P,4405,P,P,211035,C,1
4319,3.6,1.91,NA,5,NA,2021-03-01,NA,1,P,P,3495,Q,Q,211004,C,1
4320,3.3,2.39,NA,5,NA,2021-03-01,NA,1,P,P,4162,Q,P,211012,D,0
4321,3.1,2.19,NA,5,NA,2021-03-01,NA,1,P,P,4035,Q,P,211189,D,1
4323,3.4,1.88,NA,5,NA,2021-03-01,NA,1,P,P,3517,Q,Q,211193,D,1
4324,3.5,1.69,NA,5,NA,2021-03-01,NA,1,P,P,3276,P,C,211125,D,1
4325,2.7,1.95,NA,5,NA,2021-03-01,NA,1,P,P,3781,P,Q,211020,D,1
4330,3.6,1.98,NA,5,NA,2021-03-01,NA,1,P,P,4019,Q,P,211212,D,0
4332,4,1.88,NA,5,NA,2021-03-01,NA,1,P,P,4066,Q,P,211005,C,1
