seedling_id,height_cm,diameter_mm,leaf_count,chlorosis,additional_height,notes,date
3076,5.7,4.1,7,,0,,02/04/2022
3055,11.7,7.71,10,,4.5,,02/04/2022
3338,6,2.3,,4,2.7,,02/04/2022
3825,4.8,2.5,,4,6.5,,02/04/2022
4124,8,4,12,,0,,02/04/2022
3237,7,3.87,9,,0,,02/04/2022
4370,7.8,2.5,,4,4.5,,02/04/2022
4067,9.5,4.11,13,,5.5,,02/04/2022
4412,4.5,1.7,,5,1.5,,02/04/2022
3426,3.4,1.4,,3,1.5,,02/04/2022
4254,3.8,1.9,,3,2.5,,02/04/2022
3725,4.6,2.13,,3,2,,02/04/2022
4367,3.4,2.6,,3,1,,02/04/2022
3614,12,3.1,11,,0,,02/04/2022
3067,8.5,3.23,22,,9,,02/04/2022
3240,6.2,3.16,7,,0,,02/04/2022
3172,5.5,3.25,9,,0,,02/04/2022
4422,5.6,2.3,,4,8.5,,02/04/2022
3987,10.6,3.36,12,,0,,02/04/2022
3056,5,3.04,8,,0,,02/04/2022
3856,5.3,2.94,,4,4,,02/04/2022
4013,8.1,3.37,8,,1,,02/04/2022
4326,3.9,1.58,,5,3.5,,02/04/2022
4032,12.3,3.41,19,,10.5,,02/04/2022
3577,6.1,3.93,7,,0,,02/04/2022
3767,5.7,2.3,,3,4,,02/04/2022
3349,3.5,1.9,,3,0.7,change calipers hereafter,02/04/2022
3891,3.2,1.6,,5,1.5,,02/04/2022
4363,1.5,0.7,,0,0,dead,02/04/2022
3877,5.7,2.8,,5,12,,02/04/2022
3582,9.7,5.7,8,,0,,02/04/2022
4416,3,2.1,,4,3.5,,02/04/2022
3324,3,1.5,,0,0,dead,02/04/2022
3908,4.5,1.9,,5,2,,02/04/2022
3486,8.8,3.4,15,,2.3,,02/04/2022
3051,7,4.2,7,,0,,02/04/2022
3095,7.6,4.9,5,,0,,02/04/2022
4135,8,3.1,11,,3,,02/04/2022
3808,3.7,2.4,,4,5,,02/04/2022
4222,4.3,2.6,,5,3.5,,02/04/2022
3847,3.3,2,,5,2.5,,02/04/2022
4361,4.2,2.3,,4,2,,02/04/2022
4286,4.6,2.6,,4,1.5,,02/04/2022
3997,8.1,4.4,13,,2,,02/04/2022
3832,6.5,2.8,,4,5.5,,02/04/2022
3858,6.5,2.6,,4,5.2,,02/04/2022
4089,5.5,2.9,8,,0,,02/04/2022
4378,4.6,2.1,,4,4,,02/04/2022
3619,8,3.4,9,,0,,02/04/2022
3621,5.7,2.5,11,,0,,02/04/2022
3052,5.6,3.3,15,,0,,02/04/2022
3551,9.4,4,3,,0,,02/04/2022
3558,10.8,4,8,,4,,02/04/2022
3613,14,3.4,13,,0,,02/04/2022
4043,4.5,3,9,,0,,02/04/2022
4394,4.2,2.5,,4,2.5,,02/04/2022
3331,3.5,1.5,,1,0,,02/04/2022
3334,3,1.8,,1,0,,02/04/2022
3766,4.5,2.7,,5,5,,02/04/2022
3731,4.5,2.7,,4,2,,02/04/2022
3993,11.2,3.51,13,,1.5,,02/04/2022
3112,7.2,5.07,8,,0,,02/04/2022
3937,4.1,2.08,,5,5.5,,02/04/2022
4163,21,5.27,12,,0,,02/04/2022
3972,5.8,4.3,13,,1.5,,02/04/2022
3921,6.2,2.97,5,,7.5,,02/04/2022
4417,5.3,2.57,,5,6,,02/04/2022
3986,7.5,4.76,15,,0,,02/04/2022
3977,5.9,3.26,10,,1.5,,02/04/2022
4176,9,4.78,8,,0,dead,02/04/2022
3806,7.5,3.33,,5,9.5,,02/04/2022
3705,10,4.88,9,,0,near death,02/04/2022
4384,4.9,2.14,,5,5.5,,02/04/2022
4368,4.1,2.45,,5,2.5,,02/04/2022
4007,10.9,5.17,18,,6,,02/04/2022
3995,5.5,3.75,6,,0,,02/04/2022
3913,5.9,2.62,,5,6,,02/04/2022
3970,9.4,4.29,9,,0,,02/04/2022
4388,6.2,2.8,,4,2.5,,02/04/2022
4392,3.9,3.15,,5,7.5,,02/04/2022
3096,5.5,2.51,8,,0,,02/04/2022
3573,12,3.46,8,,3,,02/04/2022
4136,10,4.29,8,,0,,02/04/2022
3755,7.6,3.2,,4,2,,02/04/2022
4133,11.3,4.51,11,,0,,02/04/2022
3850,4.1,2,,4,2,,02/04/2022
3622,11.8,6.4,7,,0,,02/04/2022
4010,5.7,2.94,7,,2.2,,02/04/2022
4373,3,1.45,,4,1,,02/04/2022
3323,3.8,1.9,,3,0,,02/04/2022
4196,5.1,4.01,9,,0,,02/04/2022
4167,7.1,2.76,7,,0,,02/04/2022
3126,4.5,3.2,4,,0,,02/04/2022
3111,13.5,5.48,11,,0,,02/04/2022
4390,5.6,2.54,,4,1.5,,02/04/2022
3805,6.5,3.18,,4,2,,02/04/2022
3980,11.5,4.42,8,,0,,02/04/2022
3013,10.5,3.71,8,,0,,02/04/2022
3778,6,2.92,,4,3.5,,02/04/2022
4002,11.8,4.92,16,,7.5,,02/04/2022
3509,8.5,4,7,,0,,02/04/2022
3125,5.2,3.63,4,,0,,02/04/2022
3033,7,4.32,6,,0,,02/04/2022
4155,10.1,4.32,9,,0,,02/04/2022
3275,4.9,2.44,,5,1,,02/04/2022
3801,4.9,2.19,,5,2.5,,02/04/2022
3274,4.8,2.08,,2,0,,02/04/2022
3259,5.5,2.85,,2,0,,02/04/2022
4266,6.4,2.84,,5,11,,02/04/2022
4398,9,3.11,,5,18,,02/04/2022
4269,5.2,2.9,,5,9,,02/04/2022
3985,11.8,4.64,12,,3,,02/04/2022
3946,7.7,3.09,,5,0,,02/04/2022
4185,7.4,3.95,10,,0,,02/04/2022
3782,6,3.39,,5,0,,02/04/2022
3628,5.2,4.3,8,,0,,02/04/2022
4261,3.5,3.11,,5,3,,02/04/2022
3954,4.9,2.17,,3,1.45,,02/04/2022
3400,4,2.09,,3,0,,02/04/2022
3392,3.5,2.43,,2,0,,02/04/2022
4281,8.6,2.86,,5,2.5,,02/04/2022
3390,6,2.26,,4,2.3,,02/04/2022
3684,15.1,5.66,12,,1,,02/04/2022
4088,4.7,3.61,8,,0,,02/04/2022
3943,4.2,2.69,,4,2.2,,02/04/2022
4192,3.6,4.65,5,,0,,02/04/2022
3760,5.3,2.07,,3,6.8,,02/04/2022
4026,4.8,2.83,7,,0,,02/04/2022
4435,2.5,1.69,,4,1.5,,02/04/2022
3364,5.2,2.35,,4,1.7,,02/04/2022
3813,4.5,1.7,,5,0,,02/04/2022
3356,3,1.63,,4,1,,02/04/2022
3481,5.5,2.64,3,,0,,02/04/2022
3038,7.6,4.3,12,,0,,02/04/2022
4341,7.4,2.55,,4,5,,02/04/2022
4391,6,2.15,,4,2,,02/04/2022
4005,10.2,4.44,7,,1,,02/04/2022
3504,17,4.85,8,,0,,02/04/2022
3002,6.2,4.81,4,,0,,02/04/2022
3005,7,3.67,7,,0,,02/04/2022
4213,6.6,3.04,,5,9,,02/04/2022
4187,5.9,4.18,11,,1,,02/04/2022
4319,5.1,2.1,,5,2,,02/04/2022
3495,7.4,4.03,9,,0,,02/04/2022
4317,9,2.6,,4,2.5,,02/04/2022
3638,8.7,4.63,8,,0,,02/04/2022
3026,8,4.3,6,,0,,02/04/2022
3654,17,4.64,25,,0,,02/04/2022
4183,11.5,4.5,14,,2.54,,02/04/2022
3959,6.3,2.32,,4,3.5,,02/04/2022
3035,3.9,3.78,8,,0,,02/03/2022
3718,9.6,4.86,9,,2,,02/03/2022
3043,4.5,3.77,8,,0,,02/03/2022
3688,3,3.96,4,,0,,02/03/2022
4151,5.6,2.78,10,,2.5,,02/03/2022
4147,5.5,6.43,13,,7,,02/03/2022
3058,5,2.81,3,,0,,02/03/2022
4148,7.8,3.52,10,,0,,02/03/2022
3916,5.4,2.57,,5,1,,02/03/2022
4238,3.5,2.88,,5,5.5,,02/03/2022
4334,5.1,2.92,,5,0,,02/03/2022
3680,5.1,5.41,6,,0,,02/03/2022
3711,22.5,5.7,8,,0,,02/03/2022
4246,5.4,2.87,,5,1,,02/03/2022
4030,4.8,4.82,9,,4.5,,02/03/2022
4149,8.7,5.83,10,,0,,02/03/2022
4290,4.5,2.38,,5,2.5,,02/03/2022
4291,4,2.07,,5,0,,02/03/2022
3281,4,2.06,,2,0,,02/03/2022
3279,2.1,2.46,,1,0,,02/03/2022
4082,6.8,4.09,10,,0.5,,02/03/2022
3769,5.4,3.42,,5,5.5,,02/03/2022
3915,5.5,2.7,,5,5,,02/03/2022
3958,5.7,2.52,,5,2,,02/03/2022
4166,12.3,5.5,10,,0,,02/03/2022
4229,3.3,1.53,,0,0,dead,02/03/2022
