seedling_id,seedling_sp,height_cm,above_area_cm2,underground_area_cm2,notes
3916,cone,5,3.8,8.8,first file in drive
3946,cone,3.9,3.5,20,
4192,oak,4.2,10.2,59.2,
4238,cone,3.7,3.6,19.4,
3943,cone,2.8,2.7,8.6,
4185,oak,5.9,5.6,47.9,
3045,oak,9.8,16.8,54.7,
3044,oak,4.1,5.6,30.2,
3035,oak,5.8,7.1,67.2,
3718,oak,4.6,7.9,53.1,
4246,cone,5.4,7.1,15.8,
3711,oak,23.6,51,73.6,
4166,oak,13.2,19.6,73.1,
4165,oak,6.3,12.7,64.9,
4175,oak,3.6,12.7,55.5,
3012,oak,7.6,6.9,42.3,
4237,cone,4.8,6,25,
4229,cone,6.1,5.6,19.7,
3867,cone,2.9,2.1,5.6,
3715,oak,7.2,14,58,
4196,oak,5.6,7.9,38.8,
3708,oak,21,25.2,43.6,
3001,oak,7.5,14.4,59.4,
4187,oak,6.2,17.6,46.4,
3709,oak,6.4,18.3,51.8,
3002,oak,6.4,15.9,63.9,
4167,oak,6.8,8.9,50.4,
3701,oak,18.1,14.5,47.7,
3005,oak,9.6,13.8,60.2,
4213,cone,4.8,9.7,29.2,
3965,oak,8.7,19.4,56,
3982,oak,8.9,18.9,66.7,
3974,oak,10.43,17.4,56.7,
3774,cone,3.7,9.1,14.5,
4230,cone,4,5.7,19,
3772,cone,5.7,8.6,15.6,
3793,cone,5.3,4,17.4,
3779,cone,4.9,10.9,23.3,
3789,cone,3.9,5.3,16,
4236,cone,4,4.2,18,
3385,cone,5.4,4.4,22.1,
3390,cone,6.3,5.4,26.5,
4281,cone,5.4,9.7,14.2,
4302,cone,4.6,7.6,25.7,
4320,cone,5.8,7.4,21.5,
3700,oak,20.9,16.3,58,
4278,cone,5,9.2,18.6,
3795,cone,5.4,5.5,23.1,
4274,cone,3.9,5.1,19.2,
3798,cone,5.3,3.6,17.5,
3787,cone,4.8,6.2,18.5,
4162,oak,5.8,9.5,55.8,
3695,oak,11.4,22.1,64,
3963,oak,7.7,11.9,42.7,
3696,oak,24.1,26.1,66.9,
3714,oak,13.2,23.1,60.6,
3697,oak,18.7,33.7,65.5,
4242,cone,6.7,3.7,18.8,
3771,cone,3.9,5.6,17.3,
3803,cone,7.8,5.3,14.6,
4318,cone,5.5,6.1,28.7,
3799,cone,6.5,6.2,22.3,
4405,cone,5.2,5.4,25.9,
3268,cone,4.7,3.2,23,
3386,cone,2.5,4,23.5,
3796,cone,3.9,6.8,23.9,
3679,oak,6.3,11.4,53.8,
3683,oak,14.4,27,61,
3806,cone,6.4,10.9,32.5,
4268,cone,4.8,6.9,10.2,
3721,cone,3.5,5.7,29,
3273,cone,6.1,6.2,31.4,
3776,cone,3.3,4.1,13,
3126,oak,5,6.7,49.1,
3705,oak,9.9,19.7,35.7,
3111,oak,13.8,30.9,60.6,
3139,oak,5.3,8.8,55,
4088,oak,5.5,5.4,48.6,
4334,cone,5.7,5.6,24,
3810,cone,4.2,4.2,12,
3684,oak,15.6,21.9,64.1,
