Site,Tree ID,Time Date,Direction,Replicate,RNA,DNA
LG,GRLG2,7/25/2022 11:47:00,North,1,1264,1364
LG,GRLG2,7/25/2022 11:47:00,North,2,1265,1365
LG,GRLG2,7/25/2022 11:47:00,North,3,1266,1366
LG,GRLG2,7/25/2022 11:47:00,North,4,1267,1367
LG,GRLG2,7/25/2022 11:47:00,North,5,,
LG,GRLG2,7/25/2022 11:47:00,North,Control,1268,1368
LG,GRLG2,7/25/2022 11:47:00,East,1,1257,1357
LG,GRLG2,7/25/2022 11:47:00,East,2,1258,1358
LG,GRLG2,7/25/2022 11:47:00,East,3,1259,1359
LG,GRLG2,7/25/2022 11:47:00,East,4,1261,1361
LG,GRLG2,7/25/2022 11:47:00,East,5,1262,1362
LG,GRLG2,7/25/2022 11:47:00,East,Control,1263,1363
LG,GRLG2,7/25/2022 11:47:00,South,1,1245,1345
LG,GRLG2,7/25/2022 11:47:00,South,2,1246,1346
LG,GRLG2,7/25/2022 11:47:00,South,3,1247,1347
LG,GRLG2,7/25/2022 11:47:00,South,4,1248,1348
LG,GRLG2,7/25/2022 11:47:00,South,5,1249,1349
LG,GRLG2,7/25/2022 11:47:00,South,Control,1251,1351
LG,GRLG2,7/25/2022 11:47:00,West,1,1252,1352
LG,GRLG2,7/25/2022 11:47:00,West,2,1253,1353
LG,GRLG2,7/25/2022 11:47:00,West,3,1254,1354
LG,GRLG2,7/25/2022 11:47:00,West,4,1255,1355
LG,GRLG2,7/25/2022 11:47:00,West,5,,
LG,GRLG2,7/25/2022 11:47:00,West,Control,1256,1356
