"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","TAVG","TMAX","TMIN","TOBS"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-09-01",,,"0.00",,,"75","62","70"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-09-02",,,"0.00",,,"80","63","80"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-09-03",,,"0.00",,,"87","59","83"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-09-04",,,"0.00",,,"101","56","101"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-09-05",,,"0.00",,,"105","69","82"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-09-06",,,"0.00",,,"87","68","87"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-09-07",,,"0.00",,,"90","68","90"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-09-08",,,"0.01",,,"91","67","79"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-09-09",,,"0.00",,,"88","67","88"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-09-10",,,"0.18",,,"97","69","78"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-09-11",,,"0.00",,,"88","71","84"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-09-12",,,"0.00",,,"88","68","77"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-09-13",,,"0.00",,,"81","66","77"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-09-14",,,"0.00",,,"81","62","79"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-09-15",,,"0.00",,,"81","61","78"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-09-16",,,"0.00",,,"79","61","77"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-09-17",,,"0.00",,,"79","62","74"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-09-18",,,"0.00",,,"77","62","74"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-09-19",,,"0.00",,,"76","66","75"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-09-20",,,"0.00",,,"76","66","75"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-09-21",,,"0.00",,,"78","59","75"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-09-22",,,"0.00",,,"85","59","83"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-09-23",,,"0.00",,,"85","60","84"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-09-24",,,"0.00",,,"85","60","80"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-09-25",,,"0.00",,,"82","60","80"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-09-26",,,"0.00",,,"82","62","80"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-09-27",,,"0.00",,,"83","62","77"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-09-28",,,"0.00",,,"84","63","73"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-09-29",,,"0.00",,,"84","62","70"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-09-30",,,"0.00",,,"76","62","73"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-10-01",,,"0.00",,,"74","61","73"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-10-02",,,"0.00",,,"74","61","71"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-10-03",,,"0.00",,,"75","59","69"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-10-04",,,"0.00",,,"78","58","77"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2022-10-05",,,"0.00",,,"79","60","72"
