date_time,seedling_ID,photo_ID,sample
7/7/22,3619,2022_0707_142424_002,1
7/7/22,3621,2022_0707_143032_004,1
7/7/22,4063,2022_0707_143553_006,1
7/7/22,3327,2022_0707_144018_008,1
7/7/22,4311,2022_0707_144246_010,1
7/7/22,4367,2022_0707_144602_012,1
7/7/22,3614,2022_0707_145001_014,1
7/7/22,4410,2022_0707_145244_016,1
7/7/22,3261,2022_0707_145504_018,1
7/11/22,3856,2022_0711_105630_002,1
7/11/22,4013,2022_0711_110117_004,1
7/11/22,3640,2022_0711_110432_006,1
7/11/22,3599,2022_0711_110653_008,1
7/11/22,3849,2022_0711_110958_010,1
7/11/22,3817,2022_0711_111222_012,1
7/11/22,4378,2022_0711_111434_014,1
7/11/22,4089,2022_0711_111713_016,1
7/11/22,3825,2022_0711_112011_018,1
7/11/22,3338,2022_0711_112226_020,1
7/11/22,3752,2022_0711_112518_022,1
7/11/22,3739,2022_0711_112727_024,1
7/11/22,3151,2022_0711_113030_026,1
7/11/22,3191,2022_0711_113742_028,1
7/11/22,3785,2022_0711_114109_030,1
7/11/22,3777,2022_0711_114350_032,1
7/11/22,3280,2022_0711_114548_034,1
7/11/22,4400,2022_0711_114753_036,1
7/11/22,3799,2022_0711_115736_038,1
7/11/22,3679,2022_0711_120025_040,1
7/11/22,3600,2022_0711_120436_042,1
7/11/22,3046,2022_0711_120647_044,1
7/11/22,4061,2022_0711_121033_046,1
7/11/22,3483,2022_0711_121213_048,1
7/11/22,3118,2022_0711_121449_050,1
7/11/22,3136,2022_0711_121729_052,1
7/11/22,3000,2022_0711_122012_054,1
7/11/22,4014,2022_0711_122254_056,1
7/11/22,4029,2022_0711_122451_058,1
7/11/22,4056,2022_0711_122648_060,1
7/11/22,4159,2022_0711_123005_062,1
7/11/22,3114,2022_0711_123317_064,1
7/11/22,3837,2022_0711_123458_066,1
7/11/22,3587,2022_0711_123754_068,1
7/11/22,3383,2022_0711_124000_070,1
7/11/22,4407,2022_0711_124200_072,1
7/11/22,3335,2022_0711_124359_074,1
7/11/22,3905,2022_0711_124548_076,1
7/11/22,3135,2022_0711_124816_078,1
7/11/22,3132,2022_0711_125012_080,1
7/11/22,4280,2022_0711_130319_082,1
7/11/22,4079,2022_0711_134812_002,1
7/11/22,3272,2022_0711_135059_004,1
7/11/22,4293,2022_0711_135248_006,1
7/11/22,4195,2022_0711_135617_008,1
7/11/22,3008,2022_0711_135847_010,1
7/11/22,3532,2022_0711_140116_012,1
7/11/22,4228,2022_0711_140244_014,1
7/11/22,4255,2022_0711_140551_016,1
7/11/22,3584,2022_0711_140753_018,1
7/11/22,3250,2022_0711_141349_020,1
7/11/22,3438,2022_0711_141512_022,1
7/11/22,3254,2022_0711_141717_024,1
7/11/22,4253,2022_0711_141906_026,1
7/11/22,4399,2022_0711_142204_028,1
7/11/22,4227,2022_0711_142357_030,1
7/11/22,4133,2022_0711_142615_032,1
7/11/22,3850,2022_0711_142851_034,1
7/11/22,3626,2022_0711_143137_036,1
7/11/22,3629,2022_0711_143642_038,1
7/12/22,3269,2022_0712_112416_002,1
7/12/22,3270,2022_0712_112610_004,1
7/12/22,3251,2022_0712_112826_006,1
7/12/22,3872,2022_0712_113012_008,1
7/12/22,3007,2022_0712_113240_010,1
7/12/22,4139,2022_0712_113404_012,1
7/12/22,4004,2022_0712_113719_014,1
7/12/22,4157,2022_0712_113911_016,1
7/12/22,4140,2022_0712_114124_018,1
