photo,mean_ndvi,median_ndvi,sd_ndvi,date_time,seedling_ID,sample
2022_0707_142424,0.10106055273396662,0.10891089108910891,0.06631781997076898,7/7/22,3619,1
2022_0707_143032,0.005959161483180595,0,0.05670200238005387,7/7/22,3621,1
2022_0707_143553,0.09499129637845141,0.10344827586206896,0.10554163784733851,7/7/22,4063,1
2022_0707_144018,0.02419974832238169,0.012048192771084338,0.09845963654209783,7/7/22,3327,1
2022_0707_144246,0.06376853216912312,0.06329113924050633,0.08176484300597048,7/7/22,4311,1
2022_0707_144602,0.09875710410640323,0.10175438596491228,0.10638106500898538,7/7/22,4367,1
2022_0707_145001,0.09533781840437512,0.10465116279069768,0.06150642184268143,7/7/22,3614,1
2022_0707_145244,0.0961224456798479,0.10344827586206896,0.08551254550265491,7/7/22,4410,1
2022_0707_145504,0.07867836157107046,0.08761329305135952,0.07711271490148067,7/7/22,3261,1
2022_0711_105630,0.031281006265216314,0.025787965616045846,0.06413909177196161,7/11/22,3856,1
2022_0711_110117,0.11035409581974967,0.11782477341389729,0.061152939527662556,7/11/22,4013,1
2022_0711_110432,0.11088456095651149,0.11931818181818182,0.05214487734669421,7/11/22,3640,1
2022_0711_110653,0.10278579654209002,0.10982658959537572,0.05072882725729425,7/11/22,3599,1
2022_0711_110958,0.10341909491524756,0.1111111111111111,0.05828858128953022,7/11/22,3849,1
2022_0711_111222,0.09508078337251602,0.10497237569060773,0.07189111803466469,7/11/22,3817,1
2022_0711_111434,0.10579001744413266,0.11854103343465046,0.05767571425642715,7/11/22,4378,1
2022_0711_111713,0.11091080729233621,0.12023460410557185,0.06593443861287188,7/11/22,4089,1
2022_0711_112011,0.10108606942476545,0.10437710437710437,0.08484696816028665,7/11/22,3825,1
2022_0711_112226,0.09880834568051197,0.10891089108910891,0.0700668538903073,7/11/22,3338,1
2022_0711_112518,0.10226873860149888,0.11418685121107267,0.06421528848467617,7/11/22,3752,1
2022_0711_112727,0.02112040296085283,0.012903225806451613,0.05452751288495029,7/11/22,3739,1
2022_0711_113030,0.11476511957523246,0.11666666666666667,0.07240065674359479,7/11/22,3151,1
2022_0711_113742,0.10767986065994836,0.11168831168831168,0.1050016327861804,7/11/22,3191,1
2022_0711_114109,0.09233526955074976,0.1048951048951049,0.0522629306015385,7/11/22,3785,1
2022_0711_114350,0.10397639202291727,0.11705685618729098,0.057997398537198944,7/11/22,3777,1
2022_0711_114548,0.06465248141096648,0.06432748538011696,0.045504387430549124,7/11/22,3280,1
2022_0711_114753,0.09818928619495955,0.10084033613445378,0.11134578322752754,7/11/22,4400,1
2022_0711_115736,0.09011485792185538,0.10086455331412104,0.06928338516827556,7/11/22,3799,1
2022_0711_120025,0.11781748115559776,0.12121212121212122,0.04442206909882778,7/11/22,3679,1
2022_0711_120436,0.05512305782714653,0.06810035842293907,0.06905695286508105,7/11/22,3600,1
2022_0711_120647,0.09909566125249324,0.11363636363636363,0.060639587843334335,7/11/22,3046,1
2022_0711_121033,0.11275946202177327,0.11178247734138973,0.10180415692017857,7/11/22,4061,1
2022_0711_121213,0.11634560479360855,0.1246376811594203,0.051098679533672066,7/11/22,3483,1
2022_0711_121449,0.07842289872656263,0.08517350157728706,0.03478119561960167,7/11/22,3118,1
2022_0711_121729,0.08237663259359869,0.08085106382978724,0.06853635969402766,7/11/22,3136,1
2022_0711_122012,0.0822998157260002,0.09183673469387756,0.062388751328174355,7/11/22,3000,1
2022_0711_122254,0.11556331135132304,0.1178082191780822,0.08285311217966117,7/11/22,4014,1
2022_0711_122451,0.1131113143342034,0.12048192771084337,0.06325500191136588,7/11/22,4029,1
2022_0711_122648,0.10054191133876772,0.10526315789473684,0.05077902160736168,7/11/22,4056,1
2022_0711_123005,0.09572144237679102,0.10891089108910891,0.06543621860780115,7/11/22,4159,1
2022_0711_123317,0.09570744523865586,0.10601719197707736,0.07727274457072476,7/11/22,3114,1
2022_0711_123458,0.09753943300610314,0.10364145658263306,0.08253621638915436,7/11/22,3837,1
2022_0711_123754,0.09662710622598249,0.11258278145695365,0.0724561749321426,7/11/22,3587,1
2022_0711_124000,0.09623497637829036,0.09634551495016612,0.1250867580727667,7/11/22,3383,1
2022_0711_124200,0.1029257829586099,0.11392405063291139,0.047092003925468036,7/11/22,4407,1
2022_0711_124359,0.09113743033210625,0.0958904109589041,0.09143038397212086,7/11/22,3335,1
2022_0711_124548,0.11664031284352641,0.12195121951219512,0.08897441260729548,7/11/22,3905,1
2022_0711_124816,0.08613956429302912,0.0893371757925072,0.07799718703883478,7/11/22,3135,1
2022_0711_125012,0.09407387407196321,0.09859154929577464,0.05213119660043638,7/11/22,3132,1
2022_0711_130319,0.08706215279836442,0.09850746268656717,0.0821570883460144,7/11/22,4280,1
2022_0711_134812,0.10859774073659843,0.11764705882352941,0.04526295963723036,7/11/22,4079,1
2022_0711_135059,0.09217851196148558,0.1044776119402985,0.07446936117873723,7/11/22,3272,1
2022_0711_135248,0.09818118534722631,0.10601719197707736,0.09033156835409395,7/11/22,4293,1
2022_0711_135617,0.09922451308592968,0.10638297872340426,0.06974810543550959,7/11/22,4195,1
2022_0711_135847,0.11551906950242663,0.11494252873563218,0.07285428420277863,7/11/22,3008,1
2022_0711_140116,0.09933779139435217,0.1002710027100271,0.07168781297423586,7/11/22,3532,1
2022_0711_140244,0.0847593688448952,0.08974358974358974,0.08119643212412495,7/11/22,4228,1
2022_0711_140551,0.07812556660082265,0.07883817427385892,0.09886039389482686,7/11/22,4255,1
2022_0711_140753,0.09367304043023626,0.11494252873563218,0.05917581294173047,7/11/22,3584,1
2022_0711_141349,0.03580433359849146,0.02824858757062147,0.07710998670843877,7/11/22,3250,1
2022_0711_141512,0.036652004615893644,0.023872679045092837,0.09179865286773634,7/11/22,3438,1
2022_0711_141717,0.09310959720348057,0.09090909090909091,0.11290295807831012,7/11/22,3254,1
2022_0711_141906,0.08108092412441859,0.08737864077669903,0.07474738100888785,7/11/22,4253,1
2022_0711_142204,0.06666826577327435,0.06329113924050633,0.07967885400145937,7/11/22,4399,1
2022_0711_142357,0.08352950685321672,0.09090909090909091,0.07189755151256864,7/11/22,4227,1
2022_0711_142615,0.08964321788464082,0.09565217391304348,0.05534701124023753,7/11/22,4133,1
2022_0711_142851,0.059223367770639704,0.05014749262536873,0.09067213300914187,7/11/22,3850,1
2022_0711_143137,0.11819515514922778,0.11688311688311688,0.09520325256958577,7/11/22,3626,1
2022_0711_143642,0.12739415424409795,0.13761467889908258,0.05589316914617138,7/11/22,3629,1
2022_0712_112416,0.06455267569681312,0.058823529411764705,0.07150950066062953,7/12/22,3269,1
2022_0712_112610,0.04477147278144628,0.040697674418604654,0.06751631462057066,7/12/22,3270,1
2022_0712_112826,0.046324830699015176,0.0425531914893617,0.06296229051606039,7/12/22,3251,1
2022_0712_113012,0.08456140714001269,0.09480122324159021,0.07713181779777026,7/12/22,3872,1
2022_0712_113240,0.11626823929129147,0.11345646437994723,0.08527008703739127,7/12/22,3007,1
2022_0712_113404,0.09150390455650854,0.10106382978723404,0.06568598376676257,7/12/22,4139,1
2022_0712_113719,0.09352468447293372,0.10734463276836158,0.05943549917633613,7/12/22,4004,1
2022_0712_113911,0.10074528560240445,0.10649350649350649,0.08191399233372354,7/12/22,4157,1
2022_0712_114124,0.0747213651468284,0.07987220447284345,0.038302588752286586,7/12/22,4140,1
2022_0712_114412,0.10514691634660801,0.10787172011661808,0.0684169400098371,7/12/22,3589,1
2022_0712_114637,0.08056720996539106,0.0875,0.06270182391409707,7/12/22,3880,1
2022_0712_115049,0.10818618704805301,0.125,0.06743244808691011,7/12/22,4127,1
2022_0712_115427,0.05472698127045305,0.04,0.07154160843038229,7/12/22,4019,1
2022_0712_115641,0.0641121679415663,0.06626506024096386,0.05207016224390737,7/12/22,4330,1
2022_0712_115940,0.09772748348058612,0.10309278350515463,0.05042340630737791,7/12/22,3613,1
2022_0712_120136,0.08906265291458337,0.09480122324159021,0.06656244782307712,7/12/22,3558,1
2022_0712_120503,0.07521141895860563,0.07076923076923076,0.0710986922560074,7/12/22,3597,1
2022_0712_120743,0.0751300112658865,0.08333333333333333,0.06062793884377987,7/12/22,4386,1
2022_0712_121011,0.10608659106238857,0.11333333333333333,0.06883761100400032,7/12/22,4415,1
2022_0712_121145,0.027957386759795404,0.01098901098901099,0.0955830991555449,7/12/22,4328,1
2022_0712_121436,0.08295995393578949,0.09641873278236915,0.05999483697272241,7/12/22,3055,1
2022_0712_121837,0.08298879890833978,0.09467455621301775,0.06565667968420394,7/12/22,3076,1
2022_0712_122117,0.1048058423662863,0.10582010582010581,0.09521651573410164,7/12/22,3051,1
2022_0712_122323,0.10555906391271141,0.11286089238845144,0.06886760584991929,7/12/22,3486,1
2022_0712_122534,0.07952435741531089,0.08812260536398467,0.05441579304187255,7/12/22,3264,1
2022_0712_122740,0.10492794696422827,0.11578947368421053,0.06212181039392008,7/12/22,4262,1
2022_0712_122940,0.03196863862748681,0.0273972602739726,0.06328888811656629,7/12/22,3331,1
2022_0712_123127,0.02924862564091334,0.02702702702702703,0.055938838643771416,7/12/22,3334,1
2022_0712_123305,0.08274720781591918,0.09090909090909091,0.08042770271610211,7/12/22,3890,1
2022_0712_123436,0.08789288714279075,0.09904153354632587,0.05630540121927485,7/12/22,4315,1
2022_0712_123725,0.10243393710199662,0.1111111111111111,0.08292333638068464,7/12/22,3188,1
2022_0712_124028,0.06823882850046493,0.07006369426751592,0.04313547173085781,7/12/22,4034,1
2022_0712_124245,0.08662884066346065,0.10034602076124567,0.06445043373748949,7/12/22,3789,1
2022_0712_124456,0.08340548836448268,0.09433962264150944,0.06398135794130727,7/12/22,3779,1
2022_0712_124737,0.12154285073573189,0.12643678160919541,0.06306469138084829,7/12/22,4033,1
2022_0712_125003,0.11660430843347332,0.1320754716981132,0.07351479037552457,7/12/22,4025,1
2022_0712_125206,0.06715784557550591,0.06666666666666667,0.0765529148700228,7/12/22,4230,1
2022_0712_125548,0.009411216943140182,0.005263157894736842,0.04990110402701418,7/12/22,3701,1
2022_0712_125822,0.09727098984141255,0.10828025477707007,0.0762632016377882,7/12/22,4320,1
2022_0712_130042,0.12122922018805289,0.12462006079027356,0.06508542458211374,7/12/22,4162,1
2022_0712_130322,0.08351981726605404,0.09259259259259259,0.05412423548181657,7/12/22,3276,1
2022_0712_130530,0.015305711974231778,0.008645533141210375,0.06640647654065515,7/12/22,4324,1
2022_0712_130959,0.10938955949207857,0.12987012987012986,0.06246429669871195,7/12/22,3570,1
2022_0712_131323,0.012307169276595763,0.0079155672823219,0.04495448114887063,7/12/22,3562,1
2022_0712_131639,0.08956846794430308,0.09090909090909091,0.08106214959310078,7/12/22,4429,1
2022_0712_131956,0.10572488487407049,0.10914454277286136,0.05672640802240592,7/12/22,3615,1
2022_0712_132251,0.11182942561975276,0.11384615384615385,0.08683840776846302,7/12/22,4170,1
2022_0712_132527,0.11481186797321484,0.12650602409638553,0.04638815659054362,7/12/22,3704,1
2022_0712_132748,0.10297622456960377,0.11743772241992882,0.0717945598301542,7/12/22,3955,1
2022_0712_132936,0.12065726634529979,0.1242603550295858,0.06601823827802757,7/12/22,4028,1
2022_0712_133259,0.10662573664902972,0.10880829015544041,0.0650951912175174,7/12/22,3601,1
2022_0712_133447,0.09279314854237072,0.09574468085106383,0.09349024685772889,7/12/22,3141,1
2022_0712_144940,0.09631260451345627,0.09508196721311475,0.11380950754781907,7/12/22,3767,1
2022_0712_145148,0.11423214246876814,0.11572700296735905,0.08443508576461163,7/12/22,3577,1
2022_0712_145325,0.10163688969613631,0.10465116279069768,0.10545553480770045,7/12/22,3804,1
2022_0712_145457,0.1246091811258037,0.12021857923497267,0.11860611840111013,7/12/22,4401,1
2022_0712_145634,0.08092569983948968,0.08355795148247978,0.06674989178876392,7/12/22,3005,1
2022_0712_145820,0.09365130661581848,0.09792284866468842,0.10468294142766495,7/12/22,3002,1
2022_0712_150046,0.13216130735367793,0.1326530612244898,0.09889573713200073,7/12/22,3128,1
2022_0712_150232,0.09111550232742371,0.09803921568627451,0.07858925300062558,7/12/22,4297,1
2022_0712_150434,0.0260228882778651,0.019390581717451522,0.07563759745489425,7/12/22,3274,1
2022_0712_150607,0.04023029810628548,0.02702702702702703,0.09716626780423558,7/12/22,3259,1
2022_0712_150917,0.10815767987360654,0.11827956989247312,0.06173862461804283,7/12/22,3986,1
2022_0712_151052,0.10411052521898877,0.10909090909090909,0.09471547908936696,7/12/22,4417,1
2022_0712_151301,0.11733204525269716,0.11504424778761062,0.1357520256704442,7/12/22,3140,1
2022_0712_151507,0.10906746714132397,0.10886075949367088,0.10676663855635617,7/12/22,3620,1
2022_0712_151714,0.10466497433727989,0.11494252873563218,0.06703775730816516,7/12/22,3026,1
2022_0712_151911,0.1044219230328848,0.11797752808988764,0.05562105621302814,7/12/22,3654,1
2022_0712_152107,0.1110571226809428,0.11290322580645161,0.0937669853433619,7/12/22,3033,1
2022_0712_152246,0.0937815521416654,0.12048192771084337,0.08293905822358119,7/12/22,4155,1
2022_0713_103922,0.11490073626755332,0.11784511784511785,0.04961953532108328,7/13/22,3623,1
2022_0713_104127,0.07717614284998814,0.07903780068728522,0.061188103387011035,7/13/22,3746,1
2022_0713_104357,0.11050653201447563,0.11428571428571428,0.06261715341642582,7/13/22,3549,1
2022_0713_104542,0.0812606445467498,0.08571428571428572,0.06222643907253016,7/13/22,4221,1
2022_0713_104723,0.09684621057803079,0.10294117647058823,0.0662164904625552,7/13/22,4316,1
2022_0713_104917,0.11019717932772104,0.1130952380952381,0.09936319547722344,7/13/22,3885,1
2022_0713_105116,0.10801345905841239,0.12209302325581395,0.04086763861280239,7/13/22,3542,1
2022_0713_105253,0.09097008750620782,0.10032362459546926,0.03810938199717442,7/13/22,3844,1
2022_0713_105437,0.09361994589352367,0.10179640718562874,0.05338979481809618,7/13/22,3839,1
2022_0713_105634,0.06517655725168654,0.06470588235294118,0.051136998543212964,7/13/22,3838,1
2022_0713_105850,0.08624624888073933,0.08185053380782918,0.10549941720446983,7/13/22,3775,1
2022_0713_110047,0.1072466554023293,0.11436950146627566,0.06819915959087736,7/13/22,4333,1
2022_0713_110242,0.11008331791632837,0.11484593837535013,0.07962870522024933,7/13/22,4218,1
2022_0713_110439,0.10966043310286905,0.12,0.0737499580211998,7/13/22,3723,1
2022_0713_110716,0.12182900582223254,0.12727272727272726,0.07208532547378728,7/13/22,3095,1
2022_0713_110927,0.11476925337531996,0.11641791044776119,0.05120025302253561,7/13/22,4135,1
2022_0713_111144,0.10034132039419814,0.10975609756097561,0.0711700839828425,7/13/22,3489,1
2022_0713_111337,0.10697023182372739,0.11357340720221606,0.04440914150893754,7/13/22,3511,1
2022_0713_111611,0.12138834570586773,0.12280701754385964,0.07517873041342138,7/13/22,3999,1
2022_0713_111803,0.10535576568212131,0.10778443113772455,0.08274685555439056,7/13/22,3860,1
2022_0713_112008,0.10748803352263078,0.11764705882352941,0.08098529048811114,7/13/22,4435,1
2022_0713_112153,0.10037874527530688,0.11026615969581749,0.0523699063843901,7/13/22,3364,1
2022_0713_112418,0.10236413023540668,0.10493827160493827,0.06650652374819375,7/13/22,3611,1
2022_0713_112604,0.11495852358451217,0.11864406779661017,0.07444441537106991,7/13/22,3077,1
2022_0713_112823,0.13183993529753107,0.125,0.11819785203337209,7/13/22,3553,1
